date,open,high,low,close,volume,average,barCount
2025-12-01,4.012,4.084,4.012,4.084,87.0,4.0354,50
2025-12-02,4.09,4.093,4.072,4.072,9.0,4.0847,9
2025-12-03,4.076,4.076,4.047,4.057,73.0,4.053,40
2025-12-04,4.041,4.1,4.041,4.099,69.0,4.0912,41
2025-12-05,4.099,4.135,4.099,4.13,138.0,4.1222,62
2025-12-08,4.131,4.181,4.127,4.165,172.0,4.1566,101
2025-12-09,4.165,4.181,4.145,4.178,55.0,4.1705,35
2025-12-10,4.165,4.197,4.15,4.17,175.0,4.1755,121
2025-12-11,4.142,4.17,4.111,4.15,122.0,4.1396,81
2025-12-12,4.157,4.2,4.157,4.192,189.0,4.1868,127
2025-12-15,4.189,4.189,4.153,4.178,81.0,4.1746,55
2025-12-16,4.165,4.195,4.142,4.147,107.0,4.1631,79
2025-12-17,4.163,4.177,4.14,4.15,123.0,4.162,73
2025-12-18,4.144,4.144,4.108,4.117,244.0,4.1238,174
2025-12-19,4.132,4.155,4.127,4.15,61.0,4.1399,48
2025-12-22,4.158,4.168,4.153,4.165,206.0,4.1607,139
2025-12-23,4.175,4.192,4.146,4.162,380.0,4.1736,233
2025-12-24,4.18,4.18,4.117,4.12,237.0,4.1563,155
2025-12-26,4.132,4.158,4.115,4.133,356.0,4.1343,237
2025-12-29,4.145,4.157,4.115,4.123,517.0,4.1244,306
2025-12-30,4.124,4.138,4.11,4.125,271.0,4.1234,177
2025-12-31,4.121,4.178,4.115,4.145,614.0,4.1465,345
2026-01-02,4.169,4.193,4.144,4.183,1970.0,4.1751,568
2026-01-05,4.193,4.193,4.155,4.169,808.0,4.17,415
2026-01-06,4.179,4.197,4.167,4.184,972.0,4.1833,393
2026-01-07,4.185,4.185,4.132,4.15,1429.0,4.1514,501
2026-01-08,4.177,4.19,4.142,4.188,971.0,4.1792,495
2026-01-09,4.164,4.205,4.161,4.176,1811.0,4.1829,737
2026-01-12,4.187,4.202,4.162,4.189,1121.0,4.1872,515
2026-01-13,4.176,4.198,4.155,4.175,1597.0,4.177,557
2026-01-14,4.177,4.184,4.137,4.145,1031.0,4.1548,438
2026-01-15,4.145,4.176,4.141,4.162,888.0,4.1584,397
2026-01-16,4.164,4.234,4.163,4.233,2214.0,4.2065,872
2026-01-20,4.231,4.306,4.224,4.297,2153.0,4.2714,1146
2026-01-21,4.286,4.301,4.249,4.255,1111.0,4.2763,554
2026-01-22,4.249,4.28,4.237,4.257,831.0,4.2606,375
2026-01-23,4.25,4.267,4.233,4.24,900.0,4.2467,397
2026-01-26,4.242,4.25,4.199,4.209,2084.0,4.2161,637
2026-01-27,4.218,4.249,4.199,4.231,1214.0,4.2265,377
2026-01-28,4.246,4.269,4.231,4.252,958.0,4.2496,446
2026-01-29,4.251,4.271,4.224,4.226,1657.0,4.2431,498
2026-01-30,4.237,4.27,4.237,4.239,403.0,4.2494,167
