date,open,high,low,close,volume,average,barCount
2026-01-02,4.18,4.185,4.158,4.177,16.0,4.1767,9
2026-01-05,4.18,4.18,4.152,4.161,13.0,4.1557,4
2026-01-06,4.168,4.189,4.168,4.185,73.0,4.1818,33
2026-01-07,4.143,4.147,4.124,4.145,22.0,4.1355,14
2026-01-08,4.169,4.18,4.16,4.18,76.0,4.1717,43
2026-01-09,4.16,4.197,4.16,4.169,40.0,4.1803,27
2026-01-12,4.176,4.196,4.17,4.186,22.0,4.1867,11
2026-01-13,4.184,4.2,4.16,4.181,223.0,4.1862,68
2026-01-14,4.186,4.186,4.144,4.151,73.0,4.1572,35
2026-01-15,4.153,4.181,4.146,4.167,59.0,4.1636,44
2026-01-16,4.172,4.232,4.172,4.23,529.0,4.2046,245
2026-01-20,4.226,4.3,4.223,4.293,442.0,4.2594,267
2026-01-21,4.283,4.297,4.252,4.255,255.0,4.2704,140
2026-01-22,4.249,4.282,4.249,4.26,83.0,4.261,57
2026-01-23,4.26,4.27,4.238,4.244,168.0,4.2508,103
2026-01-26,4.252,4.252,4.204,4.214,416.0,4.222,254
2026-01-27,4.221,4.248,4.205,4.231,231.0,4.2279,145
2026-01-28,4.249,4.269,4.234,4.259,442.0,4.2535,250
2026-01-29,4.274,4.274,4.226,4.228,547.0,4.2493,320
2026-01-30,4.236,4.271,4.236,4.246,1032.0,4.2553,500
2026-02-02,4.239,4.285,4.218,4.277,1615.0,4.2562,533
2026-02-03,4.286,4.305,4.272,4.282,961.0,4.2912,368
2026-02-04,4.278,4.294,4.272,4.288,740.0,4.2822,278
2026-02-05,4.288,4.291,4.191,4.219,1696.0,4.2355,560
2026-02-06,4.192,4.234,4.174,4.218,1109.0,4.2078,324
2026-02-09,4.23,4.258,4.208,4.21,552.0,4.2261,247
2026-02-10,4.211,4.214,4.148,4.156,1949.0,4.1649,472
2026-02-11,4.159,4.217,4.138,4.18,1313.0,4.181,586
2026-02-12,4.178,4.191,4.1,4.104,1159.0,4.1272,421
2026-02-13,4.102,4.126,4.05,4.059,1383.0,4.0839,526
2026-02-17,4.051,4.063,4.02,4.053,999.0,4.047,445
2026-02-18,4.057,4.09,4.051,4.078,783.0,4.0755,228
2026-02-19,4.084,4.105,4.05,4.072,415.0,4.0876,237
2026-02-20,4.075,4.099,4.059,4.087,692.0,4.078,356
2026-02-23,4.093,4.094,4.019,4.026,683.0,4.0506,288
2026-02-24,4.034,4.045,4.024,4.033,524.0,4.0347,240
2026-02-25,4.02,4.058,4.009,4.049,553.0,4.0431,283
2026-02-26,4.056,4.056,4.013,4.019,1086.0,4.0319,246
2026-02-27,4.015,4.015,3.956,3.96,266.0,3.9904,130
