date,open,high,low,close,volume,average,barCount
2026-05-01,4.38,4.38,4.369,4.369,132.0,4.3799,27
2026-05-04,4.378,4.437,4.371,4.42,26.0,4.4027,23
2026-05-05,4.4,4.4,4.39,4.399,3.0,4.3953,3
2026-05-06,4.393,4.393,4.354,4.363,34.0,4.3683,29
2026-05-07,4.336,4.392,4.324,4.388,35.0,4.3628,32
2026-05-08,4.384,4.385,4.341,4.364,39.0,4.3547,29
2026-05-11,4.386,4.409,4.381,4.402,84.0,4.3988,65
2026-05-12,4.412,4.461,4.408,4.455,192.0,4.4355,112
2026-05-13,4.455,4.482,4.447,4.475,181.0,4.4645,131
2026-05-14,4.464,4.49,4.432,4.457,182.0,4.4673,90
2026-05-15,4.47,4.591,4.46,4.59,563.0,4.5327,372
2026-05-18,4.584,4.624,4.537,4.609,326.0,4.5932,253
2026-05-19,4.592,4.681,4.583,4.657,544.0,4.6422,375
2026-05-20,4.645,4.674,4.565,4.574,600.0,4.6165,394
2026-05-21,4.583,4.63,4.56,4.581,334.0,4.5868,206
2026-05-22,4.581,4.593,4.537,4.579,597.0,4.5642,326
2026-05-26,4.55,4.56,4.485,4.498,711.0,4.5108,446
2026-05-27,4.486,4.495,4.463,4.482,575.0,4.4805,310
2026-05-28,4.482,4.535,4.453,4.458,759.0,4.4802,453
2026-05-29,4.46,4.469,4.438,4.46,829.0,4.4517,369
2026-06-01,4.463,4.524,4.458,4.484,1220.0,4.4948,512
2026-06-02,4.483,4.483,4.442,4.471,679.0,4.4587,381
2026-06-03,4.48,4.518,4.471,4.507,549.0,4.5023,268
2026-06-04,4.511,4.511,4.471,4.485,1038.0,4.4813,248
2026-06-05,4.48,4.554,4.469,4.533,1052.0,4.5326,435
2026-06-08,4.541,4.578,4.524,4.56,843.0,4.5537,416
2026-06-09,4.575,4.584,4.529,4.537,798.0,4.5492,413
2026-06-10,4.539,4.565,4.526,4.55,966.0,4.5433,457
2026-06-11,4.549,4.583,4.456,4.47,2858.0,4.5145,804
2026-06-12,4.455,4.507,4.441,4.484,1478.0,4.4807,476
2026-06-15,4.471,4.474,4.42,4.466,703.0,4.4425,324
2026-06-16,4.473,4.475,4.424,4.426,643.0,4.4398,210
2026-06-17,4.434,4.495,4.425,4.459,1622.0,4.4532,505
2026-06-18,4.493,4.493,4.423,4.449,691.0,4.448,292
2026-06-22,4.457,4.513,4.45,4.507,960.0,4.4892,438
2026-06-23,4.515,4.515,4.469,4.489,403.0,4.4867,184
2026-06-24,4.489,4.498,4.398,4.401,1056.0,4.4236,358
2026-06-25,4.404,4.416,4.368,4.395,873.0,4.3858,274
2026-06-26,4.391,4.409,4.365,4.372,830.0,4.3823,247
2026-06-29,4.372,4.39,4.362,4.382,1105.0,4.3815,411
2026-06-30,4.389,4.417,4.367,4.417,113.0,4.3806,52
2026-07-01,4.417,4.417,4.417,4.417,0.0,4.417,0
