date,open,high,low,close,volume,average,barCount
2026-06-01,4.477,4.507,4.476,4.493,110.0,4.4982,40
2026-06-02,4.46,4.481,4.46,4.481,124.0,4.4605,37
2026-06-03,4.474,4.512,4.474,4.511,8.0,4.5,8
2026-06-04,4.521,4.521,4.476,4.486,10.0,4.4986,9
2026-06-05,4.486,4.554,4.486,4.54,22.0,4.5344,18
2026-06-08,4.543,4.58,4.538,4.57,49.0,4.5627,31
2026-06-09,4.564,4.571,4.536,4.547,60.0,4.5488,37
2026-06-10,4.548,4.566,4.539,4.553,36.0,4.5506,24
2026-06-11,4.564,4.58,4.464,4.478,63.0,4.5142,49
2026-06-12,4.478,4.514,4.447,4.491,68.0,4.4878,49
2026-06-15,4.455,4.483,4.427,4.47,154.0,4.4474,100
2026-06-16,4.483,4.483,4.431,4.431,108.0,4.4494,57
2026-06-17,4.431,4.485,4.43,4.459,282.0,4.4545,119
2026-06-18,4.472,4.472,4.42,4.441,91.0,4.4415,47
2026-06-22,4.453,4.51,4.446,4.507,127.0,4.4804,97
2026-06-23,4.513,4.513,4.469,4.487,71.0,4.4831,45
2026-06-24,4.495,4.497,4.401,4.401,199.0,4.42,132
2026-06-25,4.4,4.416,4.368,4.395,142.0,4.3913,92
2026-06-26,4.377,4.41,4.362,4.376,177.0,4.3852,96
2026-06-29,4.382,4.398,4.36,4.372,400.0,4.3776,225
2026-06-30,4.374,4.453,4.364,4.415,435.0,4.4091,235
2026-07-01,4.441,4.47,4.42,4.436,1009.0,4.4449,456
2026-07-02,4.457,4.466,4.425,4.448,443.0,4.4466,229
2026-07-06,4.449,4.453,4.42,4.447,251.0,4.4384,147
2026-07-07,4.449,4.496,4.438,4.482,513.0,4.4687,219
2026-07-08,4.496,4.526,4.496,4.505,512.0,4.5155,252
2026-07-09,4.517,4.52,4.481,4.495,241.0,4.4986,153
2026-07-10,4.507,4.568,4.47,4.544,1465.0,4.5406,406
2026-07-13,4.569,4.618,4.561,4.59,854.0,4.5861,353
2026-07-14,4.62,4.62,4.535,4.583,818.0,4.5808,339
2026-07-15,4.575,4.604,4.539,4.539,432.0,4.5729,251
2026-07-16,4.551,4.587,4.55,4.56,166.0,4.569,88
2026-07-17,4.556,4.556,4.508,4.549,339.0,4.5342,148
2026-07-20,4.547,4.603,4.543,4.599,531.0,4.5759,203
2026-07-21,4.583,4.633,4.583,4.626,509.0,4.6154,225
2026-07-22,4.618,4.658,4.618,4.646,601.0,4.6432,236
2026-07-23,4.657,4.713,4.631,4.704,932.0,4.6892,325
2026-07-24,4.694,4.695,4.655,4.676,604.0,4.6724,329
2026-07-27,4.682,4.682,4.63,4.647,709.0,4.6484,281
2026-07-28,4.642,4.666,4.594,4.598,879.0,4.6231,329
2026-07-29,4.599,4.692,4.598,4.617,644.0,4.6501,272
2026-07-30,4.681,4.71,4.649,4.675,542.0,4.6854,162
2026-07-31,4.672,4.742,4.663,4.742,230.0,4.7088,104
