date,open,high,low,close,volume,average,barCount
2025-08-01,4.37,4.389,4.212,4.212,54.0,4.2615,30
2025-08-04,4.202,4.25,4.201,4.204,53.0,4.2155,41
2025-08-05,4.197,4.229,4.195,4.201,22.0,4.209,19
2025-08-06,4.227,4.275,4.216,4.216,29.0,4.2386,19
2025-08-07,4.22,4.231,4.22,4.227,21.0,4.2232,12
2025-08-08,4.235,4.267,4.235,4.264,16.0,4.2522,13
2025-08-11,4.273,4.273,4.251,4.258,15.0,4.2585,14
2025-08-12,4.261,4.297,4.221,4.277,66.0,4.271,48
2025-08-13,4.281,4.281,4.21,4.217,116.0,4.2304,56
2025-08-14,4.211,4.275,4.19,4.272,120.0,4.2381,89
2025-08-15,4.267,4.3,4.25,4.294,126.0,4.2818,71
2025-08-18,4.282,4.312,4.27,4.306,159.0,4.2937,116
2025-08-19,4.31,4.31,4.278,4.28,47.0,4.296,28
2025-08-20,4.288,4.288,4.256,4.269,58.0,4.2667,46
2025-08-21,4.271,4.311,4.271,4.293,155.0,4.2957,88
2025-08-22,4.275,4.3,4.233,4.25,302.0,4.2667,184
2025-08-25,4.261,4.268,4.247,4.258,276.0,4.2586,135
2025-08-26,4.254,4.284,4.232,4.235,252.0,4.2565,161
2025-08-27,4.245,4.269,4.212,4.216,371.0,4.2415,186
2025-08-28,4.214,4.232,4.2,4.204,455.0,4.2163,292
2025-08-29,4.203,4.222,4.2,4.214,693.0,4.2095,387
2025-09-02,4.218,4.261,4.201,4.24,808.0,4.2337,426
2025-09-03,4.237,4.258,4.188,4.198,1080.0,4.2139,561
2025-09-04,4.211,4.214,4.148,4.164,916.0,4.1771,485
2025-09-05,4.151,4.16,4.063,4.09,2680.0,4.0956,1230
2025-09-08,4.076,4.104,4.05,4.055,1580.0,4.0662,659
2025-09-09,4.058,4.096,4.052,4.082,2240.0,4.0792,765
2025-09-10,4.097,4.097,4.027,4.035,1912.0,4.0586,776
2025-09-11,4.046,4.064,3.998,4.012,2898.0,4.0246,1138
2025-09-12,4.012,4.082,4.01,4.058,2143.0,4.058,734
2025-09-15,4.061,4.09,4.032,4.035,2122.0,4.045,852
2025-09-16,4.036,4.06,4.02,4.023,1693.0,4.0357,677
2025-09-17,4.026,4.084,3.99,4.073,2383.0,4.0396,1016
2025-09-18,4.072,4.135,4.042,4.103,2427.0,4.1018,885
2025-09-19,4.113,4.142,4.109,4.134,1204.0,4.1285,469
2025-09-22,4.124,4.148,4.119,4.14,1024.0,4.1352,360
2025-09-23,4.149,4.149,4.104,4.117,1259.0,4.1295,500
2025-09-24,4.117,4.151,4.098,4.144,2240.0,4.1331,688
2025-09-25,4.144,4.195,4.131,4.174,2853.0,4.1719,859
2025-09-26,4.174,4.195,4.153,4.184,924.0,4.1734,411
2025-09-29,4.184,4.184,4.131,4.14,2705.0,4.1454,451
2025-09-30,4.139,4.149,4.109,4.145,624.0,4.1319,181
2025-10-01,4.145,4.145,4.145,4.145,0.0,4.145,0
