date,open,high,low,close,volume,average,barCount
2025-10-01,4.095,4.11,4.08,4.105,12.0,4.0975,8
2025-10-02,4.105,4.11,4.082,4.088,23.0,4.09,16
2025-10-03,4.076,4.11,4.076,4.109,8.0,4.0954,8
2025-10-06,4.129,4.151,4.129,4.147,19.0,4.1393,14
2025-10-07,4.159,4.159,4.105,4.119,14.0,4.1228,12
2025-10-08,4.1,4.127,4.097,4.122,23.0,4.1107,19
2025-10-09,4.123,4.142,4.121,4.142,32.0,4.1307,18
2025-10-10,4.132,4.132,4.044,4.05,67.0,4.0729,40
2025-10-13,4.07,4.077,4.045,4.055,52.0,4.063,30
2025-10-14,4.067,4.067,4.01,4.02,72.0,4.0259,45
2025-10-15,4.037,4.039,4.001,4.039,111.0,4.0189,71
2025-10-16,4.012,4.042,3.97,3.976,173.0,4.0143,103
2025-10-17,3.973,4.013,3.932,4.006,231.0,3.99,120
2025-10-20,4.006,4.022,3.979,3.983,107.0,4.0046,78
2025-10-21,3.982,3.987,3.95,3.964,182.0,3.9671,108
2025-10-22,3.953,3.972,3.944,3.951,70.0,3.9608,48
2025-10-23,3.942,3.997,3.942,3.983,168.0,3.9813,76
2025-10-24,3.999,4.006,3.966,3.993,282.0,3.9942,129
2025-10-27,4.009,4.029,3.984,3.991,347.0,4.0083,189
2025-10-28,3.99,4.001,3.965,3.976,236.0,3.9823,126
2025-10-29,3.974,4.07,3.971,4.048,525.0,4.0256,281
2025-10-30,4.057,4.107,4.042,4.083,862.0,4.0816,409
2025-10-31,4.084,4.1,4.07,4.098,752.0,4.0881,373
2025-11-03,4.071,4.119,4.07,4.106,1477.0,4.1052,544
2025-11-04,4.107,4.112,4.079,4.089,976.0,4.0884,519
2025-11-05,4.096,4.164,4.055,4.159,3118.0,4.1379,1025
2025-11-06,4.161,4.164,4.086,4.096,1959.0,4.1109,772
2025-11-07,4.097,4.123,4.075,4.104,1096.0,4.0982,455
2025-11-10,4.108,4.151,4.108,4.121,1414.0,4.1278,460
2025-11-11,4.128,4.134,4.085,4.087,748.0,4.1023,318
2025-11-12,4.096,4.11,4.067,4.078,1383.0,4.0857,453
2025-11-13,4.074,4.123,4.07,4.11,1586.0,4.1065,549
2025-11-14,4.107,4.149,4.064,4.146,1757.0,4.1136,780
2025-11-17,4.15,4.158,4.117,4.134,1032.0,4.1345,397
2025-11-18,4.116,4.142,4.087,4.122,1544.0,4.1118,628
2025-11-19,4.119,4.135,4.099,4.128,1094.0,4.1146,363
2025-11-20,4.131,4.162,4.084,4.105,2048.0,4.1162,783
2025-11-21,4.092,4.096,4.032,4.065,1563.0,4.0659,759
2025-11-24,4.073,4.073,4.028,4.037,2046.0,4.0461,501
2025-11-25,4.045,4.047,3.993,4.005,1903.0,4.0162,657
2025-11-26,4.006,4.038,3.987,3.993,1121.0,4.0093,340
2025-11-28,4.007,4.037,3.997,4.031,212.0,4.0066,107
