date,open,high,low,close,volume,average,barCount
2025-11-03,4.08,4.118,4.063,4.1,32.0,4.1012,25
2025-11-04,4.073,4.088,4.072,4.082,8.0,4.0759,5
2025-11-05,4.057,4.156,4.057,4.146,124.0,4.1419,70
2025-11-06,4.15,4.15,4.083,4.086,61.0,4.1171,53
2025-11-07,4.098,4.111,4.07,4.095,24.0,4.0831,16
2025-11-10,4.105,4.141,4.105,4.111,64.0,4.1228,39
2025-11-11,4.117,4.121,4.083,4.084,73.0,4.1103,48
2025-11-12,4.083,4.096,4.065,4.076,56.0,4.0816,26
2025-11-13,4.072,4.113,4.068,4.103,51.0,4.0971,42
2025-11-14,4.109,4.137,4.053,4.135,106.0,4.1156,64
2025-11-17,4.13,4.144,4.103,4.123,98.0,4.1276,58
2025-11-18,4.121,4.124,4.079,4.111,66.0,4.1027,46
2025-11-19,4.105,4.119,4.088,4.119,30.0,4.102,25
2025-11-20,4.122,4.15,4.077,4.096,192.0,4.118,103
2025-11-21,4.085,4.088,4.031,4.059,170.0,4.0588,111
2025-11-24,4.059,4.059,4.018,4.029,189.0,4.0383,118
2025-11-25,4.034,4.035,3.984,3.994,386.0,4.0106,261
2025-11-26,3.996,4.028,3.97,3.986,384.0,4.001,224
2025-11-28,4.008,4.028,3.987,4.019,375.0,4.0059,157
2025-12-01,4.001,4.095,4.001,4.093,1966.0,4.0644,685
2025-12-02,4.081,4.106,4.075,4.083,1328.0,4.0949,435
2025-12-03,4.088,4.089,4.05,4.063,906.0,4.0649,419
2025-12-04,4.054,4.112,4.054,4.11,1025.0,4.0969,413
2025-12-05,4.097,4.146,4.097,4.141,1725.0,4.1257,633
2025-12-08,4.139,4.193,4.135,4.175,1269.0,4.1696,553
2025-12-09,4.175,4.192,4.147,4.187,842.0,4.1736,373
2025-12-10,4.192,4.208,4.151,4.176,1653.0,4.184,716
2025-12-11,4.171,4.172,4.114,4.153,2078.0,4.1344,628
2025-12-12,4.159,4.207,4.156,4.2,1934.0,4.1939,625
2025-12-15,4.193,4.195,4.155,4.184,901.0,4.1738,432
2025-12-16,4.174,4.2,4.144,4.152,1209.0,4.1705,546
2025-12-17,4.169,4.182,4.147,4.155,1119.0,4.1654,459
2025-12-18,4.155,4.155,4.112,4.118,1715.0,4.1271,690
2025-12-19,4.124,4.158,4.121,4.153,824.0,4.1428,362
2025-12-22,4.128,4.176,4.128,4.17,686.0,4.1651,332
2025-12-23,4.16,4.2,4.148,4.17,1689.0,4.1721,622
2025-12-24,4.175,4.188,4.122,4.125,777.0,4.156,361
2025-12-26,4.138,4.165,4.119,4.136,835.0,4.138,430
2025-12-29,4.151,4.159,4.115,4.122,1625.0,4.1223,649
2025-12-30,4.13,4.141,4.114,4.13,595.0,4.1268,300
2025-12-31,4.137,4.15,4.12,4.133,104.0,4.138,70
