date,open,high,low,close,volume,average,barCount
2026-01-02,3.328,3.328,3.328,3.328,0.0,3.328,0
2026-01-05,3.328,3.328,3.328,3.328,0.0,3.328,0
2026-01-06,3.328,3.328,3.328,3.328,0.0,3.328,0
2026-01-07,3.328,3.328,3.328,3.328,0.0,3.328,0
2026-01-08,3.328,3.328,3.328,3.328,0.0,3.328,0
2026-01-09,3.349,3.349,3.349,3.349,0.0,3.349,0
2026-01-12,3.367,3.367,3.367,3.367,0.0,3.367,0
2026-01-13,3.367,3.367,3.367,3.367,0.0,3.367,0
2026-01-14,3.367,3.367,3.367,3.367,0.0,3.367,0
2026-01-15,3.429,3.429,3.429,3.429,0.0,3.429,0
2026-01-16,3.429,3.429,3.429,3.429,0.0,3.429,0
2026-01-20,3.442,3.442,3.442,3.442,0.0,3.442,0
2026-01-21,3.442,3.442,3.442,3.442,0.0,3.442,0
2026-01-22,3.448,3.448,3.448,3.448,0.0,3.448,0
2026-01-23,3.448,3.448,3.448,3.448,0.0,3.448,0
2026-01-26,3.448,3.448,3.448,3.448,0.0,3.448,0
2026-01-27,3.448,3.448,3.448,3.448,0.0,3.448,0
2026-01-28,3.448,3.448,3.448,3.448,0.0,3.448,0
2026-01-29,3.448,3.448,3.448,3.448,0.0,3.448,0
2026-01-30,3.448,3.448,3.448,3.448,0.0,3.448,0
2026-02-02,3.448,3.448,3.448,3.448,0.0,3.448,0
2026-02-03,3.448,3.448,3.448,3.448,0.0,3.448,0
2026-02-04,3.448,3.448,3.448,3.448,0.0,3.448,0
2026-02-05,3.448,3.448,3.448,3.448,0.0,3.448,0
2026-02-06,3.448,3.448,3.448,3.448,0.0,3.448,0
2026-02-09,3.448,3.448,3.448,3.448,0.0,3.448,0
2026-02-10,3.448,3.448,3.448,3.448,0.0,3.448,0
2026-02-11,3.448,3.448,3.448,3.448,0.0,3.448,0
2026-02-12,3.448,3.448,3.448,3.448,0.0,3.448,0
2026-02-13,3.448,3.448,3.448,3.448,0.0,3.448,0
2026-02-17,3.448,3.448,3.448,3.448,0.0,3.448,0
2026-02-18,3.448,3.448,3.448,3.448,0.0,3.448,0
2026-02-19,3.448,3.448,3.448,3.448,0.0,3.448,0
2026-02-20,3.448,3.448,3.448,3.448,0.0,3.448,0
2026-02-23,3.448,3.448,3.448,3.448,0.0,3.448,0
2026-02-24,3.448,3.448,3.448,3.448,0.0,3.448,0
2026-02-25,3.448,3.448,3.448,3.448,0.0,3.448,0
2026-02-26,3.448,3.448,3.448,3.448,0.0,3.448,0
2026-02-27,3.376,3.376,3.376,3.376,0.0,3.376,0
