date,open,high,low,close,volume,average,barCount
2026-02-02,3.41,3.41,3.41,3.41,0.0,3.41,0
2026-02-03,3.41,3.41,3.41,3.41,0.0,3.41,0
2026-02-04,3.41,3.41,3.41,3.41,0.0,3.41,0
2026-02-05,3.41,3.41,3.41,3.41,0.0,3.41,0
2026-02-06,3.41,3.41,3.41,3.41,0.0,3.41,0
2026-02-09,3.41,3.41,3.41,3.41,0.0,3.41,0
2026-02-10,3.41,3.41,3.41,3.41,0.0,3.41,0
2026-02-11,3.41,3.41,3.41,3.41,0.0,3.41,0
2026-02-12,3.41,3.41,3.41,3.41,0.0,3.41,0
2026-02-13,3.41,3.41,3.41,3.41,0.0,3.41,0
2026-02-17,3.41,3.41,3.41,3.41,0.0,3.41,0
2026-02-18,3.41,3.41,3.41,3.41,0.0,3.41,0
2026-02-19,3.41,3.41,3.41,3.41,0.0,3.41,0
2026-02-20,3.41,3.41,3.41,3.41,0.0,3.41,0
2026-02-23,3.41,3.41,3.41,3.41,0.0,3.41,0
2026-02-24,3.41,3.41,3.41,3.41,0.0,3.41,0
2026-02-25,3.41,3.41,3.41,3.41,0.0,3.41,0
2026-02-26,3.41,3.41,3.41,3.41,0.0,3.41,0
2026-02-27,3.41,3.41,3.41,3.41,0.0,3.41,0
2026-03-02,3.41,3.41,3.41,3.41,0.0,3.41,0
2026-03-03,3.41,3.41,3.41,3.41,0.0,3.41,0
2026-03-04,3.41,3.41,3.41,3.41,0.0,3.41,0
2026-03-05,3.41,3.41,3.41,3.41,0.0,3.41,0
2026-03-06,3.41,3.41,3.41,3.41,0.0,3.41,0
2026-03-09,3.41,3.41,3.41,3.41,0.0,3.41,0
2026-03-10,3.41,3.41,3.41,3.41,0.0,3.41,0
2026-03-11,3.41,3.41,3.41,3.41,0.0,3.41,0
2026-03-12,3.41,3.41,3.41,3.41,0.0,3.41,0
2026-03-13,3.41,3.41,3.41,3.41,0.0,3.41,0
2026-03-16,3.41,3.41,3.41,3.41,0.0,3.41,0
2026-03-17,3.41,3.41,3.41,3.41,0.0,3.41,0
2026-03-18,3.658,3.658,3.41,3.41,2.0,3.658,1
2026-03-19,3.658,3.72,3.658,3.72,3.0,3.6787,2
2026-03-20,3.796,3.796,3.796,3.796,2.0,3.796,1
2026-03-23,3.796,3.796,3.796,3.796,0.0,3.796,0
2026-03-24,3.796,3.796,3.796,3.796,0.0,3.796,0
2026-03-25,3.796,3.796,3.796,3.796,0.0,3.796,0
2026-03-26,3.796,3.796,3.796,3.796,0.0,3.796,0
2026-03-27,3.796,3.796,3.796,3.796,0.0,3.796,0
2026-03-30,3.796,3.796,3.796,3.796,0.0,3.796,0
2026-03-31,3.795,3.795,3.795,3.795,0.0,3.795,0
2026-04-01,3.795,3.795,3.795,3.795,0.0,3.795,0
