date,open,high,low,close,volume,average,barCount
2026-03-02,3.372,3.372,3.372,3.372,0.0,3.372,0
2026-03-03,3.372,3.372,3.372,3.372,0.0,3.372,0
2026-03-04,3.372,3.372,3.372,3.372,0.0,3.372,0
2026-03-05,3.372,3.372,3.372,3.372,0.0,3.372,0
2026-03-06,3.372,3.372,3.372,3.372,0.0,3.372,0
2026-03-09,3.372,3.372,3.372,3.372,0.0,3.372,0
2026-03-10,3.374,3.374,3.372,3.372,4.0,3.374,1
2026-03-11,3.372,3.372,3.372,3.372,0.0,3.372,0
2026-03-12,3.372,3.372,3.372,3.372,0.0,3.372,0
2026-03-13,3.372,3.372,3.372,3.372,0.0,3.372,0
2026-03-16,3.372,3.372,3.372,3.372,0.0,3.372,0
2026-03-17,3.372,3.372,3.372,3.372,0.0,3.372,0
2026-03-18,3.372,3.372,3.372,3.372,0.0,3.372,0
2026-03-19,3.72,3.73,3.72,3.73,1.0,3.72,1
2026-03-20,3.806,3.806,3.806,3.806,0.0,3.806,0
2026-03-23,3.806,3.806,3.806,3.806,0.0,3.806,0
2026-03-24,3.806,3.806,3.806,3.806,0.0,3.806,0
2026-03-25,3.806,3.806,3.806,3.806,0.0,3.806,0
2026-03-26,3.806,3.806,3.806,3.806,0.0,3.806,0
2026-03-27,3.806,3.806,3.806,3.806,0.0,3.806,0
2026-03-30,3.806,3.806,3.806,3.806,0.0,3.806,0
2026-03-31,3.806,3.806,3.806,3.806,0.0,3.806,0
2026-04-01,3.806,3.806,3.806,3.806,0.0,3.806,0
2026-04-02,3.806,3.806,3.806,3.806,0.0,3.806,0
2026-04-03,3.806,3.806,3.806,3.806,0.0,3.806,0
2026-04-06,3.806,3.806,3.806,3.806,0.0,3.806,0
2026-04-07,3.806,3.806,3.806,3.806,0.0,3.806,0
2026-04-08,3.806,3.806,3.806,3.806,0.0,3.806,0
2026-04-09,3.806,3.806,3.806,3.806,1.0,3.806,1
2026-04-10,3.806,3.806,3.806,3.806,0.0,3.806,0
2026-04-13,3.806,3.806,3.806,3.806,0.0,3.806,0
2026-04-14,3.806,3.806,3.806,3.806,0.0,3.806,0
2026-04-15,3.806,3.806,3.806,3.806,0.0,3.806,0
2026-04-16,3.806,3.806,3.806,3.806,0.0,3.806,0
2026-04-17,3.806,3.806,3.806,3.806,0.0,3.806,0
2026-04-20,3.806,3.806,3.806,3.806,0.0,3.806,0
2026-04-21,3.806,3.806,3.806,3.806,0.0,3.806,0
2026-04-22,3.806,3.806,3.806,3.806,0.0,3.806,0
2026-04-23,3.806,3.806,3.806,3.806,0.0,3.806,0
2026-04-24,3.806,3.806,3.806,3.806,0.0,3.806,0
2026-04-27,3.806,3.806,3.806,3.806,0.0,3.806,0
2026-04-28,3.806,3.806,3.806,3.806,0.0,3.806,0
2026-04-29,3.806,3.806,3.806,3.806,0.0,3.806,0
2026-04-30,3.883,3.883,3.883,3.883,0.0,3.883,0
2026-05-01,3.883,3.883,3.883,3.883,0.0,3.883,0
