date,open,high,low,close,volume,average,barCount
2026-04-01,3.816,3.816,3.816,3.816,0.0,3.816,0
2026-04-02,3.816,3.816,3.816,3.816,0.0,3.816,0
2026-04-03,3.816,3.816,3.816,3.816,0.0,3.816,0
2026-04-06,3.816,3.816,3.816,3.816,0.0,3.816,0
2026-04-07,3.816,3.816,3.816,3.816,0.0,3.816,0
2026-04-08,3.816,3.816,3.816,3.816,0.0,3.816,0
2026-04-09,3.816,3.816,3.816,3.816,0.0,3.816,0
2026-04-10,3.816,3.816,3.816,3.816,0.0,3.816,0
2026-04-13,3.816,3.816,3.816,3.816,0.0,3.816,0
2026-04-14,3.816,3.816,3.816,3.816,0.0,3.816,0
2026-04-15,3.816,3.816,3.816,3.816,0.0,3.816,0
2026-04-16,3.816,3.816,3.816,3.816,0.0,3.816,0
2026-04-17,3.816,3.816,3.816,3.816,0.0,3.816,0
2026-04-20,3.816,3.816,3.816,3.816,0.0,3.816,0
2026-04-21,3.816,3.816,3.816,3.816,0.0,3.816,0
2026-04-22,3.816,3.816,3.816,3.816,0.0,3.816,0
2026-04-23,3.816,3.816,3.816,3.816,0.0,3.816,0
2026-04-24,3.816,3.816,3.816,3.816,0.0,3.816,0
2026-04-27,3.816,3.816,3.816,3.816,0.0,3.816,0
2026-04-28,3.816,3.816,3.816,3.816,0.0,3.816,0
2026-04-29,3.816,3.816,3.816,3.816,0.0,3.816,0
2026-04-30,3.816,3.816,3.816,3.816,0.0,3.816,0
2026-05-01,3.816,3.816,3.816,3.816,0.0,3.816,0
2026-05-04,3.8,3.8,3.8,3.8,1.0,3.8,1
2026-05-05,3.8,3.8,3.8,3.8,0.0,3.8,0
2026-05-06,3.8,3.8,3.8,3.8,0.0,3.8,0
2026-05-07,3.8,3.8,3.8,3.8,0.0,3.8,0
2026-05-08,3.8,3.8,3.8,3.8,0.0,3.8,0
2026-05-11,3.8,3.8,3.8,3.8,0.0,3.8,0
2026-05-12,3.817,3.817,3.817,3.817,0.0,3.817,0
2026-05-13,3.82,3.82,3.82,3.82,0.0,3.82,0
2026-05-14,3.82,3.82,3.82,3.82,0.0,3.82,0
2026-05-15,3.82,3.82,3.82,3.82,0.0,3.82,0
2026-05-18,3.82,3.82,3.82,3.82,0.0,3.82,0
2026-05-19,3.82,3.82,3.82,3.82,0.0,3.82,0
2026-05-20,3.82,3.82,3.82,3.82,0.0,3.82,0
2026-05-21,3.82,3.82,3.82,3.82,0.0,3.82,0
2026-05-22,3.82,3.82,3.82,3.82,0.0,3.82,0
2026-05-26,3.82,3.82,3.82,3.82,0.0,3.82,0
2026-05-27,3.82,3.82,3.82,3.82,0.0,3.82,0
2026-05-28,3.82,3.82,3.82,3.82,0.0,3.82,0
2026-05-29,4.009,4.009,4.009,4.009,0.0,4.009,0
