date,open,high,low,close,volume,average,barCount
2026-05-01,3.826,3.826,3.826,3.826,0.0,3.826,0
2026-05-04,3.82,3.82,3.82,3.82,0.0,3.82,0
2026-05-05,3.82,3.82,3.82,3.82,0.0,3.82,0
2026-05-06,3.82,3.82,3.82,3.82,0.0,3.82,0
2026-05-07,3.82,3.82,3.82,3.82,0.0,3.82,0
2026-05-08,3.82,3.82,3.82,3.82,0.0,3.82,0
2026-05-11,3.82,3.82,3.82,3.82,0.0,3.82,0
2026-05-12,3.837,3.837,3.837,3.837,0.0,3.837,0
2026-05-13,3.84,3.84,3.84,3.84,0.0,3.84,0
2026-05-14,3.84,3.84,3.84,3.84,0.0,3.84,0
2026-05-15,3.84,3.84,3.84,3.84,0.0,3.84,0
2026-05-18,3.84,3.84,3.84,3.84,0.0,3.84,0
2026-05-19,3.84,3.84,3.84,3.84,0.0,3.84,0
2026-05-20,3.84,3.84,3.84,3.84,0.0,3.84,0
2026-05-21,3.84,3.84,3.84,3.84,0.0,3.84,0
2026-05-22,3.84,3.84,3.84,3.84,0.0,3.84,0
2026-05-26,3.84,3.84,3.84,3.84,0.0,3.84,0
2026-05-27,3.84,3.84,3.84,3.84,0.0,3.84,0
2026-05-28,3.84,3.84,3.84,3.84,0.0,3.84,0
2026-05-29,3.84,3.84,3.84,3.84,0.0,3.84,0
2026-06-01,3.84,3.84,3.84,3.84,0.0,3.84,0
2026-06-02,3.84,3.84,3.84,3.84,0.0,3.84,0
2026-06-03,3.84,3.84,3.84,3.84,0.0,3.84,0
2026-06-04,3.84,3.84,3.84,3.84,0.0,3.84,0
2026-06-05,3.84,3.84,3.84,3.84,0.0,3.84,0
2026-06-08,3.84,3.84,3.84,3.84,0.0,3.84,0
2026-06-09,3.84,3.84,3.84,3.84,0.0,3.84,0
2026-06-10,3.84,3.84,3.84,3.84,0.0,3.84,0
2026-06-11,3.84,3.84,3.84,3.84,0.0,3.84,0
2026-06-12,3.84,3.84,3.84,3.84,0.0,3.84,0
2026-06-15,3.84,3.84,3.84,3.84,0.0,3.84,0
2026-06-16,3.856,3.856,3.856,3.856,0.0,3.856,0
2026-06-17,3.856,3.856,3.856,3.856,0.0,3.856,0
2026-06-18,3.856,3.856,3.856,3.856,0.0,3.856,0
2026-06-22,3.84,3.84,3.84,3.84,10.0,3.84,1
2026-06-23,3.851,3.851,3.851,3.851,0.0,3.851,0
2026-06-24,3.851,3.851,3.851,3.851,0.0,3.851,0
2026-06-25,3.851,3.851,3.851,3.851,0.0,3.851,0
2026-06-26,3.856,3.856,3.856,3.856,0.0,3.856,0
2026-06-29,3.856,3.856,3.856,3.856,0.0,3.856,0
2026-06-30,4.13,4.13,4.13,4.13,0.0,4.13,0
2026-07-01,4.13,4.13,4.13,4.13,0.0,4.13,0
