date,open,high,low,close,volume,average,barCount
2026-06-01,3.86,3.86,3.86,3.86,0.0,3.86,0
2026-06-02,3.86,3.86,3.86,3.86,0.0,3.86,0
2026-06-03,3.86,3.86,3.86,3.86,0.0,3.86,0
2026-06-04,3.86,3.86,3.86,3.86,0.0,3.86,0
2026-06-05,3.86,3.86,3.86,3.86,0.0,3.86,0
2026-06-08,3.86,3.86,3.86,3.86,0.0,3.86,0
2026-06-09,3.86,3.86,3.86,3.86,0.0,3.86,0
2026-06-10,3.86,3.86,3.86,3.86,0.0,3.86,0
2026-06-11,3.86,3.86,3.86,3.86,0.0,3.86,0
2026-06-12,3.86,3.86,3.86,3.86,0.0,3.86,0
2026-06-15,3.86,3.86,3.86,3.86,0.0,3.86,0
2026-06-16,3.876,3.876,3.876,3.876,0.0,3.876,0
2026-06-17,3.876,3.876,3.876,3.876,0.0,3.876,0
2026-06-18,3.876,3.876,3.876,3.876,0.0,3.876,0
2026-06-22,3.86,3.86,3.86,3.86,0.0,3.86,0
2026-06-23,3.871,3.871,3.871,3.871,0.0,3.871,0
2026-06-24,3.871,3.871,3.871,3.871,0.0,3.871,0
2026-06-25,3.871,3.871,3.871,3.871,0.0,3.871,0
2026-06-26,3.876,3.876,3.876,3.876,0.0,3.876,0
2026-06-29,3.876,3.876,3.876,3.876,0.0,3.876,0
2026-06-30,3.876,3.876,3.876,3.876,0.0,3.876,0
2026-07-01,3.87,3.896,3.87,3.896,2.0,3.87,2
2026-07-02,3.896,3.896,3.896,3.896,0.0,3.896,0
2026-07-06,3.896,3.896,3.896,3.896,0.0,3.896,0
2026-07-07,3.886,3.91,3.886,3.91,2.0,3.886,2
2026-07-08,3.921,3.921,3.921,3.921,0.0,3.921,0
2026-07-09,3.939,3.939,3.939,3.939,0.0,3.939,0
2026-07-10,3.958,3.958,3.958,3.958,0.0,3.958,0
2026-07-13,3.965,3.965,3.965,3.965,0.0,3.965,0
2026-07-14,3.966,3.966,3.966,3.966,0.0,3.966,0
2026-07-15,3.961,3.961,3.961,3.961,1.0,3.961,1
2026-07-16,3.987,3.987,3.987,3.987,0.0,3.987,0
2026-07-17,3.997,3.997,3.997,3.997,0.0,3.997,0
2026-07-20,4.014,4.014,4.014,4.014,0.0,4.014,0
2026-07-21,4.027,4.027,4.027,4.027,0.0,4.027,0
2026-07-22,4.033,4.033,4.033,4.033,0.0,4.033,0
2026-07-23,4.035,4.035,4.035,4.035,0.0,4.035,0
2026-07-24,4.051,4.051,4.051,4.051,0.0,4.051,0
2026-07-27,4.062,4.062,4.062,4.062,0.0,4.062,0
2026-07-28,4.086,4.086,4.086,4.086,0.0,4.086,0
2026-07-29,4.086,4.086,4.086,4.086,0.0,4.086,0
2026-07-30,4.13,4.13,4.13,4.13,0.0,4.13,0
2026-07-31,4.288,4.288,4.288,4.288,0.0,4.288,0
