date,open,high,low,close,volume,average,barCount
2026-07-01,3.916,3.916,3.916,3.916,0.0,3.916,0
2026-07-02,3.916,3.916,3.916,3.916,0.0,3.916,0
2026-07-06,3.916,3.916,3.916,3.916,0.0,3.916,0
2026-07-07,3.93,3.93,3.93,3.93,0.0,3.93,0
2026-07-08,3.941,3.941,3.941,3.941,0.0,3.941,0
2026-07-09,3.959,3.959,3.959,3.959,0.0,3.959,0
2026-07-10,3.978,3.978,3.978,3.978,0.0,3.978,0
2026-07-13,3.985,3.985,3.985,3.985,0.0,3.985,0
2026-07-14,3.986,3.986,3.986,3.986,0.0,3.986,0
2026-07-15,3.981,3.981,3.981,3.981,0.0,3.981,0
2026-07-16,4.007,4.007,4.007,4.007,0.0,4.007,0
2026-07-17,4.017,4.017,4.017,4.017,0.0,4.017,0
2026-07-20,4.034,4.034,4.034,4.034,0.0,4.034,0
2026-07-21,4.047,4.047,4.047,4.047,0.0,4.047,0
2026-07-22,4.053,4.053,4.053,4.053,0.0,4.053,0
2026-07-23,4.055,4.055,4.055,4.055,0.0,4.055,0
2026-07-24,4.071,4.071,4.071,4.071,0.0,4.071,0
2026-07-27,4.082,4.082,4.082,4.082,0.0,4.082,0
2026-07-28,4.106,4.106,4.106,4.106,0.0,4.106,0
2026-07-29,4.106,4.106,4.106,4.106,0.0,4.106,0
2026-07-30,4.15,4.15,4.15,4.15,0.0,4.15,0
2026-07-31,4.15,4.15,4.15,4.15,0.0,4.15,0
2026-08-03,4.15,4.15,4.15,4.15,0.0,4.15,0
2026-08-04,4.15,4.15,4.15,4.15,0.0,4.15,0
2026-08-05,4.15,4.15,4.15,4.15,0.0,4.15,0
2026-08-06,4.15,4.15,4.15,4.15,0.0,4.15,0
2026-08-07,4.17,4.17,4.17,4.17,0.0,4.17,0
2026-08-10,4.17,4.17,4.17,4.17,0.0,4.17,0
2026-08-11,4.17,4.17,4.17,4.17,0.0,4.17,0
2026-08-12,4.17,4.17,4.17,4.17,0.0,4.17,0
2026-08-13,4.17,4.17,4.17,4.17,0.0,4.17,0
2026-08-14,4.17,4.17,4.17,4.17,0.0,4.17,0
