date,open,high,low,close,volume,average,barCount
2025-08-01,3.696,3.696,3.696,3.696,0.0,3.696,0
2025-08-04,3.676,3.676,3.676,3.676,0.0,3.676,0
2025-08-05,3.701,3.701,3.701,3.701,0.0,3.701,0
2025-08-06,3.676,3.676,3.676,3.676,0.0,3.676,0
2025-08-07,3.676,3.676,3.676,3.676,0.0,3.676,0
2025-08-08,3.676,3.676,3.676,3.676,0.0,3.676,0
2025-08-11,3.676,3.676,3.676,3.676,0.0,3.676,0
2025-08-12,3.676,3.676,3.676,3.676,0.0,3.676,0
2025-08-13,3.659,3.659,3.659,3.659,0.0,3.659,0
2025-08-14,3.659,3.659,3.659,3.659,0.0,3.659,0
2025-08-15,3.659,3.659,3.659,3.659,0.0,3.659,0
2025-08-18,3.659,3.659,3.659,3.659,0.0,3.659,0
2025-08-19,3.659,3.659,3.659,3.659,0.0,3.659,0
2025-08-20,3.659,3.659,3.659,3.659,0.0,3.659,0
2025-08-21,3.659,3.659,3.659,3.659,0.0,3.659,0
2025-08-22,3.64,3.64,3.636,3.636,15.0,3.64,3
2025-08-25,3.636,3.636,3.636,3.636,0.0,3.636,0
2025-08-26,3.636,3.636,3.636,3.636,0.0,3.636,0
2025-08-27,3.636,3.636,3.636,3.636,0.0,3.636,0
2025-08-28,3.629,3.629,3.629,3.629,0.0,3.629,0
2025-08-29,3.63,3.63,3.573,3.598,19.0,3.585,4
2025-09-02,3.585,3.585,3.565,3.58,65.0,3.5844,13
2025-09-03,3.58,3.58,3.58,3.58,0.0,3.58,0
2025-09-04,3.58,3.58,3.58,3.58,0.0,3.58,0
2025-09-05,3.595,3.595,3.575,3.575,4.0,3.595,4
2025-09-08,3.57,3.57,3.45,3.45,6.0,3.4767,3
2025-09-09,3.45,3.45,3.45,3.45,0.0,3.45,0
2025-09-10,3.45,3.45,3.45,3.45,0.0,3.45,0
2025-09-11,3.45,3.45,3.45,3.45,0.0,3.45,0
2025-09-12,3.496,3.496,3.496,3.496,1.0,3.496,1
2025-09-15,3.496,3.496,3.496,3.496,0.0,3.496,0
2025-09-16,3.496,3.496,3.496,3.496,0.0,3.496,0
2025-09-17,3.496,3.496,3.496,3.496,0.0,3.496,0
2025-09-18,3.57,3.574,3.57,3.57,2.0,3.572,2
2025-09-19,3.57,3.57,3.57,3.57,65.0,3.57,2
2025-09-22,3.571,3.571,3.571,3.571,1.0,3.571,1
2025-09-23,3.571,3.571,3.571,3.571,0.0,3.571,0
2025-09-24,3.571,3.571,3.571,3.571,1.0,3.571,1
2025-09-25,3.571,3.63,3.571,3.616,4.0,3.6042,4
2025-09-26,3.616,3.616,3.616,3.616,0.0,3.616,0
2025-09-29,3.632,3.632,3.632,3.632,1.0,3.632,1
2025-09-30,3.599,3.599,3.599,3.599,0.0,3.599,0
2025-10-01,3.599,3.599,3.599,3.599,0.0,3.599,0
