date,open,high,low,close,volume,average,barCount
2025-09-02,3.549,3.549,3.549,3.549,0.0,3.549,0
2025-09-03,3.549,3.549,3.549,3.549,0.0,3.549,0
2025-09-04,3.549,3.549,3.549,3.549,0.0,3.549,0
2025-09-05,3.544,3.544,3.544,3.544,0.0,3.544,0
2025-09-08,3.419,3.419,3.419,3.419,0.0,3.419,0
2025-09-09,3.419,3.419,3.419,3.419,0.0,3.419,0
2025-09-10,3.419,3.419,3.419,3.419,0.0,3.419,0
2025-09-11,3.419,3.419,3.419,3.419,0.0,3.419,0
2025-09-12,3.465,3.465,3.465,3.465,0.0,3.465,0
2025-09-15,3.465,3.465,3.465,3.465,0.0,3.465,0
2025-09-16,3.465,3.465,3.465,3.465,0.0,3.465,0
2025-09-17,3.465,3.465,3.465,3.465,0.0,3.465,0
2025-09-18,3.539,3.539,3.539,3.539,0.0,3.539,0
2025-09-19,3.539,3.539,3.539,3.539,0.0,3.539,0
2025-09-22,3.54,3.54,3.54,3.54,0.0,3.54,0
2025-09-23,3.54,3.54,3.54,3.54,0.0,3.54,0
2025-09-24,3.54,3.54,3.54,3.54,0.0,3.54,0
2025-09-25,3.57,3.585,3.57,3.585,1.0,3.57,1
2025-09-26,3.585,3.585,3.585,3.585,0.0,3.585,0
2025-09-29,3.581,3.581,3.581,3.581,0.0,3.581,0
2025-09-30,3.59,3.59,3.509,3.59,20.0,3.5328,6
2025-10-01,3.59,3.59,3.59,3.59,0.0,3.59,0
2025-10-02,3.59,3.59,3.59,3.59,0.0,3.59,0
2025-10-03,3.59,3.59,3.59,3.59,0.0,3.59,0
2025-10-06,3.59,3.59,3.59,3.59,0.0,3.59,0
2025-10-07,3.59,3.59,3.59,3.59,0.0,3.59,0
2025-10-08,3.59,3.59,3.59,3.59,0.0,3.59,0
2025-10-09,3.59,3.59,3.59,3.59,0.0,3.59,0
2025-10-10,3.585,3.585,3.585,3.585,0.0,3.585,0
2025-10-13,3.585,3.585,3.585,3.585,0.0,3.585,0
2025-10-14,3.5,3.5,3.5,3.5,1.0,3.5,1
2025-10-15,3.51,3.51,3.5,3.5,5.0,3.502,4
2025-10-16,3.5,3.5,3.5,3.5,0.0,3.5,0
2025-10-17,3.48,3.48,3.48,3.48,0.0,3.48,0
2025-10-20,3.44,3.44,3.437,3.437,5.0,3.4394,2
2025-10-21,3.437,3.437,3.437,3.437,0.0,3.437,0
2025-10-22,3.437,3.437,3.437,3.437,0.0,3.437,0
2025-10-23,3.437,3.437,3.437,3.437,0.0,3.437,0
2025-10-24,3.437,3.437,3.437,3.437,0.0,3.437,0
2025-10-27,3.437,3.437,3.437,3.437,0.0,3.437,0
2025-10-28,3.47,3.47,3.437,3.437,2.0,3.47,1
2025-10-29,3.485,3.485,3.485,3.485,3.0,3.485,3
2025-10-30,3.485,3.485,3.485,3.485,0.0,3.485,0
2025-10-31,3.605,3.605,3.605,3.605,0.0,3.605,0
