date,open,high,low,close,volume,average,barCount
2025-10-01,3.539,3.539,3.539,3.539,0.0,3.539,0
2025-10-02,3.539,3.539,3.539,3.539,0.0,3.539,0
2025-10-03,3.539,3.539,3.539,3.539,0.0,3.539,0
2025-10-06,3.539,3.539,3.539,3.539,0.0,3.539,0
2025-10-07,3.539,3.539,3.539,3.539,0.0,3.539,0
2025-10-08,3.539,3.539,3.539,3.539,0.0,3.539,0
2025-10-09,3.539,3.539,3.539,3.539,0.0,3.539,0
2025-10-10,3.534,3.534,3.534,3.534,0.0,3.534,0
2025-10-13,3.534,3.534,3.534,3.534,0.0,3.534,0
2025-10-14,3.449,3.449,3.449,3.449,0.0,3.449,0
2025-10-15,3.449,3.449,3.449,3.449,0.0,3.449,0
2025-10-16,3.449,3.449,3.449,3.449,0.0,3.449,0
2025-10-17,3.429,3.429,3.429,3.429,0.0,3.429,0
2025-10-20,3.386,3.386,3.386,3.386,0.0,3.386,0
2025-10-21,3.386,3.386,3.386,3.386,0.0,3.386,0
2025-10-22,3.386,3.386,3.386,3.386,0.0,3.386,0
2025-10-23,3.386,3.386,3.386,3.386,0.0,3.386,0
2025-10-24,3.386,3.386,3.386,3.386,0.0,3.386,0
2025-10-27,3.386,3.386,3.386,3.386,0.0,3.386,0
2025-10-28,3.386,3.386,3.386,3.386,0.0,3.386,0
2025-10-29,3.384,3.434,3.384,3.434,3.0,3.384,3
2025-10-30,3.434,3.434,3.434,3.434,0.0,3.434,0
2025-10-31,3.434,3.434,3.434,3.434,0.0,3.434,0
2025-11-03,3.505,3.506,3.505,3.506,15.0,3.505,1
2025-11-04,3.506,3.506,3.506,3.506,0.0,3.506,0
2025-11-05,3.568,3.568,3.568,3.568,4.0,3.568,1
2025-11-06,3.568,3.568,3.568,3.568,0.0,3.568,0
2025-11-07,3.568,3.568,3.568,3.568,0.0,3.568,0
2025-11-10,3.568,3.568,3.568,3.568,0.0,3.568,0
2025-11-11,3.568,3.568,3.568,3.568,0.0,3.568,0
2025-11-12,3.568,3.568,3.568,3.568,0.0,3.568,0
2025-11-13,3.568,3.568,3.568,3.568,0.0,3.568,0
2025-11-14,3.568,3.568,3.568,3.568,0.0,3.568,0
2025-11-17,3.568,3.568,3.568,3.568,0.0,3.568,0
2025-11-18,3.568,3.568,3.568,3.568,0.0,3.568,0
2025-11-19,3.568,3.568,3.568,3.568,0.0,3.568,0
2025-11-20,3.568,3.568,3.568,3.568,0.0,3.568,0
2025-11-21,3.568,3.568,3.568,3.568,0.0,3.568,0
2025-11-24,3.568,3.568,3.568,3.568,0.0,3.568,0
2025-11-25,3.568,3.568,3.568,3.568,0.0,3.568,0
2025-11-26,3.47,3.47,3.47,3.47,1.0,3.47,1
2025-11-28,3.504,3.504,3.504,3.504,0.0,3.504,0
