date,open,high,low,close,volume,average,barCount
2026-03-02,4.833,4.833,4.833,4.833,0.0,4.833,0
2026-03-03,4.833,4.833,4.833,4.833,0.0,4.833,0
2026-03-04,4.833,4.833,4.833,4.833,0.0,4.833,0
2026-03-05,4.833,4.833,4.833,4.833,0.0,4.833,0
2026-03-06,4.833,4.833,4.833,4.833,0.0,4.833,0
2026-03-09,4.833,4.833,4.833,4.833,0.0,4.833,0
2026-03-10,4.833,4.833,4.833,4.833,0.0,4.833,0
2026-03-11,4.833,4.833,4.833,4.833,0.0,4.833,0
2026-03-12,4.876,4.876,4.876,4.876,0.0,4.876,0
2026-03-13,4.891,4.891,4.891,4.891,0.0,4.891,0
2026-03-16,4.891,4.891,4.891,4.891,0.0,4.891,0
2026-03-17,4.891,4.891,4.891,4.891,0.0,4.891,0
2026-03-18,4.891,4.891,4.891,4.891,0.0,4.891,0
2026-03-19,4.891,4.891,4.891,4.891,0.0,4.891,0
2026-03-20,4.944,4.944,4.944,4.944,0.0,4.944,0
2026-03-23,4.944,4.944,4.944,4.944,0.0,4.944,0
2026-03-24,4.914,4.914,4.914,4.914,0.0,4.914,0
2026-03-25,4.914,4.914,4.914,4.914,0.0,4.914,0
2026-03-26,4.914,4.914,4.914,4.914,0.0,4.914,0
2026-03-27,4.914,4.914,4.914,4.914,0.0,4.914,0
2026-03-30,4.914,4.914,4.914,4.914,0.0,4.914,0
2026-03-31,4.914,4.914,4.914,4.914,0.0,4.914,0
2026-04-01,4.914,4.914,4.914,4.914,0.0,4.914,0
2026-04-02,4.914,4.914,4.914,4.914,0.0,4.914,0
2026-04-03,4.91,4.91,4.91,4.91,1.0,4.91,1
2026-04-06,4.91,4.91,4.91,4.91,0.0,4.91,0
2026-04-07,4.91,4.91,4.91,4.91,0.0,4.91,0
2026-04-08,4.91,4.91,4.91,4.91,0.0,4.91,0
2026-04-09,4.909,4.909,4.909,4.909,1.0,4.909,1
2026-04-10,4.909,4.909,4.909,4.909,0.0,4.909,0
2026-04-13,4.909,4.909,4.909,4.909,0.0,4.909,0
2026-04-14,4.909,4.909,4.909,4.909,0.0,4.909,0
2026-04-15,4.909,4.909,4.909,4.909,0.0,4.909,0
2026-04-16,4.909,4.909,4.909,4.909,0.0,4.909,0
2026-04-17,4.88,4.908,4.88,4.908,1.0,4.88,1
2026-04-20,4.908,4.908,4.908,4.908,0.0,4.908,0
2026-04-21,4.908,4.908,4.908,4.908,0.0,4.908,0
2026-04-22,4.908,4.908,4.908,4.908,0.0,4.908,0
2026-04-23,4.908,4.908,4.908,4.908,0.0,4.908,0
2026-04-24,4.908,4.908,4.908,4.908,0.0,4.908,0
2026-04-27,4.908,4.908,4.908,4.908,0.0,4.908,0
2026-04-28,4.908,4.908,4.908,4.908,0.0,4.908,0
2026-04-29,4.908,4.908,4.908,4.908,0.0,4.908,0
2026-04-30,4.985,4.985,4.985,4.985,0.0,4.985,0
2026-05-01,4.985,4.985,4.985,4.985,0.0,4.985,0
