date,open,high,low,close,volume,average,barCount
2026-04-01,4.921,4.921,4.921,4.921,0.0,4.921,0
2026-04-02,4.921,4.921,4.921,4.921,0.0,4.921,0
2026-04-03,4.917,4.917,4.917,4.917,0.0,4.917,0
2026-04-06,4.917,4.917,4.917,4.917,0.0,4.917,0
2026-04-07,4.917,4.917,4.917,4.917,0.0,4.917,0
2026-04-08,4.917,4.917,4.917,4.917,0.0,4.917,0
2026-04-09,4.916,4.916,4.916,4.916,0.0,4.916,0
2026-04-10,4.916,4.916,4.916,4.916,0.0,4.916,0
2026-04-13,4.916,4.916,4.916,4.916,0.0,4.916,0
2026-04-14,4.916,4.916,4.916,4.916,0.0,4.916,0
2026-04-15,4.916,4.916,4.916,4.916,0.0,4.916,0
2026-04-16,4.916,4.916,4.916,4.916,0.0,4.916,0
2026-04-17,4.915,4.915,4.915,4.915,0.0,4.915,0
2026-04-20,4.915,4.915,4.915,4.915,0.0,4.915,0
2026-04-21,4.915,4.915,4.915,4.915,0.0,4.915,0
2026-04-22,4.915,4.915,4.915,4.915,0.0,4.915,0
2026-04-23,4.915,4.915,4.915,4.915,0.0,4.915,0
2026-04-24,4.915,4.915,4.915,4.915,0.0,4.915,0
2026-04-27,4.915,4.915,4.915,4.915,0.0,4.915,0
2026-04-28,4.915,4.915,4.915,4.915,0.0,4.915,0
2026-04-29,4.915,4.915,4.915,4.915,0.0,4.915,0
2026-04-30,4.915,4.915,4.915,4.915,0.0,4.915,0
2026-05-01,4.915,4.915,4.915,4.915,0.0,4.915,0
2026-05-04,4.987,4.987,4.987,4.987,1.0,4.987,1
2026-05-05,4.987,4.987,4.987,4.987,0.0,4.987,0
2026-05-06,4.987,4.987,4.987,4.987,0.0,4.987,0
2026-05-07,4.941,4.941,4.941,4.941,1.0,4.941,1
2026-05-08,4.941,4.941,4.941,4.941,0.0,4.941,0
2026-05-11,4.941,4.941,4.941,4.941,0.0,4.941,0
2026-05-12,4.974,4.974,4.974,4.974,1.0,4.974,1
2026-05-13,4.974,4.974,4.974,4.974,0.0,4.974,0
2026-05-14,4.974,4.974,4.974,4.974,0.0,4.974,0
2026-05-15,4.96,4.965,4.955,4.965,3.0,4.9567,2
2026-05-18,4.965,4.965,4.965,4.965,0.0,4.965,0
2026-05-19,4.965,4.965,4.965,4.965,0.0,4.965,0
2026-05-20,4.965,4.965,4.965,4.965,0.0,4.965,0
2026-05-21,4.965,4.965,4.965,4.965,0.0,4.965,0
2026-05-22,4.965,4.965,4.965,4.965,0.0,4.965,0
2026-05-26,4.965,4.965,4.965,4.965,0.0,4.965,0
2026-05-27,4.965,4.965,4.965,4.965,0.0,4.965,0
2026-05-28,4.965,4.965,4.965,4.965,0.0,4.965,0
2026-05-29,4.989,4.989,4.989,4.989,0.0,4.989,0
