date,open,high,low,close,volume,average,barCount
2026-07-01,5.018,5.018,5.018,5.018,0.0,5.018,0
2026-07-02,5.018,5.018,5.018,5.018,0.0,5.018,0
2026-07-06,5.018,5.018,5.018,5.018,0.0,5.018,0
2026-07-07,5.018,5.018,5.018,5.018,0.0,5.018,0
2026-07-08,5.018,5.018,5.018,5.018,0.0,5.018,0
2026-07-09,5.018,5.018,5.018,5.018,0.0,5.018,0
2026-07-10,5.018,5.018,5.018,5.018,0.0,5.018,0
2026-07-13,5.018,5.018,5.018,5.018,0.0,5.018,0
2026-07-14,5.018,5.018,5.018,5.018,0.0,5.018,0
2026-07-15,5.018,5.018,5.018,5.018,0.0,5.018,0
2026-07-16,5.018,5.018,5.018,5.018,0.0,5.018,0
2026-07-17,5.018,5.018,5.018,5.018,0.0,5.018,0
2026-07-20,5.018,5.018,5.018,5.018,0.0,5.018,0
2026-07-21,5.018,5.018,5.018,5.018,0.0,5.018,0
2026-07-22,5.018,5.018,5.018,5.018,0.0,5.018,0
2026-07-23,5.018,5.018,5.018,5.018,0.0,5.018,0
2026-07-24,5.018,5.018,5.018,5.018,0.0,5.018,0
2026-07-27,5.018,5.018,5.018,5.018,0.0,5.018,0
2026-07-28,5.018,5.018,5.018,5.018,0.0,5.018,0
2026-07-29,5.018,5.018,5.018,5.018,0.0,5.018,0
2026-07-30,5.166,5.166,5.166,5.166,0.0,5.166,0
2026-07-31,5.2,5.224,5.166,5.166,2.0,5.212,2
2026-08-03,5.166,5.166,5.166,5.166,0.0,5.166,0
2026-08-04,5.243,5.243,5.243,5.243,1.0,5.243,1
2026-08-05,5.243,5.243,5.243,5.243,0.0,5.243,0
2026-08-06,5.243,5.243,5.243,5.243,0.0,5.243,0
2026-08-07,5.24,5.24,5.24,5.24,1.0,5.24,1
2026-08-10,5.24,5.24,5.24,5.24,0.0,5.24,0
2026-08-11,5.24,5.24,5.24,5.24,0.0,5.24,0
2026-08-12,5.24,5.24,5.24,5.24,0.0,5.24,0
2026-08-13,5.24,5.24,5.24,5.24,0.0,5.24,0
2026-08-14,5.24,5.24,5.24,5.24,0.0,5.24,0
