date,open,high,low,close,volume,average,barCount
2025-09-02,4.956,4.956,4.956,4.956,0.0,4.956,0
2025-09-03,4.956,4.956,4.956,4.956,0.0,4.956,0
2025-09-04,4.956,4.956,4.956,4.956,0.0,4.956,0
2025-09-05,4.956,4.956,4.956,4.956,0.0,4.956,0
2025-09-08,4.956,4.956,4.956,4.956,0.0,4.956,0
2025-09-09,4.956,4.956,4.956,4.956,0.0,4.956,0
2025-09-10,4.951,4.951,4.951,4.951,0.0,4.951,0
2025-09-11,4.941,4.941,4.941,4.941,0.0,4.941,0
2025-09-12,4.941,4.941,4.941,4.941,0.0,4.941,0
2025-09-15,4.941,4.941,4.941,4.941,0.0,4.941,0
2025-09-16,4.941,4.941,4.941,4.941,0.0,4.941,0
2025-09-17,4.941,4.941,4.941,4.941,0.0,4.941,0
2025-09-18,4.941,4.941,4.941,4.941,0.0,4.941,0
2025-09-19,4.941,4.941,4.941,4.941,0.0,4.941,0
2025-09-22,4.941,4.941,4.941,4.941,0.0,4.941,0
2025-09-23,4.941,4.941,4.941,4.941,0.0,4.941,0
2025-09-24,4.941,4.941,4.941,4.941,0.0,4.941,0
2025-09-25,4.941,4.941,4.941,4.941,0.0,4.941,0
2025-09-26,4.941,4.941,4.941,4.941,0.0,4.941,0
2025-09-29,4.939,4.939,4.939,4.939,0.0,4.939,0
2025-09-30,4.939,4.949,4.939,4.949,7.0,4.9476,2
2025-10-01,4.94,4.94,4.94,4.94,0.0,4.94,0
2025-10-02,4.929,4.929,4.929,4.929,0.0,4.929,0
2025-10-03,4.925,4.925,4.925,4.925,0.0,4.925,0
2025-10-06,4.92,4.92,4.92,4.92,0.0,4.92,0
2025-10-07,4.915,4.915,4.866,4.915,2.0,4.8905,2
2025-10-08,4.736,4.736,4.736,4.736,1.0,4.736,1
2025-10-09,4.736,4.736,4.736,4.736,0.0,4.736,0
2025-10-10,4.736,4.736,4.736,4.736,0.0,4.736,0
2025-10-13,4.736,4.736,4.736,4.736,0.0,4.736,0
2025-10-14,4.736,4.736,4.736,4.736,0.0,4.736,0
2025-10-15,4.736,4.736,4.736,4.736,0.0,4.736,0
2025-10-16,4.736,4.736,4.736,4.736,0.0,4.736,0
2025-10-17,4.736,4.736,4.736,4.736,0.0,4.736,0
2025-10-20,4.736,4.736,4.736,4.736,0.0,4.736,0
2025-10-21,4.736,4.736,4.736,4.736,0.0,4.736,0
2025-10-22,4.736,4.736,4.736,4.736,0.0,4.736,0
2025-10-23,4.736,4.736,4.736,4.736,0.0,4.736,0
2025-10-24,4.736,4.736,4.736,4.736,0.0,4.736,0
2025-10-27,4.736,4.736,4.736,4.736,0.0,4.736,0
2025-10-28,4.736,4.736,4.736,4.736,0.0,4.736,0
2025-10-29,4.736,4.736,4.736,4.736,0.0,4.736,0
2025-10-30,4.736,4.736,4.736,4.736,0.0,4.736,0
2025-10-31,4.665,4.665,4.665,4.665,0.0,4.665,0
