date,open,high,low,close,volume,average,barCount
2018-01-24,54.53,54.53,54.53,54.53,0.0,54.53,0
2018-01-25,54.71,54.71,54.71,54.71,0.0,54.71,0
2018-01-26,54.6,54.6,54.6,54.6,0.0,54.6,0
2018-01-29,54.23,54.23,54.23,54.23,0.0,54.23,0
2018-01-30,53.61,53.61,53.61,53.61,0.0,53.61,0
2018-01-31,53.42,53.42,53.42,53.42,0.0,53.42,0
2018-02-01,53.41,53.41,53.41,53.41,0.0,53.41,0
2018-02-02,52.45,52.45,52.45,52.45,0.0,52.45,0
2018-02-05,52.11,52.11,52.11,52.11,0.0,52.11,0
2018-02-06,51.86,51.86,51.86,51.86,0.0,51.86,0
2018-02-07,51.23,51.23,51.23,51.23,0.0,51.23,0
2018-02-08,51.26,51.26,51.26,51.26,0.0,51.26,0
2018-02-09,50.72,50.72,50.72,50.72,0.0,50.72,0
2018-02-12,50.95,50.95,50.95,50.95,0.0,50.95,0
2018-02-13,51.64,51.64,51.64,51.64,0.0,51.64,0
2018-02-14,51.61,51.61,51.61,51.61,0.0,51.61,0
2018-02-15,51.57,51.57,51.57,51.57,0.0,51.57,0
2018-02-16,51.86,51.86,51.86,51.86,0.0,51.86,0
2018-02-20,52.46,52.46,52.46,52.46,0.0,52.46,0
2018-02-21,52.5,52.5,52.5,52.5,0.0,52.5,0
2018-02-22,52.64,52.64,52.64,52.64,0.0,52.64,0
2018-02-23,53.43,53.43,53.43,53.43,0.0,53.43,0
2018-02-26,54.04,54.04,54.04,54.04,0.0,54.04,0
2018-02-27,53.64,53.64,53.64,53.64,0.0,53.64,0
2018-02-28,52.1,52.1,52.1,52.1,0.0,52.1,0
2018-03-01,51.79,51.79,51.79,51.79,0.0,51.79,0
2018-03-02,51.82,51.82,51.82,51.82,0.0,51.82,0
2018-03-05,52.51,52.51,52.51,52.51,0.0,52.51,0
2018-03-06,52.58,52.58,52.58,52.58,0.0,52.58,0
2018-03-07,51.98,51.98,51.98,51.98,0.0,51.98,0
2018-03-08,51.99,51.99,51.99,51.99,0.0,51.99,0
2018-03-09,52.96,52.96,52.96,52.96,0.0,52.96,0
2018-03-12,52.86,52.86,52.86,52.86,0.0,52.86,0
2018-03-13,52.75,52.75,52.75,52.75,0.0,52.75,0
2018-03-14,52.89,52.89,52.89,52.89,0.0,52.89,0
2018-03-15,52.68,52.68,52.68,52.68,0.0,52.68,0
2018-03-16,52.66,52.66,52.66,52.66,0.0,52.66,0
2018-03-19,52.25,52.25,52.25,52.25,0.0,52.25,0
2018-03-20,52.41,52.41,52.41,52.41,0.0,52.41,0
2018-03-21,53.12,53.12,53.12,53.12,0.0,53.12,0
2018-03-22,52.67,52.67,52.67,52.67,0.0,52.67,0
2018-03-23,53.08,53.08,53.08,53.08,0.0,53.08,0
2018-03-26,52.89,52.89,52.89,52.89,0.0,52.89,0
2018-03-27,52.89,52.89,52.89,52.89,0.0,52.89,0
2018-03-28,52.87,52.87,52.87,52.87,0.0,52.87,0
2018-03-29,52.65,52.65,52.65,52.65,0.0,52.65,0
2018-04-02,51.71,51.71,51.71,51.71,0.0,51.71,0
2018-04-03,52.09,52.09,52.09,52.09,0.0,52.09,0
2018-04-04,52.05,52.05,52.05,52.05,0.0,52.05,0
2018-04-05,52.26,52.26,52.26,52.26,0.0,52.26,0
2018-04-06,51.56,51.56,51.56,51.56,0.0,51.56,0
2018-04-09,51.71,51.71,51.71,51.71,0.0,51.71,0
2018-04-10,52.0,52.0,52.0,52.0,0.0,52.0,0
2018-04-11,52.3,52.3,52.3,52.3,0.0,52.3,0
2018-04-12,51.97,51.97,51.97,51.97,0.0,51.97,0
2018-04-13,51.9,51.9,51.9,51.9,0.0,51.9,0
2018-04-16,51.87,51.87,51.87,51.87,0.0,51.87,0
2018-04-17,51.82,51.82,51.82,51.82,0.0,51.82,0
2018-04-18,51.73,51.73,51.73,51.73,0.0,51.73,0
2018-04-19,51.91,51.91,51.91,51.91,0.0,51.91,0
2018-04-20,51.85,51.85,51.85,51.85,0.0,51.85,0
2018-04-23,52.18,52.18,52.18,52.18,0.0,52.18,0
2018-04-24,51.74,51.74,51.74,51.74,0.0,51.74,0
2018-04-25,51.63,51.63,51.63,51.63,0.0,51.63,0
2018-04-26,51.66,51.66,51.66,51.66,0.0,51.66,0
2018-04-27,51.32,51.32,51.32,51.32,0.0,51.32,0
2018-04-30,51.48,51.48,51.48,51.48,0.0,51.48,0
2018-05-01,51.19,51.19,51.19,51.19,0.0,51.19,0
2018-05-02,51.14,51.14,51.14,51.14,0.0,51.14,0
2018-05-03,51.59,51.59,51.59,51.59,0.0,51.59,0
2018-05-04,52.26,52.26,52.26,52.26,0.0,52.26,0
2018-05-07,52.59,52.59,52.59,52.59,0.0,52.59,0
2018-05-08,52.13,52.13,52.13,52.13,0.0,52.13,0
2018-05-09,52.94,52.94,52.94,52.94,0.0,52.94,0
2018-05-10,53.29,53.29,53.29,53.29,0.0,53.29,0
2018-05-11,53.48,53.48,53.48,53.48,0.0,53.48,0
2018-05-14,53.81,53.81,53.81,53.81,0.0,53.81,0
2018-05-15,54.24,54.24,54.24,54.24,0.0,54.24,0
2018-05-16,54.12,54.12,54.12,54.12,0.0,54.12,0
2018-05-17,54.74,54.74,54.74,54.74,0.0,54.74,0
2018-05-18,54.71,54.71,54.71,54.71,0.0,54.71,0
2018-05-21,55.09,55.09,55.09,55.09,0.0,55.09,0
2018-05-22,54.82,54.82,54.82,54.82,0.0,54.82,0
2018-05-23,53.96,53.96,53.96,53.96,0.0,53.96,0
2018-05-24,53.78,53.78,53.78,53.78,0.0,53.78,0
2018-05-25,52.82,52.82,52.82,52.82,0.0,52.82,0
2018-05-29,52.84,52.84,52.84,52.84,0.0,52.84,0
2018-05-30,53.14,53.14,53.14,53.14,0.0,53.14,0
2018-05-31,53.22,53.22,53.22,53.22,0.0,53.22,0
