date,open,high,low,close,volume,average,barCount
2018-01-24,54.17,54.17,54.17,54.17,0.0,54.17,0
2018-01-25,54.35,54.35,54.35,54.35,0.0,54.35,0
2018-01-26,54.24,54.24,54.24,54.24,0.0,54.24,0
2018-01-29,53.87,53.87,53.87,53.87,0.0,53.87,0
2018-01-30,53.25,53.25,53.25,53.25,0.0,53.25,0
2018-01-31,53.06,53.06,53.06,53.06,0.0,53.06,0
2018-02-01,53.05,53.05,53.05,53.05,0.0,53.05,0
2018-02-02,52.09,52.09,52.09,52.09,0.0,52.09,0
2018-02-05,51.75,51.75,51.75,51.75,0.0,51.75,0
2018-02-06,51.5,51.5,51.5,51.5,0.0,51.5,0
2018-02-07,50.87,50.87,50.87,50.87,0.0,50.87,0
2018-02-08,50.9,50.9,50.9,50.9,0.0,50.9,0
2018-02-09,50.36,50.36,50.36,50.36,0.0,50.36,0
2018-02-12,50.59,50.59,50.59,50.59,0.0,50.59,0
2018-02-13,51.28,51.28,51.28,51.28,0.0,51.28,0
2018-02-14,51.25,51.25,51.25,51.25,0.0,51.25,0
2018-02-15,51.21,51.21,51.21,51.21,0.0,51.21,0
2018-02-16,51.5,51.5,51.5,51.5,0.0,51.5,0
2018-02-20,52.1,52.1,52.1,52.1,0.0,52.1,0
2018-02-21,52.14,52.14,52.14,52.14,0.0,52.14,0
2018-02-22,52.28,52.28,52.28,52.28,0.0,52.28,0
2018-02-23,53.07,53.07,53.07,53.07,0.0,53.07,0
2018-02-26,53.68,53.68,53.68,53.68,0.0,53.68,0
2018-02-27,53.28,53.28,53.28,53.28,0.0,53.28,0
2018-02-28,51.74,51.74,51.74,51.74,0.0,51.74,0
2018-03-01,51.43,51.43,51.43,51.43,0.0,51.43,0
2018-03-02,51.46,51.46,51.46,51.46,0.0,51.46,0
2018-03-05,52.15,52.15,52.15,52.15,0.0,52.15,0
2018-03-06,52.22,52.22,52.22,52.22,0.0,52.22,0
2018-03-07,51.62,51.62,51.62,51.62,0.0,51.62,0
2018-03-08,51.63,51.63,51.63,51.63,0.0,51.63,0
2018-03-09,52.6,52.6,52.6,52.6,0.0,52.6,0
2018-03-12,52.5,52.5,52.5,52.5,0.0,52.5,0
2018-03-13,52.39,52.39,52.39,52.39,0.0,52.39,0
2018-03-14,52.53,52.53,52.53,52.53,0.0,52.53,0
2018-03-15,52.32,52.32,52.32,52.32,0.0,52.32,0
2018-03-16,52.3,52.3,52.3,52.3,0.0,52.3,0
2018-03-19,51.89,51.89,51.89,51.89,0.0,51.89,0
2018-03-20,52.05,52.05,52.05,52.05,0.0,52.05,0
2018-03-21,52.76,52.76,52.76,52.76,0.0,52.76,0
2018-03-22,52.31,52.31,52.31,52.31,0.0,52.31,0
2018-03-23,52.72,52.72,52.72,52.72,0.0,52.72,0
2018-03-26,52.53,52.53,52.53,52.53,0.0,52.53,0
2018-03-27,52.53,52.53,52.53,52.53,0.0,52.53,0
2018-03-28,52.51,52.51,52.51,52.51,0.0,52.51,0
2018-03-29,52.29,52.29,52.29,52.29,0.0,52.29,0
2018-04-02,51.35,51.35,51.35,51.35,0.0,51.35,0
2018-04-03,51.73,51.73,51.73,51.73,0.0,51.73,0
2018-04-04,51.69,51.69,51.69,51.69,0.0,51.69,0
2018-04-05,51.9,51.9,51.9,51.9,0.0,51.9,0
2018-04-06,51.2,51.2,51.2,51.2,0.0,51.2,0
2018-04-09,51.35,51.35,51.35,51.35,0.0,51.35,0
2018-04-10,51.64,51.64,51.64,51.64,0.0,51.64,0
2018-04-11,51.94,51.94,51.94,51.94,0.0,51.94,0
2018-04-12,51.61,51.61,51.61,51.61,0.0,51.61,0
2018-04-13,51.54,51.54,51.54,51.54,0.0,51.54,0
2018-04-16,51.51,51.51,51.51,51.51,0.0,51.51,0
2018-04-17,51.46,51.46,51.46,51.46,0.0,51.46,0
2018-04-18,51.37,51.37,51.37,51.37,0.0,51.37,0
2018-04-19,51.55,51.55,51.55,51.55,0.0,51.55,0
2018-04-20,51.49,51.49,51.49,51.49,0.0,51.49,0
2018-04-23,51.82,51.82,51.82,51.82,0.0,51.82,0
2018-04-24,51.38,51.38,51.38,51.38,0.0,51.38,0
2018-04-25,51.27,51.27,51.27,51.27,0.0,51.27,0
2018-04-26,51.3,51.3,51.3,51.3,0.0,51.3,0
2018-04-27,50.96,50.96,50.96,50.96,0.0,50.96,0
2018-04-30,51.12,51.12,51.12,51.12,0.0,51.12,0
2018-05-01,50.83,50.83,50.83,50.83,0.0,50.83,0
2018-05-02,50.78,50.78,50.78,50.78,0.0,50.78,0
2018-05-03,51.23,51.23,51.23,51.23,0.0,51.23,0
2018-05-04,51.9,51.9,51.9,51.9,0.0,51.9,0
2018-05-07,52.23,52.23,52.23,52.23,0.0,52.23,0
2018-05-08,51.77,51.77,51.77,51.77,0.0,51.77,0
2018-05-09,52.58,52.58,52.58,52.58,0.0,52.58,0
2018-05-10,52.93,52.93,52.93,52.93,0.0,52.93,0
2018-05-11,53.12,53.12,53.12,53.12,0.0,53.12,0
2018-05-14,53.45,53.45,53.45,53.45,0.0,53.45,0
2018-05-15,53.88,53.88,53.88,53.88,0.0,53.88,0
2018-05-16,53.76,53.76,53.76,53.76,0.0,53.76,0
2018-05-17,54.38,54.38,54.38,54.38,0.0,54.38,0
2018-05-18,54.35,54.35,54.35,54.35,0.0,54.35,0
2018-05-21,54.73,54.73,54.73,54.73,0.0,54.73,0
2018-05-22,54.46,54.46,54.46,54.46,0.0,54.46,0
2018-05-23,53.6,53.6,53.6,53.6,0.0,53.6,0
2018-05-24,53.42,53.42,53.42,53.42,0.0,53.42,0
2018-05-25,52.46,52.46,52.46,52.46,0.0,52.46,0
2018-05-29,52.48,52.48,52.48,52.48,0.0,52.48,0
2018-05-30,52.78,52.78,52.78,52.78,0.0,52.78,0
2018-05-31,52.86,52.86,52.86,52.86,0.0,52.86,0
2018-06-01,54.06,54.06,54.06,54.06,0.0,54.06,0
2018-06-04,53.6,53.6,53.6,53.6,0.0,53.6,0
2018-06-05,53.68,53.68,53.68,53.68,0.0,53.68,0
2018-06-06,53.27,53.27,53.27,53.27,0.0,53.27,0
2018-06-07,53.75,53.75,53.75,53.75,0.0,53.75,0
2018-06-08,54.01,54.01,54.01,54.01,0.0,54.01,0
2018-06-11,54.26,54.26,54.26,54.26,0.0,54.26,0
2018-06-12,54.06,54.06,54.06,54.06,0.0,54.06,0
2018-06-13,55.12,55.12,55.12,55.12,0.0,55.12,0
2018-06-14,53.5,53.5,53.5,53.5,0.0,53.5,0
2018-06-15,52.15,52.15,52.15,52.15,0.0,52.15,0
2018-06-18,52.94,52.94,52.94,52.94,0.0,52.94,0
2018-06-19,52.64,52.64,52.64,52.64,0.0,52.64,0
2018-06-20,52.6,52.6,52.6,52.6,0.0,52.6,0
2018-06-21,52.41,52.41,52.41,52.41,0.0,52.41,0
2018-06-22,53.52,53.52,53.52,53.52,0.0,53.52,0
2018-06-25,53.61,53.61,53.61,53.61,0.0,53.61,0
2018-06-26,54.49,54.49,54.49,54.49,0.0,54.49,0
2018-06-27,54.5,54.5,54.5,54.5,0.0,54.5,0
2018-06-28,53.95,53.95,53.95,53.95,0.0,53.95,0
2018-06-29,53.49,53.49,53.49,53.49,0.0,53.49,0
2018-07-02,53.36,53.36,53.36,53.36,0.0,53.36,0
2018-07-03,53.18,53.18,53.18,53.18,0.0,53.18,0
2018-07-05,53.72,53.72,53.72,53.72,0.0,53.72,0
2018-07-06,54.01,54.01,54.01,54.01,0.0,54.01,0
2018-07-09,54.07,54.07,54.07,54.07,0.0,54.07,0
2018-07-10,53.94,53.94,53.94,53.94,0.0,53.94,0
2018-07-11,53.12,53.12,53.12,53.12,0.0,53.12,0
2018-07-12,53.87,53.87,53.87,53.87,0.0,53.87,0
2018-07-13,53.45,53.45,53.45,53.45,0.0,53.45,0
2018-07-16,51.99,51.99,51.99,51.99,0.0,51.99,0
2018-07-17,52.35,52.35,52.35,52.35,0.0,52.35,0
2018-07-18,53.01,53.01,53.01,53.01,0.0,53.01,0
2018-07-19,53.1,53.1,53.1,53.1,0.0,53.1,0
2018-07-20,53.2,53.2,53.2,53.2,0.0,53.2,0
2018-07-23,54.18,54.18,54.18,54.18,0.0,54.18,0
2018-07-24,54.8,54.8,54.8,54.8,0.0,54.8,0
2018-07-25,55.1,55.1,55.1,55.1,0.0,55.1,0
2018-07-26,55.37,55.37,55.37,55.37,0.0,55.37,0
2018-07-27,54.89,54.89,54.89,54.89,0.0,54.89,0
2018-07-30,54.75,54.75,54.75,54.75,0.0,54.75,0
2018-07-31,54.46,54.46,54.46,54.46,0.0,54.46,0
2018-08-01,53.78,53.78,53.78,53.78,0.0,53.78,0
2018-08-02,54.17,54.17,54.17,54.17,0.0,54.17,0
2018-08-03,54.37,54.37,54.37,54.37,0.0,54.37,0
2018-08-06,54.73,54.73,54.73,54.73,0.0,54.73,0
2018-08-07,55.31,55.31,55.31,55.31,0.0,55.31,0
2018-08-08,54.2,54.2,54.2,54.2,0.0,54.2,0
2018-08-09,54.51,54.51,54.51,54.51,0.0,54.51,0
2018-08-10,54.39,54.39,54.39,54.39,0.0,54.39,0
2018-08-13,54.31,54.31,54.31,54.31,0.0,54.31,0
2018-08-14,54.86,54.86,54.86,54.86,0.0,54.86,0
2018-08-15,54.37,54.37,54.37,54.37,0.0,54.37,0
2018-08-16,54.67,54.67,54.67,54.67,0.0,54.67,0
2018-08-17,54.95,54.95,54.95,54.95,0.0,54.95,0
2018-08-20,54.81,54.81,54.81,54.81,0.0,54.81,0
2018-08-21,54.64,54.64,54.64,54.64,0.0,54.64,0
2018-08-22,55.53,55.53,55.53,55.53,0.0,55.53,0
2018-08-23,55.62,55.62,55.62,55.62,0.0,55.62,0
2018-08-24,55.95,55.95,55.95,55.95,0.0,55.95,0
2018-08-27,56.09,56.09,56.09,56.09,0.0,56.09,0
2018-08-28,56.0,56.0,56.0,56.0,0.0,56.0,0
2018-08-29,56.08,56.08,56.08,56.08,0.0,56.08,0
2018-08-30,55.92,55.92,55.92,55.92,0.0,55.92,0
2018-08-31,55.48,55.48,55.48,55.48,0.0,55.48,0
2018-09-04,55.6,55.6,55.6,55.6,0.0,55.6,0
2018-09-05,55.15,55.15,55.15,55.15,0.0,55.15,0
2018-09-06,54.73,54.73,54.73,54.73,0.0,54.73,0
2018-09-07,54.73,54.73,54.73,54.73,0.0,54.73,0
2018-09-10,54.79,54.79,54.79,54.79,0.0,54.79,0
2018-09-11,55.42,55.42,55.42,55.42,0.0,55.42,0
2018-09-12,56.07,56.07,56.07,56.07,0.0,56.07,0
2018-09-13,55.4,55.4,55.4,55.4,0.0,55.4,0
2018-09-14,55.83,55.83,55.83,55.83,0.0,55.83,0
2018-09-17,56.14,56.14,56.14,56.14,0.0,56.14,0
2018-09-18,56.05,56.05,56.05,56.05,0.0,56.05,0
2018-09-19,56.14,56.14,56.14,56.14,0.0,56.14,0
2018-09-20,55.94,55.94,55.94,55.94,0.0,55.94,0
2018-09-21,55.92,55.92,55.92,55.92,0.0,55.92,0
2018-09-24,56.38,56.38,56.38,56.38,0.0,56.38,0
2018-09-25,56.85,56.85,56.85,56.85,0.0,56.85,0
2018-09-26,56.56,56.56,56.56,56.56,0.0,56.56,0
2018-09-27,56.88,56.88,56.88,56.88,0.0,56.88,0
2018-09-28,57.18,57.18,57.18,57.18,0.0,57.18,0
2018-10-01,58.15,58.15,58.15,58.15,0.0,58.15,0
2018-10-02,58.18,58.18,58.18,58.18,0.0,58.18,0
2018-10-03,59.42,59.42,59.42,59.42,0.0,59.42,0
2018-10-04,58.12,58.12,58.12,58.12,0.0,58.12,0
2018-10-05,58.45,58.45,58.45,58.45,0.0,58.45,0
2018-10-08,58.41,58.41,58.41,58.41,0.0,58.41,0
2018-10-09,58.94,58.94,58.94,58.94,0.0,58.94,0
2018-10-10,57.43,57.43,57.43,57.43,0.0,57.43,0
2018-10-11,56.14,56.14,56.14,56.14,0.0,56.14,0
2018-10-12,56.19,56.19,56.19,56.19,0.0,56.19,0
2018-10-15,55.29,55.29,55.29,55.29,0.0,55.29,0
2018-10-16,55.07,55.07,55.07,55.07,0.0,55.07,0
2018-10-17,54.51,54.51,54.51,54.51,0.0,54.51,0
2018-10-18,54.35,54.35,54.35,54.35,0.0,54.35,0
2018-10-19,54.64,54.64,54.64,54.64,0.0,54.64,0
2018-10-22,55.9,55.9,55.9,55.9,0.0,55.9,0
2018-10-23,55.37,55.37,55.37,55.37,0.0,55.37,0
2018-10-24,55.1,55.1,55.1,55.1,0.0,55.1,0
2018-10-25,54.97,54.97,54.97,54.97,0.0,54.97,0
2018-10-26,55.57,55.57,55.57,55.57,0.0,55.57,0
2018-10-29,55.87,55.87,55.87,55.87,0.0,55.87,0
2018-10-30,54.81,54.81,54.81,54.81,0.0,54.81,0
2018-10-31,54.43,54.43,54.43,54.43,0.0,54.43,0
2018-11-01,53.15,53.15,53.15,53.15,0.0,53.15,0
2018-11-02,53.57,53.57,53.57,53.57,0.0,53.57,0
2018-11-05,54.15,54.15,54.15,54.15,0.0,54.15,0
2018-11-06,54.84,54.84,54.84,54.84,0.0,54.84,0
2018-11-07,57.75,57.75,57.75,57.75,0.0,57.75,0
2018-11-08,57.52,57.52,57.52,57.52,0.0,57.52,0
2018-11-09,57.36,57.36,57.36,57.36,0.0,57.36,0
2018-11-12,57.23,57.23,57.23,57.23,0.0,57.23,0
2018-11-13,55.97,55.97,55.97,55.97,0.0,55.97,0
2018-11-14,56.43,56.43,56.43,56.43,0.0,56.43,0
2018-11-15,55.06,55.06,55.06,55.06,0.0,55.06,0
2018-11-16,54.75,54.75,54.75,54.75,0.0,54.75,0
2018-11-19,55.24,55.24,55.24,55.24,0.0,55.24,0
2018-11-20,52.8,52.8,52.8,52.8,0.0,52.8,0
2018-11-21,53.34,53.34,53.34,53.34,0.0,53.34,0
2018-11-23,52.02,52.02,52.02,52.02,0.0,52.02,0
