date,open,high,low,close,volume,average,barCount
2018-01-24,54.2,54.2,54.2,54.2,0.0,54.2,0
2018-01-25,54.38,54.38,54.38,54.38,0.0,54.38,0
2018-01-26,54.27,54.27,54.27,54.27,0.0,54.27,0
2018-01-29,53.9,53.9,53.9,53.9,0.0,53.9,0
2018-01-30,53.28,53.28,53.28,53.28,0.0,53.28,0
2018-01-31,53.09,53.09,53.09,53.09,0.0,53.09,0
2018-02-01,53.08,53.08,53.08,53.08,0.0,53.08,0
2018-02-02,52.12,52.12,52.12,52.12,0.0,52.12,0
2018-02-05,51.78,51.78,51.78,51.78,0.0,51.78,0
2018-02-06,51.53,51.53,51.53,51.53,0.0,51.53,0
2018-02-07,50.9,50.9,50.9,50.9,0.0,50.9,0
2018-02-08,50.93,50.93,50.93,50.93,0.0,50.93,0
2018-02-09,50.39,50.39,50.39,50.39,0.0,50.39,0
2018-02-12,50.62,50.62,50.62,50.62,0.0,50.62,0
2018-02-13,51.31,51.31,51.31,51.31,0.0,51.31,0
2018-02-14,51.28,51.28,51.28,51.28,0.0,51.28,0
2018-02-15,51.24,51.24,51.24,51.24,0.0,51.24,0
2018-02-16,51.53,51.53,51.53,51.53,0.0,51.53,0
2018-02-20,52.13,52.13,52.13,52.13,0.0,52.13,0
2018-02-21,52.17,52.17,52.17,52.17,0.0,52.17,0
2018-02-22,52.31,52.31,52.31,52.31,0.0,52.31,0
2018-02-23,53.1,53.1,53.1,53.1,0.0,53.1,0
2018-02-26,53.71,53.71,53.71,53.71,0.0,53.71,0
2018-02-27,53.31,53.31,53.31,53.31,0.0,53.31,0
2018-02-28,51.77,51.77,51.77,51.77,0.0,51.77,0
2018-03-01,51.46,51.46,51.46,51.46,0.0,51.46,0
2018-03-02,51.49,51.49,51.49,51.49,0.0,51.49,0
2018-03-05,52.18,52.18,52.18,52.18,0.0,52.18,0
2018-03-06,52.25,52.25,52.25,52.25,0.0,52.25,0
2018-03-07,51.65,51.65,51.65,51.65,0.0,51.65,0
2018-03-08,51.66,51.66,51.66,51.66,0.0,51.66,0
2018-03-09,52.63,52.63,52.63,52.63,0.0,52.63,0
2018-03-12,52.53,52.53,52.53,52.53,0.0,52.53,0
