date,open,high,low,close,volume,average,barCount
2017-11-22,50.63,50.63,50.63,50.63,0.0,50.63,0
2017-11-24,50.85,50.85,50.85,50.85,0.0,50.85,0
2017-11-27,51.4,51.4,51.4,51.4,0.0,51.4,0
2017-11-28,51.55,51.55,51.55,51.55,0.0,51.55,0
2017-11-29,51.79,51.79,51.79,51.79,0.0,51.79,0
2017-11-30,51.78,51.78,51.78,51.78,0.0,51.78,0
2017-12-01,51.63,51.63,51.63,51.63,0.0,51.63,0
2017-12-04,51.78,51.78,51.78,51.78,0.0,51.78,0
2017-12-05,51.88,51.88,51.88,51.88,0.0,51.88,0
2017-12-06,51.54,51.54,51.54,51.54,0.0,51.54,0
2017-12-07,52.01,52.01,52.01,52.01,0.0,52.01,0
2017-12-08,52.01,52.01,52.01,52.01,0.0,52.01,0
2017-12-11,52.1,52.1,52.1,52.1,0.0,52.1,0
2017-12-12,51.75,51.75,51.75,51.75,0.0,51.75,0
2017-12-13,50.72,50.72,50.72,50.72,0.0,50.72,0
2017-12-14,50.82,50.82,50.82,50.82,0.0,50.82,0
2017-12-15,50.47,50.47,50.47,50.47,0.0,50.47,0
2017-12-18,51.12,51.12,51.12,51.12,0.0,51.12,0
2017-12-19,51.61,51.61,51.61,51.61,0.0,51.61,0
2017-12-20,51.48,51.48,51.48,51.48,0.0,51.48,0
2017-12-21,51.56,51.56,51.56,51.56,0.0,51.56,0
2017-12-22,51.92,51.92,51.92,51.92,0.0,51.92,0
2017-12-26,52.3,52.3,52.3,52.3,0.0,52.3,0
2017-12-27,52.64,52.64,52.64,52.64,0.0,52.64,0
2017-12-28,52.77,52.77,52.77,52.77,0.0,52.77,0
2017-12-29,52.54,52.54,52.54,52.54,0.0,52.54,0
2018-01-02,52.36,52.36,52.36,52.36,0.0,52.36,0
2018-01-03,52.45,52.45,52.45,52.45,0.0,52.45,0
2018-01-04,52.5,52.5,52.5,52.5,0.0,52.5,0
2018-01-05,52.81,52.81,52.81,52.81,0.0,52.81,0
2018-01-08,53.27,53.27,53.27,53.27,0.0,53.27,0
2018-01-09,53.64,53.64,53.64,53.64,0.0,53.64,0
2018-01-10,53.4,53.4,53.4,53.4,0.0,53.4,0
2018-01-11,53.5,53.5,53.5,53.5,0.0,53.5,0
2018-01-12,53.59,53.59,53.59,53.59,0.0,53.59,0
2018-01-16,53.65,53.65,53.65,53.65,0.0,53.65,0
2018-01-17,53.93,53.93,53.93,53.93,0.0,53.93,0
2018-01-18,54.18,54.18,54.18,54.18,0.0,54.18,0
2018-01-19,54.48,54.48,54.48,54.48,0.0,54.48,0
2018-01-22,54.59,54.59,54.59,54.59,0.0,54.59,0
2018-01-23,54.81,54.81,54.81,54.81,0.0,54.81,0
2018-01-24,54.27,54.27,54.27,54.27,0.0,54.27,0
2018-01-25,54.45,54.45,54.45,54.45,0.0,54.45,0
2018-01-26,54.34,54.34,54.34,54.34,0.0,54.34,0
2018-01-29,53.97,53.97,53.97,53.97,0.0,53.97,0
2018-01-30,53.35,53.35,53.35,53.35,0.0,53.35,0
2018-01-31,53.16,53.16,53.16,53.16,0.0,53.16,0
2018-02-01,53.15,53.15,53.15,53.15,0.0,53.15,0
2018-02-02,52.19,52.19,52.19,52.19,0.0,52.19,0
2018-02-05,51.85,51.85,51.85,51.85,0.0,51.85,0
2018-02-06,51.6,51.6,51.6,51.6,0.0,51.6,0
2018-02-07,50.97,50.97,50.97,50.97,0.0,50.97,0
2018-02-08,51.0,51.0,51.0,51.0,0.0,51.0,0
2018-02-09,50.46,50.46,50.46,50.46,0.0,50.46,0
2018-02-12,50.69,50.69,50.69,50.69,0.0,50.69,0
2018-02-13,51.38,51.38,51.38,51.38,0.0,51.38,0
