date,open,high,low,close,volume,average,barCount
2018-11-21,53.15,53.15,53.15,53.15,0.0,53.15,0
2018-11-23,51.83,51.83,51.83,51.83,0.0,51.83,0
2018-11-26,52.47,52.47,52.47,52.47,0.0,52.47,0
2018-11-27,53.26,53.26,53.26,53.26,0.0,53.26,0
2018-11-28,53.49,53.49,53.49,53.49,0.0,53.49,0
2018-11-29,53.71,53.71,53.71,53.71,0.0,53.71,0
2018-11-30,52.15,52.15,52.15,52.15,0.0,52.15,0
2018-12-03,53.41,53.41,53.41,53.41,0.0,53.41,0
2018-12-04,53.55,53.55,53.55,53.55,0.0,53.55,0
2018-12-05,53.24,53.24,53.24,53.24,0.0,53.24,0
2018-12-06,52.65,52.65,52.65,52.65,0.0,52.65,0
2018-12-07,52.15,52.15,52.15,52.15,0.0,52.15,0
2018-12-10,51.16,51.16,51.16,51.16,0.0,51.16,0
2018-12-11,51.24,51.24,51.24,51.24,0.0,51.24,0
2018-12-12,51.39,51.39,51.39,51.39,0.0,51.39,0
2018-12-13,52.07,52.07,52.07,52.07,0.0,52.07,0
2018-12-14,51.61,51.61,51.61,51.61,0.0,51.61,0
2018-12-17,51.78,51.78,51.78,51.78,0.0,51.78,0
2018-12-18,50.42,50.42,50.42,50.42,0.0,50.42,0
2018-12-19,51.38,51.38,51.38,51.38,0.0,51.38,0
2018-12-20,50.95,50.95,50.95,50.95,0.0,50.95,0
2018-12-21,51.27,51.27,51.27,51.27,0.0,51.27,0
2018-12-24,50.74,50.74,50.74,50.74,0.0,50.74,0
2018-12-26,53.62,53.62,53.62,53.62,0.0,53.62,0
2018-12-27,52.06,52.06,52.06,52.06,0.0,52.06,0
2018-12-28,52.0,52.0,52.0,52.0,0.0,52.0,0
2018-12-31,53.03,53.03,53.03,53.03,0.0,53.03,0
2019-01-02,53.85,53.85,53.85,53.85,0.0,53.85,0
2019-01-03,54.09,54.09,54.09,54.09,0.0,54.09,0
2019-01-04,54.26,54.26,54.26,54.26,0.0,54.26,0
2019-01-07,53.99,53.99,53.99,53.99,0.0,53.99,0
2019-01-08,54.9,54.9,54.9,54.9,0.0,54.9,0
2019-01-09,55.8,55.8,55.8,55.8,0.0,55.8,0
2019-01-10,55.38,55.38,55.38,55.38,0.0,55.38,0
2019-01-11,54.49,54.49,54.49,54.49,0.0,54.49,0
