date,open,high,low,close,volume,average,barCount
2018-01-24,54.0,54.0,54.0,54.0,0.0,54.0,0
2018-01-25,54.18,54.18,54.18,54.18,0.0,54.18,0
2018-01-26,54.07,54.07,54.07,54.07,0.0,54.07,0
2018-01-29,53.7,53.7,53.7,53.7,0.0,53.7,0
2018-01-30,53.08,53.08,53.08,53.08,0.0,53.08,0
2018-01-31,52.89,52.89,52.89,52.89,0.0,52.89,0
2018-02-01,52.88,52.88,52.88,52.88,0.0,52.88,0
2018-02-02,51.92,51.92,51.92,51.92,0.0,51.92,0
2018-02-05,51.58,51.58,51.58,51.58,0.0,51.58,0
2018-02-06,51.33,51.33,51.33,51.33,0.0,51.33,0
2018-02-07,50.7,50.7,50.7,50.7,0.0,50.7,0
2018-02-08,50.73,50.73,50.73,50.73,0.0,50.73,0
2018-02-09,50.19,50.19,50.19,50.19,0.0,50.19,0
2018-02-12,50.42,50.42,50.42,50.42,0.0,50.42,0
2018-02-13,51.11,51.11,51.11,51.11,0.0,51.11,0
2018-02-14,51.08,51.08,51.08,51.08,0.0,51.08,0
2018-02-15,51.04,51.04,51.04,51.04,0.0,51.04,0
2018-02-16,51.33,51.33,51.33,51.33,0.0,51.33,0
2018-02-20,51.93,51.93,51.93,51.93,0.0,51.93,0
2018-02-21,51.97,51.97,51.97,51.97,0.0,51.97,0
2018-02-22,52.11,52.11,52.11,52.11,0.0,52.11,0
2018-02-23,52.9,52.9,52.9,52.9,0.0,52.9,0
2018-02-26,53.51,53.51,53.51,53.51,0.0,53.51,0
2018-02-27,53.11,53.11,53.11,53.11,0.0,53.11,0
2018-02-28,51.57,51.57,51.57,51.57,0.0,51.57,0
2018-03-01,51.26,51.26,51.26,51.26,0.0,51.26,0
2018-03-02,51.29,51.29,51.29,51.29,0.0,51.29,0
2018-03-05,51.98,51.98,51.98,51.98,0.0,51.98,0
2018-03-06,52.05,52.05,52.05,52.05,0.0,52.05,0
2018-03-07,51.45,51.45,51.45,51.45,0.0,51.45,0
2018-03-08,51.46,51.46,51.46,51.46,0.0,51.46,0
2018-03-09,52.43,52.43,52.43,52.43,0.0,52.43,0
2018-03-12,52.33,52.33,52.33,52.33,0.0,52.33,0
2018-03-13,52.22,52.22,52.22,52.22,0.0,52.22,0
2018-03-14,52.36,52.36,52.36,52.36,0.0,52.36,0
2018-03-15,52.15,52.15,52.15,52.15,0.0,52.15,0
2018-03-16,52.13,52.13,52.13,52.13,0.0,52.13,0
2018-03-19,51.72,51.72,51.72,51.72,0.0,51.72,0
2018-03-20,51.88,51.88,51.88,51.88,0.0,51.88,0
2018-03-21,52.59,52.59,52.59,52.59,0.0,52.59,0
2018-03-22,52.14,52.14,52.14,52.14,0.0,52.14,0
2018-03-23,52.55,52.55,52.55,52.55,0.0,52.55,0
2018-03-26,52.36,52.36,52.36,52.36,0.0,52.36,0
2018-03-27,52.36,52.36,52.36,52.36,0.0,52.36,0
2018-03-28,52.34,52.34,52.34,52.34,0.0,52.34,0
2018-03-29,52.12,52.12,52.12,52.12,0.0,52.12,0
2018-04-02,51.18,51.18,51.18,51.18,0.0,51.18,0
2018-04-03,51.56,51.56,51.56,51.56,0.0,51.56,0
2018-04-04,51.52,51.52,51.52,51.52,0.0,51.52,0
2018-04-05,51.67,51.67,51.67,51.67,0.0,51.67,0
2018-04-06,50.97,50.97,50.97,50.97,0.0,50.97,0
2018-04-09,51.12,51.12,51.12,51.12,0.0,51.12,0
2018-04-10,51.41,51.41,51.41,51.41,0.0,51.41,0
2018-04-11,51.71,51.71,51.71,51.71,0.0,51.71,0
2018-04-12,51.38,51.38,51.38,51.38,0.0,51.38,0
2018-04-13,51.31,51.31,51.31,51.31,0.0,51.31,0
2018-04-16,51.28,51.28,51.28,51.28,0.0,51.28,0
2018-04-17,51.23,51.23,51.23,51.23,0.0,51.23,0
2018-04-18,51.14,51.14,51.14,51.14,0.0,51.14,0
2018-04-19,51.32,51.32,51.32,51.32,0.0,51.32,0
2018-04-20,51.26,51.26,51.26,51.26,0.0,51.26,0
2018-04-23,51.59,51.59,51.59,51.59,0.0,51.59,0
2018-04-24,51.15,51.15,51.15,51.15,0.0,51.15,0
2018-04-25,51.04,51.04,51.04,51.04,0.0,51.04,0
2018-04-26,51.07,51.07,51.07,51.07,0.0,51.07,0
2018-04-27,50.73,50.73,50.73,50.73,0.0,50.73,0
2018-04-30,50.89,50.89,50.89,50.89,0.0,50.89,0
2018-05-01,50.6,50.6,50.6,50.6,0.0,50.6,0
2018-05-02,50.55,50.55,50.55,50.55,0.0,50.55,0
2018-05-03,51.0,51.0,51.0,51.0,0.0,51.0,0
2018-05-04,51.67,51.67,51.67,51.67,0.0,51.67,0
2018-05-07,52.0,52.0,52.0,52.0,0.0,52.0,0
2018-05-08,51.54,51.54,51.54,51.54,0.0,51.54,0
2018-05-09,52.35,52.35,52.35,52.35,0.0,52.35,0
2018-05-10,52.7,52.7,52.7,52.7,0.0,52.7,0
2018-05-11,52.89,52.89,52.89,52.89,0.0,52.89,0
2018-05-14,53.22,53.22,53.22,53.22,0.0,53.22,0
2018-05-15,53.65,53.65,53.65,53.65,0.0,53.65,0
2018-05-16,53.53,53.53,53.53,53.53,0.0,53.53,0
2018-05-17,54.15,54.15,54.15,54.15,0.0,54.15,0
2018-05-18,54.15,54.15,54.15,54.15,0.0,54.15,0
2018-05-21,54.53,54.53,54.53,54.53,0.0,54.53,0
2018-05-22,54.26,54.26,54.26,54.26,0.0,54.26,0
2018-05-23,53.44,53.44,53.44,53.44,0.0,53.44,0
2018-05-24,53.22,53.22,53.22,53.22,0.0,53.22,0
2018-05-25,52.26,52.26,52.26,52.26,0.0,52.26,0
2018-05-29,52.28,52.28,52.28,52.28,0.0,52.28,0
2018-05-30,52.58,52.58,52.58,52.58,0.0,52.58,0
2018-05-31,52.66,52.66,52.66,52.66,0.0,52.66,0
2018-06-01,53.86,53.86,53.86,53.86,0.0,53.86,0
2018-06-04,53.39,53.39,53.39,53.39,0.0,53.39,0
2018-06-05,53.47,53.47,53.47,53.47,0.0,53.47,0
2018-06-06,53.06,53.06,53.06,53.06,0.0,53.06,0
2018-06-07,53.59,53.59,53.59,53.59,0.0,53.59,0
2018-06-08,53.83,53.83,53.83,53.83,0.0,53.83,0
2018-06-11,54.08,54.08,54.08,54.08,0.0,54.08,0
2018-06-12,53.88,53.88,53.88,53.88,0.0,53.88,0
2018-06-13,54.94,54.94,54.94,54.94,0.0,54.94,0
2018-06-14,53.42,53.42,53.42,53.42,0.0,53.42,0
2018-06-15,52.07,52.07,52.07,52.07,0.0,52.07,0
2018-06-18,52.86,52.86,52.86,52.86,0.0,52.86,0
2018-06-19,52.56,52.56,52.56,52.56,0.0,52.56,0
2018-06-20,52.52,52.52,52.52,52.52,0.0,52.52,0
2018-06-21,52.33,52.33,52.33,52.33,0.0,52.33,0
2018-06-22,53.44,53.44,53.44,53.44,0.0,53.44,0
2018-06-25,53.53,53.53,53.53,53.53,0.0,53.53,0
2018-06-26,54.41,54.41,54.41,54.41,0.0,54.41,0
2018-06-27,54.42,54.42,54.42,54.42,0.0,54.42,0
2018-06-28,53.87,53.87,53.87,53.87,0.0,53.87,0
2018-06-29,53.41,53.41,53.41,53.41,0.0,53.41,0
2018-07-02,53.28,53.28,53.28,53.28,0.0,53.28,0
2018-07-03,53.1,53.1,53.1,53.1,0.0,53.1,0
2018-07-05,53.64,53.64,53.64,53.64,0.0,53.64,0
2018-07-06,53.93,53.93,53.93,53.93,0.0,53.93,0
2018-07-09,53.99,53.99,53.99,53.99,0.0,53.99,0
2018-07-10,53.86,53.86,53.86,53.86,0.0,53.86,0
2018-07-11,53.03,53.03,53.03,53.03,0.0,53.03,0
2018-07-12,53.78,53.78,53.78,53.78,0.0,53.78,0
2018-07-13,53.36,53.36,53.36,53.36,0.0,53.36,0
2018-07-16,51.9,51.9,51.9,51.9,0.0,51.9,0
2018-07-17,52.26,52.26,52.26,52.26,0.0,52.26,0
2018-07-18,52.9,52.9,52.9,52.9,0.0,52.9,0
2018-07-19,52.99,52.99,52.99,52.99,0.0,52.99,0
2018-07-20,53.09,53.09,53.09,53.09,0.0,53.09,0
2018-07-23,54.07,54.07,54.07,54.07,0.0,54.07,0
2018-07-24,54.69,54.69,54.69,54.69,0.0,54.69,0
2018-07-25,54.99,54.99,54.99,54.99,0.0,54.99,0
2018-07-26,55.26,55.26,55.26,55.26,0.0,55.26,0
2018-07-27,54.78,54.78,54.78,54.78,0.0,54.78,0
2018-07-30,54.64,54.64,54.64,54.64,0.0,54.64,0
2018-07-31,54.35,54.35,54.35,54.35,0.0,54.35,0
2018-08-01,53.67,53.67,53.67,53.67,0.0,53.67,0
2018-08-02,54.06,54.06,54.06,54.06,0.0,54.06,0
2018-08-03,54.26,54.26,54.26,54.26,0.0,54.26,0
2018-08-06,54.62,54.62,54.62,54.62,0.0,54.62,0
2018-08-07,55.2,55.2,55.2,55.2,0.0,55.2,0
2018-08-08,54.09,54.09,54.09,54.09,0.0,54.09,0
2018-08-09,54.4,54.4,54.4,54.4,0.0,54.4,0
2018-08-10,54.28,54.28,54.28,54.28,0.0,54.28,0
2018-08-13,54.2,54.2,54.2,54.2,0.0,54.2,0
2018-08-14,54.75,54.75,54.75,54.75,0.0,54.75,0
2018-08-15,54.46,54.46,54.46,54.46,0.0,54.46,0
2018-08-16,54.76,54.76,54.76,54.76,0.0,54.76,0
2018-08-17,55.04,55.04,55.04,55.04,0.0,55.04,0
2018-08-20,54.9,54.9,54.9,54.9,0.0,54.9,0
2018-08-21,54.73,54.73,54.73,54.73,0.0,54.73,0
2018-08-22,55.62,55.62,55.62,55.62,0.0,55.62,0
2018-08-23,55.71,55.71,55.71,55.71,0.0,55.71,0
2018-08-24,56.04,56.04,56.04,56.04,0.0,56.04,0
2018-08-27,56.18,56.18,56.18,56.18,0.0,56.18,0
2018-08-28,56.09,56.09,56.09,56.09,0.0,56.09,0
2018-08-29,56.17,56.17,56.17,56.17,0.0,56.17,0
2018-08-30,56.01,56.01,56.01,56.01,0.0,56.01,0
2018-08-31,55.57,55.57,55.57,55.57,0.0,55.57,0
2018-09-04,55.69,55.69,55.69,55.69,0.0,55.69,0
2018-09-05,55.24,55.24,55.24,55.24,0.0,55.24,0
2018-09-06,54.82,54.82,54.82,54.82,0.0,54.82,0
2018-09-07,54.82,54.82,54.82,54.82,0.0,54.82,0
2018-09-10,54.88,54.88,54.88,54.88,0.0,54.88,0
2018-09-11,55.51,55.51,55.51,55.51,0.0,55.51,0
2018-09-12,56.16,56.16,56.16,56.16,0.0,56.16,0
2018-09-13,55.49,55.49,55.49,55.49,0.0,55.49,0
2018-09-14,55.92,55.92,55.92,55.92,0.0,55.92,0
2018-09-17,56.23,56.23,56.23,56.23,0.0,56.23,0
2018-09-18,56.14,56.14,56.14,56.14,0.0,56.14,0
2018-09-19,56.23,56.23,56.23,56.23,0.0,56.23,0
2018-09-20,56.03,56.03,56.03,56.03,0.0,56.03,0
2018-09-21,56.01,56.01,56.01,56.01,0.0,56.01,0
2018-09-24,56.47,56.47,56.47,56.47,0.0,56.47,0
2018-09-25,56.94,56.94,56.94,56.94,0.0,56.94,0
2018-09-26,56.65,56.65,56.65,56.65,0.0,56.65,0
2018-09-27,56.97,56.97,56.97,56.97,0.0,56.97,0
2018-09-28,57.27,57.27,57.27,57.27,0.0,57.27,0
2018-10-01,58.24,58.24,58.24,58.24,0.0,58.24,0
2018-10-02,58.27,58.27,58.27,58.27,0.0,58.27,0
2018-10-03,59.51,59.51,59.51,59.51,0.0,59.51,0
2018-10-04,58.21,58.21,58.21,58.21,0.0,58.21,0
2018-10-05,58.54,58.54,58.54,58.54,0.0,58.54,0
2018-10-08,58.5,58.5,58.5,58.5,0.0,58.5,0
2018-10-09,59.03,59.03,59.03,59.03,0.0,59.03,0
2018-10-10,57.52,57.52,57.52,57.52,0.0,57.52,0
2018-10-11,56.23,56.23,56.23,56.23,0.0,56.23,0
2018-10-12,56.12,56.12,56.12,56.12,0.0,56.12,0
2018-10-15,55.24,55.24,55.24,55.24,0.0,55.24,0
2018-10-16,54.96,54.96,54.96,54.96,0.0,54.96,0
2018-10-17,54.4,54.4,54.4,54.4,0.0,54.4,0
2018-10-18,54.24,54.24,54.24,54.24,0.0,54.24,0
2018-10-19,54.53,54.53,54.53,54.53,0.0,54.53,0
2018-10-22,55.79,55.79,55.79,55.79,0.0,55.79,0
2018-10-23,55.26,55.26,55.26,55.26,0.0,55.26,0
2018-10-24,55.03,55.03,55.03,55.03,0.0,55.03,0
2018-10-25,54.9,54.9,54.9,54.9,0.0,54.9,0
2018-10-26,55.58,55.58,55.58,55.58,0.0,55.58,0
2018-10-29,55.9,55.9,55.9,55.9,0.0,55.9,0
2018-10-30,54.84,54.84,54.84,54.84,0.0,54.84,0
2018-10-31,54.46,54.46,54.46,54.46,0.0,54.46,0
2018-11-01,53.18,53.18,53.18,53.18,0.0,53.18,0
2018-11-02,53.72,53.72,53.72,53.72,0.0,53.72,0
2018-11-05,54.3,54.3,54.3,54.3,0.0,54.3,0
2018-11-06,54.99,54.99,54.99,54.99,0.0,54.99,0
2018-11-07,57.9,57.9,57.9,57.9,0.0,57.9,0
2018-11-08,57.68,57.68,57.68,57.68,0.0,57.68,0
2018-11-09,57.55,57.55,57.55,57.55,0.0,57.55,0
2018-11-12,57.42,57.42,57.42,57.42,0.0,57.42,0
2018-11-13,56.16,56.16,56.16,56.16,0.0,56.16,0
2018-11-14,56.62,56.62,56.62,56.62,0.0,56.62,0
2018-11-15,55.25,55.25,55.25,55.25,0.0,55.25,0
2018-11-16,54.95,54.95,54.95,54.95,0.0,54.95,0
2018-11-19,55.4,55.4,55.4,55.4,0.0,55.4,0
2018-11-20,52.89,52.89,52.89,52.89,0.0,52.89,0
2018-11-21,53.5,53.5,53.5,53.5,0.0,53.5,0
2018-11-23,52.17,52.17,52.17,52.17,0.0,52.17,0
2018-11-26,52.79,52.79,52.79,52.79,0.0,52.79,0
2018-11-27,53.58,53.58,53.58,53.58,0.0,53.58,0
2018-11-28,53.75,53.75,53.75,53.75,0.0,53.75,0
2018-11-29,53.98,53.98,53.98,53.98,0.0,53.98,0
2018-11-30,52.44,52.44,52.44,52.44,0.0,52.44,0
2018-12-03,53.7,53.7,53.7,53.7,0.0,53.7,0
2018-12-04,53.87,53.87,53.87,53.87,0.0,53.87,0
2018-12-05,53.56,53.56,53.56,53.56,0.0,53.56,0
2018-12-06,52.97,52.97,52.97,52.97,0.0,52.97,0
2018-12-07,52.47,52.47,52.47,52.47,0.0,52.47,0
2018-12-10,51.46,51.46,51.46,51.46,0.0,51.46,0
2018-12-11,51.54,51.54,51.54,51.54,0.0,51.54,0
2018-12-12,51.69,51.69,51.69,51.69,0.0,51.69,0
2018-12-13,52.37,52.37,52.37,52.37,0.0,52.37,0
2018-12-14,51.91,51.91,51.91,51.91,0.0,51.91,0
2018-12-17,52.08,52.08,52.08,52.08,0.0,52.08,0
2018-12-18,50.6,50.6,50.6,50.6,0.0,50.6,0
2018-12-19,51.56,51.56,51.56,51.56,0.0,51.56,0
2018-12-20,51.13,51.13,51.13,51.13,0.0,51.13,0
2018-12-21,51.45,51.45,51.45,51.45,0.0,51.45,0
2018-12-24,50.86,50.86,50.86,50.86,0.0,50.86,0
2018-12-26,53.74,53.74,53.74,53.74,0.0,53.74,0
2018-12-27,52.18,52.18,52.18,52.18,0.0,52.18,0
2018-12-28,52.11,52.11,52.11,52.11,0.0,52.11,0
2018-12-31,53.14,53.14,53.14,53.14,0.0,53.14,0
2019-01-02,53.96,53.96,53.96,53.96,0.0,53.96,0
2019-01-03,54.2,54.2,54.2,54.2,0.0,54.2,0
2019-01-04,54.37,54.37,54.37,54.37,0.0,54.37,0
2019-01-07,54.1,54.1,54.1,54.1,0.0,54.1,0
2019-01-08,55.01,55.01,55.01,55.01,0.0,55.01,0
2019-01-09,55.91,55.91,55.91,55.91,0.0,55.91,0
2019-01-10,55.34,55.34,55.34,55.34,0.0,55.34,0
2019-01-11,54.45,54.45,54.45,54.45,0.0,54.45,0
2019-01-14,53.96,53.96,53.96,53.96,0.0,53.96,0
2019-01-15,54.48,54.48,54.48,54.48,0.0,54.48,0
2019-01-16,54.81,54.81,54.81,54.81,0.0,54.81,0
2019-01-17,54.02,54.02,54.02,54.02,0.0,54.02,0
2019-01-18,53.21,53.21,53.21,53.21,0.0,53.21,0
2019-01-22,53.71,53.71,53.71,53.71,0.0,53.71,0
2019-01-23,53.69,53.69,53.69,53.69,0.0,53.69,0
2019-01-24,53.82,53.82,53.82,53.82,0.0,53.82,0
2019-01-25,53.9,53.9,53.9,53.9,0.0,53.9,0
2019-01-28,53.75,53.75,53.75,53.75,0.0,53.75,0
2019-01-29,54.09,54.09,54.09,54.09,0.0,54.09,0
2019-01-30,53.73,53.73,53.73,53.73,0.0,53.73,0
2019-01-31,53.16,53.16,53.16,53.16,0.0,53.16,0
2019-02-01,54.37,54.37,54.37,54.37,0.0,54.37,0
2019-02-04,54.17,54.17,54.17,54.17,0.0,54.17,0
2019-02-05,53.78,53.78,53.78,53.78,0.0,53.78,0
2019-02-06,53.45,53.45,53.45,53.45,0.0,53.45,0
2019-02-07,52.97,52.97,52.97,52.97,0.0,52.97,0
2019-02-08,52.92,52.92,52.92,52.92,0.0,52.92,0
2019-02-11,53.09,53.09,53.09,53.09,0.0,53.09,0
2019-02-12,53.24,53.24,53.24,53.24,0.0,53.24,0
2019-02-13,53.78,53.78,53.78,53.78,0.0,53.78,0
2019-02-14,53.78,53.78,53.78,53.78,0.0,53.78,0
2019-02-15,54.07,54.07,54.07,54.07,0.0,54.07,0
2019-02-19,54.54,54.54,54.54,54.54,0.0,54.54,0
2019-02-20,54.47,54.47,54.47,54.47,0.0,54.47,0
2019-02-21,54.45,54.45,54.45,54.45,0.0,54.45,0
2019-02-22,54.17,54.17,54.17,54.17,0.0,54.17,0
2019-02-25,53.61,53.61,53.61,53.61,0.0,53.61,0
2019-02-26,53.84,53.84,53.84,53.84,0.0,53.84,0
2019-02-27,54.18,54.18,54.18,54.18,0.0,54.18,0
2019-02-28,54.19,54.19,54.19,54.19,0.0,54.19,0
2019-03-01,53.49,53.49,53.49,53.49,0.0,53.49,0
2019-03-04,54.34,54.34,54.34,54.34,0.0,54.34,0
2019-03-05,54.28,54.28,54.28,54.28,0.0,54.28,0
2019-03-06,54.29,54.29,54.29,54.29,0.0,54.29,0
2019-03-07,54.27,54.27,54.27,54.27,0.0,54.27,0
