date,open,high,low,close,volume,average,barCount
2018-01-24,54.44,54.44,54.44,54.44,0.0,54.44,0
2018-01-25,54.62,54.62,54.62,54.62,0.0,54.62,0
2018-01-26,54.51,54.51,54.51,54.51,0.0,54.51,0
2018-01-29,54.14,54.14,54.14,54.14,0.0,54.14,0
2018-01-30,53.52,53.52,53.52,53.52,0.0,53.52,0
2018-01-31,53.33,53.33,53.33,53.33,0.0,53.33,0
2018-02-01,53.32,53.32,53.32,53.32,0.0,53.32,0
2018-02-02,52.36,52.36,52.36,52.36,0.0,52.36,0
2018-02-05,52.02,52.02,52.02,52.02,0.0,52.02,0
2018-02-06,51.77,51.77,51.77,51.77,0.0,51.77,0
2018-02-07,51.14,51.14,51.14,51.14,0.0,51.14,0
2018-02-08,51.17,51.17,51.17,51.17,0.0,51.17,0
2018-02-09,50.63,50.63,50.63,50.63,0.0,50.63,0
2018-02-12,50.86,50.86,50.86,50.86,0.0,50.86,0
2018-02-13,51.55,51.55,51.55,51.55,0.0,51.55,0
2018-02-14,51.52,51.52,51.52,51.52,0.0,51.52,0
2018-02-15,51.48,51.48,51.48,51.48,0.0,51.48,0
2018-02-16,51.77,51.77,51.77,51.77,0.0,51.77,0
2018-02-20,52.37,52.37,52.37,52.37,0.0,52.37,0
2018-02-21,52.41,52.41,52.41,52.41,0.0,52.41,0
2018-02-22,52.55,52.55,52.55,52.55,0.0,52.55,0
2018-02-23,53.34,53.34,53.34,53.34,0.0,53.34,0
2018-02-26,53.95,53.95,53.95,53.95,0.0,53.95,0
2018-02-27,53.55,53.55,53.55,53.55,0.0,53.55,0
2018-02-28,52.01,52.01,52.01,52.01,0.0,52.01,0
2018-03-01,51.7,51.7,51.7,51.7,0.0,51.7,0
2018-03-02,51.73,51.73,51.73,51.73,0.0,51.73,0
2018-03-05,52.42,52.42,52.42,52.42,0.0,52.42,0
2018-03-06,52.49,52.49,52.49,52.49,0.0,52.49,0
2018-03-07,51.89,51.89,51.89,51.89,0.0,51.89,0
2018-03-08,51.9,51.9,51.9,51.9,0.0,51.9,0
2018-03-09,52.87,52.87,52.87,52.87,0.0,52.87,0
2018-03-12,52.77,52.77,52.77,52.77,0.0,52.77,0
