date,open,high,low,close,volume,average,barCount
2020-05-14,55.81,55.81,55.81,55.81,0.0,55.81,0
2020-05-15,55.51,55.51,55.51,55.51,0.0,55.51,0
2020-05-18,56.39,56.39,56.39,56.39,0.0,56.39,0
2020-05-19,55.84,55.84,55.84,55.84,0.0,55.84,0
2020-05-20,56.44,56.44,56.44,56.44,0.0,56.44,0
2020-05-21,55.84,55.84,55.84,55.84,0.0,55.84,0
2020-05-22,55.24,55.24,55.24,55.24,0.0,55.24,0
2020-05-26,56.47,56.47,56.47,56.47,0.0,56.47,0
2020-05-27,56.35,56.35,56.35,56.35,0.0,56.35,0
2020-05-28,57.41,57.41,57.41,57.41,0.0,57.41,0
2020-05-29,57.17,57.17,57.17,57.17,0.0,57.17,0
2020-06-01,57.38,57.38,57.38,57.38,0.0,57.38,0
2020-06-02,57.59,57.59,57.59,57.59,0.0,57.59,0
2020-06-03,57.67,57.67,57.67,57.67,0.0,57.67,0
2020-06-04,58.15,58.15,58.15,58.15,0.0,58.15,0
2020-06-05,57.91,57.91,57.91,57.91,0.0,57.91,0
2020-06-08,56.48,56.48,56.48,56.48,0.0,56.48,0
2020-06-09,56.84,56.84,56.84,56.84,0.0,56.84,0
2020-06-10,56.98,56.98,56.98,56.98,0.0,56.98,0
2020-06-11,54.74,54.74,54.74,54.74,0.0,54.74,0
2020-06-12,54.28,54.28,54.28,54.28,0.0,54.28,0
2020-06-15,55.3,55.3,55.3,55.3,0.0,55.3,0
2020-06-16,54.9,54.9,54.9,54.9,0.0,54.9,0
2020-06-17,53.71,53.71,53.71,53.71,0.0,53.71,0
2020-06-18,53.52,53.52,53.52,53.52,0.0,53.52,0
2020-06-19,53.33,53.33,53.33,53.33,0.0,53.33,0
2020-06-22,53.47,53.47,53.47,53.47,0.0,53.47,0
2020-06-23,52.94,52.94,52.94,52.94,0.0,52.94,0
2020-06-24,52.28,52.28,52.28,52.28,0.0,52.28,0
2020-06-25,52.41,52.41,52.41,52.41,0.0,52.41,0
2020-06-26,52.48,52.48,52.48,52.48,0.0,52.48,0
2020-06-29,53.0,53.0,53.0,53.0,0.0,53.0,0
2020-06-30,52.22,52.22,52.22,52.22,0.0,52.22,0
2020-07-01,52.44,52.44,52.44,52.44,0.0,52.44,0
2020-07-02,52.86,52.86,52.86,52.86,0.0,52.86,0
2020-07-06,53.01,53.01,53.01,53.01,0.0,53.01,0
2020-07-07,52.98,52.98,52.98,52.98,0.0,52.98,0
2020-07-08,53.29,53.29,53.29,53.29,0.0,53.29,0
2020-07-09,53.3,53.3,53.3,53.3,0.0,53.3,0
2020-07-10,53.45,53.45,53.45,53.45,0.0,53.45,0
2020-07-13,53.08,53.08,53.08,53.08,0.0,53.08,0
2020-07-14,53.13,53.13,53.13,53.13,0.0,53.13,0
2020-07-15,53.38,53.38,53.38,53.38,0.0,53.38,0
2020-07-16,53.19,53.19,53.19,53.19,0.0,53.19,0
2020-07-17,53.16,53.16,53.16,53.16,0.0,53.16,0
2020-07-20,53.21,53.21,53.21,53.21,0.0,53.21,0
2020-07-21,53.22,53.22,53.22,53.22,0.0,53.22,0
2020-07-22,53.12,53.12,53.12,53.12,0.0,53.12,0
2020-07-23,53.04,53.04,53.04,53.04,0.0,53.04,0
2020-07-24,53.73,53.73,53.73,53.73,0.0,53.73,0
2020-07-27,53.92,53.92,53.92,53.92,0.0,53.92,0
2020-07-28,53.81,53.81,53.81,53.81,0.0,53.81,0
2020-07-29,53.98,53.98,53.98,53.98,0.0,53.98,0
2020-07-30,52.78,52.78,52.78,52.78,0.0,52.78,0
2020-07-31,53.21,53.21,53.21,53.21,0.0,53.21,0
2020-08-03,54.03,54.03,54.03,54.03,0.0,54.03,0
2020-08-04,54.0,54.0,54.0,54.0,0.0,54.0,0
2020-08-05,53.84,53.84,53.84,53.84,0.0,53.84,0
2020-08-06,53.81,53.81,53.81,53.81,0.0,53.81,0
2020-08-07,53.53,53.53,53.53,53.53,0.0,53.53,0
2020-08-10,53.34,53.34,53.34,53.34,0.0,53.34,0
2020-08-11,53.09,53.09,53.09,53.09,0.0,53.09,0
2020-08-12,53.54,53.54,53.54,53.54,0.0,53.54,0
2020-08-13,53.48,53.48,53.48,53.48,0.0,53.48,0
2020-08-14,52.84,52.84,52.84,52.84,0.0,52.84,0
2020-08-17,53.45,53.45,53.45,53.45,0.0,53.45,0
2020-08-18,53.14,53.14,53.14,53.14,0.0,53.14,0
2020-08-19,53.37,53.37,53.37,53.37,0.0,53.37,0
2020-08-20,53.3,53.3,53.3,53.3,0.0,53.3,0
2020-08-21,53.15,53.15,53.15,53.15,0.0,53.15,0
2020-08-24,53.68,53.68,53.68,53.68,0.0,53.68,0
2020-08-25,54.09,54.09,54.09,54.09,0.0,54.09,0
2020-08-26,54.16,54.16,54.16,54.16,0.0,54.16,0
2020-08-27,53.68,53.68,53.68,53.68,0.0,53.68,0
2020-08-28,54.45,54.45,54.45,54.45,0.0,54.45,0
2020-08-31,54.1,54.1,54.1,54.1,0.0,54.1,0
2020-09-01,54.36,54.36,54.36,54.36,0.0,54.36,0
2020-09-02,53.78,53.78,53.78,53.78,0.0,53.78,0
2020-09-03,54.2,54.2,54.2,54.2,0.0,54.2,0
2020-09-04,54.07,54.07,54.07,54.07,0.0,54.07,0
2020-09-08,52.71,52.71,52.71,52.71,0.0,52.71,0
2020-09-09,53.53,53.53,53.53,53.53,0.0,53.53,0
2020-09-10,53.44,53.44,53.44,53.44,0.0,53.44,0
2020-09-11,53.33,53.33,53.33,53.33,0.0,53.33,0
2020-09-14,53.63,53.63,53.63,53.63,0.0,53.63,0
2020-09-15,54.94,54.94,54.94,54.94,0.0,54.94,0
2020-09-16,54.7,54.7,54.7,54.7,0.0,54.7,0
2020-09-17,54.7,54.7,54.7,54.7,0.0,54.7,0
2020-09-18,54.04,54.04,54.04,54.04,0.0,54.04,0
2020-09-21,53.07,53.07,53.07,53.07,0.0,53.07,0
2020-09-22,53.08,53.08,53.08,53.08,0.0,53.08,0
2020-09-23,53.05,53.05,53.05,53.05,0.0,53.05,0
2020-09-24,53.26,53.26,53.26,53.26,0.0,53.26,0
2020-09-25,53.0,53.0,53.0,53.0,0.0,53.0,0
2020-09-28,52.89,52.89,52.89,52.89,0.0,52.89,0
2020-09-29,51.78,51.78,51.78,51.78,0.0,51.78,0
2020-09-30,52.16,52.16,52.16,52.16,0.0,52.16,0
2020-10-01,51.65,51.65,51.65,51.65,0.0,51.65,0
2020-10-02,50.7,50.7,50.7,50.7,0.0,50.7,0
2020-10-05,51.84,51.84,51.84,51.84,0.0,51.84,0
2020-10-06,52.26,52.26,52.26,52.26,0.0,52.26,0
2020-10-07,51.2,51.2,51.2,51.2,0.0,51.2,0
2020-10-08,51.34,51.34,51.34,51.34,0.0,51.34,0
2020-10-09,50.56,50.56,50.56,50.56,0.0,50.56,0
2020-10-12,50.23,50.23,50.23,50.23,0.0,50.23,0
2020-10-13,50.31,50.31,50.31,50.31,0.0,50.31,0
2020-10-14,50.64,50.64,50.64,50.64,0.0,50.64,0
