date,open,high,low,close,volume,average,barCount
2023-08-21,4790.0,4790.0,4790.0,4790.0,0.0,4790.0,0
2023-08-22,4777.0,4777.0,4777.0,4777.0,0.0,4777.0,0
2023-08-23,4825.0,4825.0,4825.0,4825.0,0.0,4825.0,0
2023-08-24,4763.0,4763.0,4763.0,4763.0,0.0,4763.0,0
2023-08-25,4794.0,4794.0,4794.0,4794.0,0.0,4794.0,0
2023-08-28,4822.0,4822.0,4822.0,4822.0,0.0,4822.0,0
2023-08-29,4887.0,4887.0,4887.0,4887.0,0.0,4887.0,0
2023-08-30,4904.0,4904.0,4904.0,4904.0,0.0,4904.0,0
2023-08-31,4896.0,4896.0,4896.0,4896.0,0.0,4896.0,0
2023-09-01,4901.0,4901.0,4901.0,4901.0,0.0,4901.0,0
2023-09-04,4901.0,4901.0,4901.0,4901.0,0.0,4901.0,0
2023-09-05,4893.25,4893.25,4893.25,4893.25,0.0,4893.25,0
2023-09-06,4861.0,4861.0,4861.0,4861.0,0.0,4861.0,0
2023-09-07,4845.0,4845.0,4845.0,4845.0,0.0,4845.0,0
2023-09-08,4851.0,4851.0,4851.0,4851.0,0.0,4851.0,0
2023-09-11,4880.0,4880.0,4880.0,4880.0,0.0,4880.0,0
2023-09-12,4854.0,4854.0,4854.0,4854.0,0.0,4854.0,0
2023-09-13,4858.0,4858.0,4858.0,4858.0,0.0,4858.0,0
2023-09-14,4896.0,4896.0,4896.0,4896.0,0.0,4896.0,0
2023-09-15,4838.0,4838.0,4838.0,4838.0,0.0,4838.0,0
2023-09-18,4842.0,4842.0,4842.0,4842.0,0.0,4842.0,0
2023-09-19,4838.0,4838.0,4838.0,4838.0,0.0,4838.0,0
2023-09-20,4795.0,4795.0,4795.0,4795.0,0.0,4795.0,0
2023-09-21,4759.0,4759.0,4759.0,4759.0,0.0,4759.0,0
2023-09-22,4748.0,4748.0,4748.0,4748.0,0.0,4748.0,0
2023-09-25,4766.0,4766.0,4766.0,4766.0,0.0,4766.0,0
2023-09-26,4701.0,4701.0,4701.0,4701.0,0.0,4701.0,0
2023-09-27,4700.0,4700.0,4700.0,4700.0,0.0,4700.0,0
2023-09-28,4724.0,4724.0,4724.0,4724.0,0.0,4724.0,0
2023-09-29,4712.0,4712.0,4712.0,4712.0,0.0,4712.0,0
2023-10-02,4711.0,4711.0,4711.0,4711.0,0.0,4711.0,0
2023-10-03,4651.0,4651.0,4651.0,4651.0,0.0,4651.0,0
2023-10-04,4678.0,4678.0,4678.0,4678.0,0.0,4678.0,0
2023-10-05,4666.0,4666.0,4666.0,4666.0,0.0,4666.0,0
2023-10-06,4713.0,4713.0,4713.0,4713.0,0.0,4713.0,0
2023-10-09,4739.0,4739.0,4739.0,4739.0,0.0,4739.0,0
2023-10-10,4756.0,4756.0,4756.0,4756.0,0.0,4756.0,0
2023-10-11,4775.0,4775.0,4775.0,4775.0,0.0,4775.0,0
