date,open,high,low,close,volume,average,barCount
2025-02-10,3072.3,3072.3,3072.3,3072.3,0.0,3072.3,0
2025-02-11,3073.4,3073.4,3073.4,3073.4,0.0,3073.4,0
2025-02-12,3070.0,3070.0,3070.0,3070.0,0.0,3070.0,0
2025-02-13,3084.7,3084.7,3084.7,3084.7,0.0,3084.7,0
2025-02-14,3037.1,3037.1,3037.1,3037.1,0.0,3037.1,0
2025-02-17,3037.1,3037.1,3037.1,3037.1,0.0,3037.1,0
2025-02-18,3085.5,3085.5,3085.5,3085.5,0.0,3085.5,0
2025-02-19,3068.8,3068.8,3068.8,3068.8,0.0,3068.8,0
2025-02-20,3089.3,3089.3,3089.3,3089.3,0.0,3089.3,0
2025-02-21,3087.6,3087.6,3087.6,3087.6,0.0,3087.6,0
2025-02-24,3099.5,3099.5,3099.5,3099.5,0.0,3099.5,0
2025-02-25,3054.5,3054.5,3054.5,3054.5,0.0,3054.5,0
2025-02-26,3067.0,3067.0,3067.0,3067.0,0.0,3067.0,0
2025-02-27,3032.0,3032.0,3032.0,3032.0,0.0,3032.0,0
2025-02-28,2983.1,2983.1,2983.1,2983.1,0.0,2983.1,0
2025-03-03,3037.3,3037.3,3037.3,3037.3,0.0,3037.3,0
2025-03-04,3056.6,3056.6,3056.6,3056.6,0.0,3056.6,0
2025-03-05,3061.5,3061.5,3061.5,3061.5,0.0,3061.5,0
2025-03-06,3062.4,3062.4,3062.4,3062.4,0.0,3062.4,0
2025-03-07,3049.3,3049.3,3049.3,3049.3,0.0,3049.3,0
2025-03-10,3033.0,3033.0,3033.0,3033.0,0.0,3033.0,0
2025-03-11,3055.5,3055.5,3055.5,3055.5,0.0,3055.5,0
2025-03-12,3080.5,3080.5,3080.5,3080.5,0.0,3080.5,0
2025-03-13,3126.0,3126.0,3126.0,3126.0,0.0,3126.0,0
2025-03-14,3135.2,3135.2,3135.2,3135.2,0.0,3135.2,0
2025-03-17,3140.3,3140.3,3140.3,3140.3,0.0,3140.3,0
2025-03-18,3178.2,3178.2,3178.2,3178.2,0.0,3178.2,0
2025-03-19,3178.9,3178.9,3178.9,3178.9,0.0,3178.9,0
2025-03-20,3180.3,3180.3,3180.3,3180.3,0.0,3180.3,0
2025-03-21,3153.9,3153.9,3153.9,3153.9,0.0,3153.9,0
2025-03-24,3148.7,3148.7,3148.7,3148.7,0.0,3148.7,0
2025-03-25,3160.1,3160.1,3160.1,3160.1,0.0,3160.1,0
2025-03-26,3156.8,3156.8,3156.8,3156.8,0.0,3156.8,0
2025-03-27,3195.9,3195.9,3195.9,3195.9,0.0,3195.9,0
2025-03-28,3219.9,3219.9,3219.9,3219.9,0.0,3219.9,0
2025-03-31,3257.1,3257.1,3257.1,3257.1,0.0,3257.1,0
2025-04-01,3252.5,3252.5,3252.5,3252.5,0.0,3252.5,0
2025-04-02,3274.3,3274.3,3274.3,3274.3,0.0,3274.3,0
2025-04-03,3228.5,3228.5,3228.5,3228.5,0.0,3228.5,0
2025-04-04,3138.7,3138.7,3138.7,3138.7,0.0,3138.7,0
2025-04-07,3076.6,3076.6,3076.6,3076.6,0.0,3076.6,0
2025-04-08,3095.7,3095.7,3095.7,3095.7,0.0,3095.7,0
2025-04-09,3189.2,3189.2,3189.2,3189.2,0.0,3189.2,0
2025-04-10,3289.4,3289.4,3289.4,3289.4,0.0,3289.4,0
2025-04-11,3362.1,3362.1,3362.1,3362.1,0.0,3362.1,0
2025-04-14,3341.1,3341.1,3341.1,3341.1,0.0,3341.1,0
2025-04-15,3355.9,3355.9,3355.9,3355.9,0.0,3355.9,0
2025-04-16,3466.0,3466.0,3466.0,3466.0,0.0,3466.0,0
2025-04-17,3447.6,3447.6,3447.6,3447.6,0.0,3447.6,0
2025-04-21,3508.1,3554.9,3508.1,3546.3,2.0,3531.5,2
2025-04-22,3596.0,3610.6,3532.6,3540.7,4.0,3583.8,4
2025-04-23,3452.2,3460.0,3413.3,3413.3,7.0,3454.3,7
2025-04-24,3469.9,3469.9,3469.9,3469.9,0.0,3469.9,0
2025-04-25,3438.5,3438.5,3418.2,3418.2,2.0,3431.75,2
2025-04-28,3455.0,3468.3,3400.0,3468.3,7.0,3431.33,7
2025-04-29,3448.1,3453.5,3440.0,3453.5,3.0,3445.33,3
2025-04-30,3437.3,3437.3,3437.3,3437.3,0.0,3437.3,0
2025-05-01,3349.4,3349.5,3338.9,3338.9,2.0,3349.45,2
2025-05-02,3362.7,3362.7,3361.0,3361.0,3.0,3362.67,2
2025-05-05,3443.1,3443.1,3443.1,3443.1,0.0,3443.1,0
2025-05-06,3546.0,3546.0,3546.0,3546.0,0.0,3546.0,0
2025-05-07,3515.9,3515.9,3515.9,3515.9,0.0,3515.9,0
2025-05-08,3428.1,3428.1,3428.1,3428.1,0.0,3428.1,0
2025-05-09,3466.3,3466.3,3466.3,3466.3,0.0,3466.3,0
2025-05-12,3349.9,3349.9,3349.9,3349.9,0.0,3349.9,0
2025-05-13,3371.2,3371.2,3371.2,3371.2,0.0,3371.2,0
2025-05-14,3309.5,3309.5,3309.5,3309.5,0.0,3309.5,0
2025-05-15,3346.7,3346.7,3346.7,3346.7,0.0,3346.7,0
2025-05-16,3306.3,3306.3,3306.3,3306.3,0.0,3306.3,0
2025-05-19,3358.5,3366.1,3348.0,3354.8,94.0,3359.24,77
2025-05-20,3366.0,3405.7,3366.0,3404.7,14.0,3374.04,11
2025-05-21,3436.2,3436.2,3436.2,3436.2,0.0,3436.2,0
2025-05-22,3425.9,3425.9,3417.6,3417.6,1.0,3425.9,1
2025-05-23,3452.8,3490.0,3452.8,3490.0,4.0,3461.95,3
2025-05-27,3436.0,3436.0,3425.1,3425.1,1.0,3436.0,1
2025-05-28,3438.8,3438.8,3417.0,3417.8,15.0,3426.83,14
2025-05-29,3374.0,3436.9,3374.0,3436.9,4.0,3379.4,4
2025-05-30,3408.1,3408.1,3408.1,3408.1,0.0,3408.1,0
2025-06-02,3491.8,3491.8,3491.8,3491.8,0.0,3491.8,0
2025-06-03,3496.0,3496.1,3473.2,3473.2,4.0,3487.03,4
2025-06-04,3478.0,3497.2,3478.0,3495.0,12.0,3491.31,10
2025-06-05,3491.0,3512.8,3470.3,3470.3,5.0,3490.76,5
2025-06-06,3488.6,3488.6,3441.8,3441.8,4.0,3482.8,4
2025-06-09,3449.8,3449.8,3449.8,3449.8,0.0,3449.8,0
