date,open,high,low,close,volume,average,barCount
2025-02-10,3098.9,3098.9,3098.9,3098.9,0.0,3098.9,0
2025-02-11,3101.4,3101.4,3101.4,3101.4,0.0,3101.4,0
2025-02-12,3098.1,3098.1,3098.1,3098.1,0.0,3098.1,0
2025-02-13,3112.9,3112.9,3112.9,3112.9,0.0,3112.9,0
2025-02-14,3065.1,3065.1,3065.1,3065.1,0.0,3065.1,0
2025-02-17,3065.1,3065.1,3065.1,3065.1,0.0,3065.1,0
2025-02-18,3113.5,3113.5,3113.5,3113.5,0.0,3113.5,0
2025-02-19,3096.3,3096.3,3096.3,3096.3,0.0,3096.3,0
2025-02-20,3116.7,3116.7,3116.7,3116.7,0.0,3116.7,0
2025-02-21,3112.1,3112.1,3112.1,3112.1,0.0,3112.1,0
2025-02-24,3124.0,3124.0,3124.0,3124.0,0.0,3124.0,0
2025-02-25,3079.0,3079.0,3079.0,3079.0,0.0,3079.0,0
2025-02-26,3091.4,3091.4,3091.4,3091.4,0.0,3091.4,0
2025-02-27,3056.4,3056.4,3056.4,3056.4,0.0,3056.4,0
2025-02-28,3007.5,3007.5,3007.5,3007.5,0.0,3007.5,0
2025-03-03,3061.6,3061.6,3061.6,3061.6,0.0,3061.6,0
2025-03-04,3080.6,3080.6,3080.6,3080.6,0.0,3080.6,0
2025-03-05,3085.4,3085.4,3085.4,3085.4,0.0,3085.4,0
2025-03-06,3086.1,3086.1,3086.1,3086.1,0.0,3086.1,0
2025-03-07,3071.8,3071.8,3071.8,3071.8,0.0,3071.8,0
2025-03-10,3055.2,3055.2,3055.2,3055.2,0.0,3055.2,0
2025-03-11,3077.6,3077.6,3077.6,3077.6,0.0,3077.6,0
2025-03-12,3102.5,3102.5,3102.5,3102.5,0.0,3102.5,0
2025-03-13,3148.0,3148.0,3148.0,3148.0,0.0,3148.0,0
2025-03-14,3157.2,3157.2,3157.2,3157.2,0.0,3157.2,0
2025-03-17,3162.3,3162.3,3162.3,3162.3,0.0,3162.3,0
2025-03-18,3200.3,3200.3,3200.3,3200.3,0.0,3200.3,0
2025-03-19,3201.2,3201.2,3201.2,3201.2,0.0,3201.2,0
2025-03-20,3202.6,3202.6,3202.6,3202.6,0.0,3202.6,0
2025-03-21,3175.8,3175.8,3175.8,3175.8,0.0,3175.8,0
2025-03-24,3170.4,3170.4,3170.4,3170.4,0.0,3170.4,0
2025-03-25,3181.7,3181.7,3181.7,3181.7,0.0,3181.7,0
2025-03-26,3178.2,3178.2,3178.2,3178.2,0.0,3178.2,0
2025-03-27,3217.3,3217.3,3217.3,3217.3,0.0,3217.3,0
2025-03-28,3241.4,3241.4,3241.4,3241.4,0.0,3241.4,0
2025-03-31,3278.5,3278.5,3278.5,3278.5,0.0,3278.5,0
2025-04-01,3273.4,3273.4,3273.4,3273.4,0.0,3273.4,0
2025-04-02,3295.5,3295.5,3295.5,3295.5,0.0,3295.5,0
2025-04-03,3249.5,3249.5,3249.5,3249.5,0.0,3249.5,0
2025-04-04,3158.6,3158.6,3158.6,3158.6,0.0,3158.6,0
2025-04-07,3096.4,3096.4,3096.4,3096.4,0.0,3096.4,0
2025-04-08,3115.8,3115.8,3115.8,3115.8,0.0,3115.8,0
2025-04-09,3210.9,3210.9,3210.9,3210.9,0.0,3210.9,0
2025-04-10,3311.5,3311.5,3311.5,3311.5,0.0,3311.5,0
2025-04-11,3385.2,3385.2,3385.2,3385.2,0.0,3385.2,0
2025-04-14,3364.2,3364.2,3364.2,3364.2,0.0,3364.2,0
2025-04-15,3379.0,3379.0,3379.0,3379.0,0.0,3379.0,0
2025-04-16,3489.5,3489.5,3489.5,3489.5,0.0,3489.5,0
2025-04-17,3470.9,3470.9,3470.9,3470.9,0.0,3470.9,0
2025-04-21,3569.9,3569.9,3569.9,3569.9,0.0,3569.9,0
2025-04-22,3570.0,3571.8,3536.1,3567.8,35.0,3556.62,27
2025-04-23,3473.7,3473.7,3438.3,3438.3,3.0,3473.7,2
2025-04-24,3494.7,3494.7,3494.7,3494.7,0.0,3494.7,0
