date,open,high,low,close,volume,average,barCount
2020-06-30,1917.1,1917.1,1917.1,1917.1,0.0,1917.1,0
2020-07-01,1898.6,1898.6,1898.6,1898.6,0.0,1898.6,0
2020-07-02,1908.9,1908.9,1908.9,1908.9,0.0,1908.9,0
2020-07-06,1915.3,1915.3,1915.3,1915.3,0.0,1915.3,0
2020-07-07,1936.8,1936.8,1936.8,1936.8,0.0,1936.8,0
2020-07-08,1957.4,1957.4,1957.4,1957.4,0.0,1957.4,0
2020-07-09,1940.7,1940.7,1940.7,1940.7,0.0,1940.7,0
2020-07-10,1938.7,1938.7,1938.7,1938.7,0.0,1938.7,0
2020-07-13,1952.0,1952.0,1952.0,1952.0,0.0,1952.0,0
2020-07-14,1950.1,1950.1,1950.1,1950.1,0.0,1950.1,0
2020-07-15,1950.0,1950.0,1950.0,1950.0,0.0,1950.0,0
2020-07-16,1934.7,1934.7,1934.7,1934.7,0.0,1934.7,0
2020-07-17,1941.6,1941.6,1941.6,1941.6,0.0,1941.6,0
2020-07-20,1948.2,1948.2,1948.2,1948.2,0.0,1948.2,0
2020-07-21,1979.5,1979.5,1979.5,1979.5,0.0,1979.5,0
2020-07-22,2007.2,2007.2,2007.2,2007.2,0.0,2007.2,0
2020-07-23,2035.8,2035.8,2035.8,2035.8,0.0,2035.8,0
2020-07-24,2046.3,2046.3,2046.3,2046.3,0.0,2046.3,0
2020-07-27,2078.0,2078.0,2078.0,2078.0,0.0,2078.0,0
2020-07-28,2086.3,2086.3,2086.3,2086.3,0.0,2086.3,0
2020-07-29,2097.6,2097.6,2097.6,2097.6,0.0,2097.6,0
2020-07-30,2087.3,2087.3,2087.3,2087.3,0.0,2087.3,0
2020-07-31,2107.5,2107.5,2107.5,2107.5,0.0,2107.5,0
2020-08-03,2108.5,2108.5,2108.5,2108.5,0.0,2108.5,0
2020-08-04,2143.5,2143.5,2143.5,2143.5,0.0,2143.5,0
2020-08-05,2173.9,2173.9,2173.9,2173.9,0.0,2173.9,0
2020-08-06,2195.8,2195.8,2195.8,2195.8,0.0,2195.8,0
2020-08-07,2153.6,2153.6,2153.6,2153.6,0.0,2153.6,0
2020-08-10,2164.8,2164.8,2164.8,2164.8,0.0,2164.8,0
2020-08-11,2068.1,2068.1,2068.1,2068.1,0.0,2068.1,0
2020-08-12,2068.5,2068.5,2068.5,2068.5,0.0,2068.5,0
2020-08-13,2090.3,2090.3,2090.3,2090.3,0.0,2090.3,0
2020-08-14,2068.4,2068.4,2068.4,2068.4,0.0,2068.4,0
2020-08-17,2113.2,2113.2,2113.2,2113.2,0.0,2113.2,0
2020-08-18,2128.3,2128.3,2128.3,2128.3,0.0,2128.3,0
2020-08-19,2084.2,2084.2,2084.2,2084.2,0.0,2084.2,0
2020-08-20,2060.8,2060.8,2060.8,2060.8,0.0,2060.8,0
2020-08-21,2061.2,2061.2,2061.2,2061.2,0.0,2061.2,0
2020-08-24,2053.9,2053.9,2053.9,2053.9,0.0,2053.9,0
2020-08-25,2036.7,2036.7,2036.7,2036.7,0.0,2036.7,0
2020-08-26,2065.9,2065.9,2065.9,2065.9,0.0,2065.9,0
2020-08-27,2044.2,2044.2,2044.2,2044.2,0.0,2044.2,0
2020-08-28,2081.9,2081.9,2081.9,2081.9,0.0,2081.9,0
