date,open,high,low,close,volume,average,barCount
2026-02-23,6.5455,6.5455,6.5455,6.5455,0.0,6.5455,0
2026-02-24,6.702,6.702,6.702,6.702,0.0,6.702,0
2026-02-25,6.763,6.763,6.763,6.763,0.0,6.763,0
2026-02-26,6.7285,6.7285,6.7285,6.7285,0.0,6.7285,0
2026-02-27,6.777,6.777,6.777,6.777,0.0,6.777,0
2026-03-02,6.6735,6.6735,6.6735,6.6735,0.0,6.6735,0
2026-03-03,6.543,6.543,6.543,6.543,0.0,6.543,0
2026-03-04,6.6205,6.6205,6.6205,6.6205,0.0,6.6205,0
2026-03-05,6.517,6.517,6.517,6.517,0.0,6.517,0
2026-03-06,6.5115,6.5115,6.5115,6.5115,0.0,6.5115,0
2026-03-09,6.5485,6.5485,6.5485,6.5485,0.0,6.5485,0
2026-03-10,6.653,6.653,6.653,6.653,0.0,6.653,0
2026-03-11,6.596,6.596,6.596,6.596,0.0,6.596,0
2026-03-12,6.5705,6.5705,6.5705,6.5705,0.0,6.5705,0
2026-03-13,6.463,6.463,6.463,6.463,0.0,6.463,0
2026-03-16,6.5355,6.5355,6.5355,6.5355,0.0,6.5355,0
2026-03-17,6.4705,6.4705,6.4705,6.4705,0.0,6.4705,0
2026-03-18,6.2915,6.2915,6.2915,6.2915,0.0,6.2915,0
2026-03-19,6.164,6.164,6.164,6.164,0.0,6.164,0
2026-03-20,6.067,6.067,6.067,6.067,0.0,6.067,0
2026-03-23,6.1685,6.1685,6.1685,6.1685,0.0,6.1685,0
2026-03-24,6.1545,6.1545,6.1545,6.1545,0.0,6.1545,0
2026-03-25,6.2605,6.2605,6.2605,6.2605,0.0,6.2605,0
2026-03-26,6.178,6.178,6.178,6.178,0.0,6.178,0
2026-03-27,6.1895,6.1895,6.1895,6.1895,0.0,6.1895,0
2026-03-30,6.204,6.204,6.204,6.204,0.0,6.204,0
2026-03-31,6.3145,6.3145,6.3145,6.3145,0.0,6.3145,0
2026-04-01,6.3485,6.3485,6.3485,6.3485,0.0,6.3485,0
2026-04-02,6.289,6.289,6.289,6.289,0.0,6.289,0
2026-04-06,6.309,6.309,6.309,6.309,0.0,6.309,0
2026-04-07,6.2665,6.2665,6.2665,6.2665,0.0,6.2665,0
2026-04-08,6.486,6.486,6.486,6.486,0.0,6.486,0
2026-04-09,6.4745,6.4745,6.4745,6.4745,0.0,6.4745,0
2026-04-10,6.5935,6.5935,6.5935,6.5935,0.0,6.5935,0
2026-04-13,6.702,6.702,6.702,6.702,0.0,6.702,0
2026-04-14,6.797,6.797,6.797,6.797,0.0,6.797,0
2026-04-15,6.8005,6.8005,6.8005,6.8005,0.0,6.8005,0
2026-04-16,6.7915,6.7915,6.7915,6.7915,0.0,6.7915,0
2026-04-17,6.829,6.829,6.829,6.829,0.0,6.829,0
2026-04-20,6.7635,6.7635,6.7635,6.7635,0.0,6.7635,0
2026-04-21,6.7285,6.7285,6.7285,6.7285,0.0,6.7285,0
2026-04-22,6.8475,6.8475,6.8475,6.8475,0.0,6.8475,0
2026-04-23,6.7975,6.7975,6.7975,6.7975,0.0,6.7975,0
2026-04-24,6.745,6.745,6.745,6.745,0.0,6.745,0
2026-04-27,6.735,6.735,6.735,6.735,0.0,6.735,0
2026-04-28,6.63,6.63,6.63,6.63,0.0,6.63,0
2026-04-29,6.5915,6.5915,6.5915,6.5915,0.0,6.5915,0
2026-04-30,6.639,6.639,6.639,6.639,0.0,6.639,0
2026-05-01,6.6415,6.6415,6.6415,6.6415,0.0,6.6415,0
2026-05-04,6.507,6.507,6.507,6.507,0.0,6.507,0
2026-05-05,6.6565,6.6565,6.6565,6.6565,0.0,6.6565,0
2026-05-06,6.8495,6.8495,6.8495,6.8495,0.0,6.8495,0
