date,open,high,low,close,volume,average,barCount
2024-02-29,3.913,3.913,3.913,3.913,0.0,3.913,0
2024-03-01,3.93,3.93,3.93,3.93,0.0,3.93,0
2024-03-04,3.929,3.929,3.929,3.929,0.0,3.929,0
2024-03-05,3.9205,3.9205,3.9205,3.9205,0.0,3.9205,0
2024-03-06,3.946,3.946,3.946,3.946,0.0,3.946,0
2024-03-07,3.994,3.994,3.994,3.994,0.0,3.994,0
2024-03-08,3.9635,3.9635,3.9635,3.9635,0.0,3.9635,0
2024-03-11,3.9975,3.9975,3.9975,3.9975,0.0,3.9975,0
2024-03-12,4.001,4.001,4.001,4.001,0.0,4.001,0
2024-03-13,4.111,4.111,4.111,4.111,0.0,4.111,0
2024-03-14,4.1105,4.1105,4.1105,4.1105,0.0,4.1105,0
2024-03-15,4.1935,4.1935,4.1935,4.1935,0.0,4.1935,0
2024-03-18,4.1995,4.1995,4.1995,4.1995,0.0,4.1995,0
2024-03-19,4.153,4.153,4.153,4.153,0.0,4.153,0
2024-03-20,4.134,4.134,4.134,4.134,0.0,4.134,0
2024-03-21,4.1555,4.1555,4.1555,4.1555,0.0,4.1555,0
2024-03-22,4.1075,4.1075,4.1075,4.1075,0.0,4.1075,0
2024-03-25,4.1225,4.1225,4.1225,4.1225,0.0,4.1225,0
2024-03-26,4.1175,4.1175,4.1175,4.1175,0.0,4.1175,0
2024-03-27,4.1125,4.1125,4.1125,4.1125,0.0,4.1125,0
2024-03-28,4.126,4.126,4.126,4.126,0.0,4.126,0
2024-04-01,4.1685,4.1685,4.1685,4.1685,0.0,4.1685,0
2024-04-02,4.1935,4.1935,4.1935,4.1935,0.0,4.1935,0
2024-04-03,4.321,4.321,4.321,4.321,0.0,4.321,0
2024-04-04,4.3735,4.3735,4.3735,4.3735,0.0,4.3735,0
2024-04-05,4.362,4.362,4.362,4.362,0.0,4.362,0
2024-04-08,4.392,4.392,4.392,4.392,0.0,4.392,0
2024-04-09,4.399,4.399,4.399,4.399,0.0,4.399,0
2024-04-10,4.389,4.389,4.389,4.389,0.0,4.389,0
2024-04-11,4.377,4.377,4.377,4.377,0.0,4.377,0
2024-04-12,4.382,4.382,4.382,4.382,0.0,4.382,0
2024-04-15,4.4575,4.4575,4.4575,4.4575,0.0,4.4575,0
2024-04-16,4.386,4.386,4.386,4.386,0.0,4.386,0
2024-04-17,4.4105,4.4105,4.4105,4.4105,0.0,4.4105,0
2024-04-18,4.516,4.516,4.516,4.516,0.0,4.516,0
2024-04-19,4.57,4.57,4.57,4.57,0.0,4.57,0
2024-04-22,4.551,4.551,4.551,4.551,0.0,4.551,0
2024-04-23,4.5035,4.5035,4.5035,4.5035,0.0,4.5035,0
2024-04-24,4.526,4.526,4.526,4.526,0.0,4.526,0
2024-04-25,4.5805,4.5805,4.5805,4.5805,0.0,4.5805,0
2024-04-26,4.6265,4.6265,4.6265,4.6265,0.0,4.6265,0
2024-04-29,4.711,4.711,4.711,4.711,0.0,4.711,0
2024-04-30,4.6085,4.6085,4.6085,4.6085,0.0,4.6085,0
