date,open,high,low,close,volume,average,barCount
2022-12-05,3.9215,3.9215,3.9215,3.9215,0.0,3.9215,0
2022-12-06,3.9465,3.9465,3.9465,3.9465,0.0,3.9465,0
2022-12-07,3.8885,3.8885,3.8885,3.8885,0.0,3.8885,0
2022-12-08,3.8985,3.8985,3.8985,3.8985,0.0,3.8985,0
2022-12-09,3.912,3.912,3.912,3.912,0.0,3.912,0
2022-12-12,3.846,3.846,3.846,3.846,0.0,3.846,0
2022-12-13,3.8755,3.8755,3.8755,3.8755,0.0,3.8755,0
2022-12-14,3.9115,3.9115,3.9115,3.9115,0.0,3.9115,0
2022-12-15,3.8105,3.8105,3.8105,3.8105,0.0,3.8105,0
2022-12-16,3.8095,3.8095,3.8095,3.8095,0.0,3.8095,0
2022-12-19,3.825,3.825,3.825,3.825,0.0,3.825,0
2022-12-20,3.8375,3.8375,3.8375,3.8375,0.0,3.8375,0
2022-12-21,3.8405,3.8405,3.8405,3.8405,0.0,3.8405,0
2022-12-22,3.795,3.795,3.795,3.795,0.0,3.795,0
2022-12-23,3.8445,3.8445,3.8445,3.8445,0.0,3.8445,0
2022-12-27,3.888,3.888,3.888,3.888,0.0,3.888,0
2022-12-28,3.892,3.892,3.892,3.892,0.0,3.892,0
2022-12-29,3.865,3.865,3.865,3.865,0.0,3.865,0
2022-12-30,3.844,3.844,3.844,3.844,0.0,3.844,0
2023-01-03,3.817,3.817,3.817,3.817,0.0,3.817,0
2023-01-04,3.7945,3.7945,3.7945,3.7945,0.0,3.7945,0
2023-01-05,3.863,3.863,3.863,3.863,0.0,3.863,0
2023-01-06,3.943,3.943,3.943,3.943,0.0,3.943,0
2023-01-09,4.0615,4.0615,4.0615,4.0615,0.0,4.0615,0
2023-01-10,4.1105,4.1105,4.1105,4.1105,0.0,4.1105,0
2023-01-11,4.1955,4.1955,4.1955,4.1955,0.0,4.1955,0
2023-01-12,4.232,4.232,4.232,4.232,0.0,4.232,0
2023-01-13,4.2515,4.2515,4.2515,4.2515,0.0,4.2515,0
2023-01-16,4.2515,4.2515,4.2515,4.2515,0.0,4.2515,0
2023-01-17,4.256,4.256,4.256,4.256,0.0,4.256,0
2023-01-18,4.2635,4.2635,4.2635,4.2635,0.0,4.2635,0
2023-01-19,4.259,4.259,4.259,4.259,0.0,4.259,0
2023-01-20,4.2775,4.2775,4.2775,4.2775,0.0,4.2775,0
2023-01-23,4.3,4.3,4.3,4.3,0.0,4.3,0
2023-01-24,4.289,4.289,4.289,4.289,0.0,4.289,0
2023-01-25,4.29,4.29,4.29,4.29,0.0,4.29,0
2023-01-26,4.302,4.302,4.302,4.302,0.0,4.302,0
2023-01-27,4.2595,4.2595,4.2595,4.2595,0.0,4.2595,0
2023-01-30,4.2455,4.2455,4.2455,4.2455,0.0,4.2455,0
2023-01-31,4.2655,4.2655,4.2655,4.2655,0.0,4.2655,0
2023-02-01,4.1615,4.1615,4.1615,4.1615,0.0,4.1615,0
2023-02-02,4.152,4.152,4.152,4.152,0.0,4.152,0
2023-02-03,4.1215,4.1215,4.1215,4.1215,0.0,4.1215,0
2023-02-10,4.06,4.06,4.06,4.06,0.0,4.06,0
2023-02-13,4.1045,4.1045,4.1045,4.1045,0.0,4.1045,0
2023-02-14,4.12,4.12,4.12,4.12,0.0,4.12,0
2023-02-15,4.047,4.047,4.047,4.047,0.0,4.047,0
2023-02-16,4.1425,4.1425,4.1425,4.1425,0.0,4.1425,0
2023-02-17,4.1305,4.1305,4.1305,4.1305,0.0,4.1305,0
2023-02-20,4.1305,4.1305,4.1305,4.1305,0.0,4.1305,0
2023-02-21,4.22,4.22,4.22,4.22,0.0,4.22,0
2023-02-22,4.195,4.195,4.195,4.195,0.0,4.195,0
2023-02-23,4.0765,4.0765,4.0765,4.0765,0.0,4.0765,0
2023-02-24,3.9885,3.9885,3.9885,3.9885,0.0,3.9885,0
2023-02-27,4.043,4.043,4.043,4.043,0.0,4.043,0
2023-02-28,4.12,4.12,4.12,4.12,0.0,4.12,0
2023-03-01,4.177,4.177,4.177,4.177,0.0,4.177,0
2023-03-02,4.11,4.11,4.11,4.11,0.0,4.11,0
2023-03-03,4.103,4.103,4.103,4.103,0.0,4.103,0
2023-03-06,4.1285,4.1285,4.1285,4.1285,0.0,4.1285,0
2023-03-07,4.02,4.02,4.02,4.02,0.0,4.02,0
2023-03-08,4.0675,4.0675,4.0675,4.0675,0.0,4.0675,0
2023-03-09,4.075,4.075,4.075,4.075,0.0,4.075,0
2023-03-10,4.078,4.078,4.078,4.078,0.0,4.078,0
2023-03-13,4.101,4.101,4.101,4.101,0.0,4.101,0
2023-03-14,4.057,4.057,4.057,4.057,0.0,4.057,0
2023-03-15,3.91,3.91,3.91,3.91,0.0,3.91,0
2023-03-16,3.9235,3.9235,3.9235,3.9235,0.0,3.9235,0
2023-03-17,3.9445,3.9445,3.9445,3.9445,0.0,3.9445,0
2023-03-20,4.001,4.001,4.001,4.001,0.0,4.001,0
2023-03-21,4.036,4.036,4.036,4.036,0.0,4.036,0
2023-03-22,4.0695,4.0695,4.0695,4.0695,0.0,4.0695,0
2023-03-23,4.133,4.133,4.133,4.133,0.0,4.133,0
2023-03-24,4.1095,4.1095,4.1095,4.1095,0.0,4.1095,0
2023-03-27,4.122,4.122,4.122,4.122,0.0,4.122,0
2023-03-28,4.125,4.125,4.125,4.125,0.0,4.125,0
2023-03-29,4.115,4.115,4.115,4.115,0.0,4.115,0
2023-03-30,4.125,4.125,4.125,4.125,0.0,4.125,0
2023-03-31,4.1265,4.1265,4.1265,4.1265,0.0,4.1265,0
2023-04-03,4.0845,4.0845,4.0845,4.0845,0.0,4.0845,0
2023-04-04,4.0115,4.0115,4.0115,4.0115,0.0,4.0115,0
2023-04-05,4.0145,4.0145,4.0145,4.0145,0.0,4.0145,0
2023-04-06,4.044,4.044,4.044,4.044,0.0,4.044,0
2023-04-10,4.017,4.017,4.017,4.017,0.0,4.017,0
2023-04-11,4.0535,4.0535,4.0535,4.0535,0.0,4.0535,0
2023-04-12,4.097,4.097,4.097,4.097,0.0,4.097,0
2023-04-13,4.1305,4.1305,4.1305,4.1305,0.0,4.1305,0
2023-04-14,4.1205,4.1205,4.1205,4.1205,0.0,4.1205,0
2023-04-17,4.093,4.093,4.093,4.093,0.0,4.093,0
2023-04-18,4.1215,4.1215,4.1215,4.1215,0.0,4.1215,0
2023-04-19,4.1075,4.1075,4.1075,4.1075,0.0,4.1075,0
2023-04-20,4.0645,4.0645,4.0645,4.0645,0.0,4.0645,0
2023-04-21,4.028,4.028,4.028,4.028,0.0,4.028,0
2023-04-24,4.0115,4.0115,4.0115,4.0115,0.0,4.0115,0
2023-04-25,3.911,3.911,3.911,3.911,0.0,3.911,0
2023-04-26,3.9045,3.9045,3.9045,3.9045,0.0,3.9045,0
2023-04-27,3.924,3.924,3.924,3.924,0.0,3.924,0
2023-04-28,3.9405,3.9405,3.9405,3.9405,0.0,3.9405,0
2023-05-01,3.9865,3.9865,3.9865,3.9865,0.0,3.9865,0
2023-05-02,3.921,3.921,3.921,3.921,0.0,3.921,0
2023-05-03,3.906,3.906,3.906,3.906,0.0,3.906,0
2023-05-04,3.9325,3.9325,3.9325,3.9325,0.0,3.9325,0
2023-05-05,3.951,3.951,3.951,3.951,0.0,3.951,0
2023-05-08,4.0025,4.0025,4.0025,4.0025,0.0,4.0025,0
2023-05-09,3.9795,3.9795,3.9795,3.9795,0.0,3.9795,0
2023-05-10,3.9295,3.9295,3.9295,3.9295,0.0,3.9295,0
2023-05-11,3.7955,3.7955,3.7955,3.7955,0.0,3.7955,0
