date,open,high,low,close,volume,average,barCount
2026-03-31,6.3495,6.3495,6.3495,6.3495,0.0,6.3495,0
2026-04-01,6.3835,6.3835,6.3835,6.3835,0.0,6.3835,0
2026-04-02,6.324,6.324,6.324,6.324,0.0,6.324,0
2026-04-06,6.344,6.344,6.344,6.344,0.0,6.344,0
2026-04-07,6.3015,6.3015,6.3015,6.3015,0.0,6.3015,0
2026-04-08,6.521,6.521,6.521,6.521,0.0,6.521,0
2026-04-09,6.5095,6.5095,6.5095,6.5095,0.0,6.5095,0
2026-04-10,6.6285,6.6285,6.6285,6.6285,0.0,6.6285,0
2026-04-13,6.737,6.737,6.737,6.737,0.0,6.737,0
2026-04-14,6.832,6.832,6.832,6.832,0.0,6.832,0
2026-04-15,6.8355,6.8355,6.8355,6.8355,0.0,6.8355,0
2026-04-16,6.8265,6.8265,6.8265,6.8265,0.0,6.8265,0
2026-04-17,6.864,6.864,6.864,6.864,0.0,6.864,0
2026-04-20,6.7985,6.7985,6.7985,6.7985,0.0,6.7985,0
2026-04-21,6.7635,6.7635,6.7635,6.7635,0.0,6.7635,0
2026-04-22,6.8825,6.8825,6.8825,6.8825,0.0,6.8825,0
2026-04-23,6.8325,6.8325,6.8325,6.8325,0.0,6.8325,0
2026-04-24,6.78,6.78,6.78,6.78,0.0,6.78,0
2026-04-27,6.77,6.77,6.77,6.77,0.0,6.77,0
2026-04-28,6.665,6.665,6.665,6.665,0.0,6.665,0
2026-04-29,6.6265,6.6265,6.6265,6.6265,0.0,6.6265,0
2026-04-30,6.674,6.674,6.674,6.674,0.0,6.674,0
2026-05-01,6.6765,6.6765,6.6765,6.6765,0.0,6.6765,0
2026-05-04,6.542,6.542,6.542,6.542,0.0,6.542,0
2026-05-05,6.6915,6.6915,6.6915,6.6915,0.0,6.6915,0
2026-05-06,6.885,6.885,6.885,6.885,0.0,6.885,0
2026-05-07,6.873,6.873,6.873,6.873,0.0,6.873,0
2026-05-08,6.998,6.998,6.998,6.998,0.0,6.998,0
2026-05-11,7.1655,7.1655,7.1655,7.1655,0.0,7.1655,0
2026-05-12,7.2375,7.2375,7.2375,7.2375,0.0,7.2375,0
2026-05-13,7.3815,7.3815,7.3815,7.3815,0.0,7.3815,0
2026-05-14,7.3145,7.3145,7.3145,7.3145,0.0,7.3145,0
2026-05-15,7.001,7.001,7.001,7.001,0.0,7.001,0
2026-05-18,7.031,7.031,7.031,7.031,0.0,7.031,0
2026-05-19,6.924,6.924,6.924,6.924,0.0,6.924,0
2026-05-20,7.0465,7.0465,7.0465,7.0465,0.0,7.0465,0
2026-05-21,7.0155,7.0155,7.0155,7.0155,0.0,7.0155,0
2026-05-22,7.104,7.104,7.104,7.104,0.0,7.104,0
2026-05-26,7.1315,7.1315,7.1315,7.1315,0.0,7.1315,0
2026-05-27,7.0765,7.0765,7.0765,7.0765,0.0,7.0765,0
2026-05-28,7.1665,7.1665,7.1665,7.1665,0.0,7.1665,0
2026-05-29,7.136,7.136,7.136,7.136,0.0,7.136,0
2026-06-01,7.307,7.307,7.307,7.307,0.0,7.307,0
2026-06-02,7.4375,7.4375,7.4375,7.4375,0.0,7.4375,0
2026-06-03,7.2655,7.2655,7.2655,7.2655,0.0,7.2655,0
2026-06-04,7.2895,7.2895,7.2895,7.2895,0.0,7.2895,0
2026-06-05,7.0385,7.0385,7.0385,7.0385,0.0,7.0385,0
2026-06-08,7.1045,7.1045,7.1045,7.1045,0.0,7.1045,0
2026-06-09,7.0745,7.0745,7.0745,7.0745,0.0,7.0745,0
2026-06-10,7.0115,7.0115,7.0115,7.0115,0.0,7.0115,0
2026-06-11,7.017,7.017,7.017,7.017,0.0,7.017,0
2026-06-12,7.1965,7.1965,7.1965,7.1965,0.0,7.1965,0
2026-06-15,7.256,7.256,7.256,7.256,0.0,7.256,0
2026-06-16,7.269,7.269,7.269,7.269,0.0,7.269,0
2026-06-17,7.267,7.267,7.267,7.267,0.0,7.267,0
2026-06-18,7.1545,7.1545,7.1545,7.1545,0.0,7.1545,0
2026-06-22,7.1455,7.1455,7.1455,7.1455,0.0,7.1455,0
2026-06-23,6.939,6.939,6.939,6.939,0.0,6.939,0
2026-06-24,6.767,6.767,6.767,6.767,0.0,6.767,0
2026-06-25,6.9095,6.9095,6.9095,6.9095,0.0,6.9095,0
2026-06-26,6.9785,6.9785,6.9785,6.9785,0.0,6.9785,0
2026-06-29,6.915,6.915,6.915,6.915,0.0,6.915,0
2026-06-30,6.985,6.985,6.985,6.985,0.0,6.985,0
2026-07-01,6.9175,6.9175,6.9175,6.9175,0.0,6.9175,0
2026-07-02,6.911,6.911,6.911,6.911,0.0,6.911,0
2026-07-06,6.995,6.995,6.995,6.995,0.0,6.995,0
2026-07-07,6.993,6.993,6.993,6.993,0.0,6.993,0
2026-07-08,6.8795,6.8795,6.8795,6.8795,0.0,6.8795,0
2026-07-09,7.0335,7.0335,7.0335,7.0335,0.0,7.0335,0
2026-07-10,7.061,7.061,7.061,7.061,0.0,7.061,0
2026-07-13,7.0595,7.0595,7.0595,7.0595,0.0,7.0595,0
2026-07-14,7.15,7.15,7.15,7.15,0.0,7.15,0
2026-07-15,7.107,7.107,7.107,7.107,0.0,7.107,0
2026-07-16,7.106,7.106,7.106,7.106,0.0,7.106,0
2026-07-17,7.0295,7.0295,7.0295,7.0295,0.0,7.0295,0
2026-07-20,7.1055,7.1055,7.1055,7.1055,0.0,7.1055,0
2026-07-21,7.3385,7.3385,7.3385,7.3385,0.0,7.3385,0
2026-07-22,7.2815,7.2815,7.2815,7.2815,0.0,7.2815,0
2026-07-23,7.125,7.125,7.125,7.125,0.0,7.125,0
2026-07-24,7.1405,7.1405,7.1405,7.1405,0.0,7.1405,0
2026-07-27,7.1635,7.1635,7.1635,7.1635,0.0,7.1635,0
2026-07-28,7.1495,7.1495,7.1495,7.1495,0.0,7.1495,0
