date,open,high,low,close,volume,average,barCount
2021-02-26,3.9495,3.9495,3.9495,3.9495,0.0,3.9495,0
2021-03-01,3.9755,3.9755,3.9755,3.9755,0.0,3.9755,0
2021-03-02,4.065,4.065,4.065,4.065,0.0,4.065,0
2021-03-03,4.0045,4.0045,4.0045,4.0045,0.0,4.0045,0
2021-03-04,3.846,3.846,3.846,3.846,0.0,3.846,0
2021-03-05,3.938,3.938,3.938,3.938,0.0,3.938,0
2021-03-08,3.953,3.953,3.953,3.953,0.0,3.953,0
2021-03-09,3.8785,3.8785,3.8785,3.8785,0.0,3.8785,0
2021-03-10,3.9075,3.9075,3.9075,3.9075,0.0,3.9075,0
2021-03-11,4.027,4.027,4.027,4.027,0.0,4.027,0
2021-03-12,4.025,4.025,4.025,4.025,0.0,4.025,0
2021-03-15,4.0165,4.0165,4.0165,4.0165,0.0,4.0165,0
2021-03-16,3.955,3.955,3.955,3.955,0.0,3.955,0
2021-03-17,3.999,3.999,3.999,3.999,0.0,3.999,0
2021-03-18,3.9775,3.9775,3.9775,3.9775,0.0,3.9775,0
2021-03-19,3.976,3.976,3.976,3.976,0.0,3.976,0
2021-03-22,4.0095,4.0095,4.0095,4.0095,0.0,4.0095,0
2021-03-23,3.956,3.956,3.956,3.956,0.0,3.956,0
2021-03-24,3.9515,3.9515,3.9515,3.9515,0.0,3.9515,0
2021-03-25,3.8635,3.8635,3.8635,3.8635,0.0,3.8635,0
2021-03-26,3.95,3.95,3.95,3.95,0.0,3.95,0
2021-03-29,3.9215,3.9215,3.9215,3.9215,0.0,3.9215,0
2021-03-30,3.872,3.872,3.872,3.872,0.0,3.872,0
2021-03-31,3.89,3.89,3.89,3.89,0.0,3.89,0
2021-04-01,3.887,3.887,3.887,3.887,0.0,3.887,0
2021-04-05,4.0255,4.0255,4.0255,4.0255,0.0,4.0255,0
2021-04-06,3.9965,3.9965,3.9965,3.9965,0.0,3.9965,0
2021-04-07,3.945,3.945,3.945,3.945,0.0,3.945,0
2021-04-08,3.989,3.989,3.989,3.989,0.0,3.989,0
2021-04-09,3.939,3.939,3.939,3.939,0.0,3.939,0
2021-04-12,3.925,3.925,3.925,3.925,0.0,3.925,0
2021-04-13,3.939,3.939,3.939,3.939,0.0,3.939,0
2021-04-14,4.0225,4.0225,4.0225,4.0225,0.0,4.0225,0
2021-04-15,4.096,4.096,4.096,4.096,0.0,4.096,0
2021-04-16,4.051,4.051,4.051,4.051,0.0,4.051,0
2021-04-19,4.1325,4.1325,4.1325,4.1325,0.0,4.1325,0
2021-04-20,4.112,4.112,4.112,4.112,0.0,4.112,0
2021-04-21,4.174,4.174,4.174,4.174,0.0,4.174,0
2021-04-22,4.1695,4.1695,4.1695,4.1695,0.0,4.1695,0
2021-04-23,4.2235,4.2235,4.2235,4.2235,0.0,4.2235,0
2021-04-26,4.317,4.317,4.317,4.317,0.0,4.317,0
2021-04-27,4.3575,4.3575,4.3575,4.3575,0.0,4.3575,0
2021-04-28,4.361,4.361,4.361,4.361,0.0,4.361,0
2021-04-29,4.3495,4.3495,4.3495,4.3495,0.0,4.3495,0
2021-04-30,4.338,4.338,4.338,4.338,0.0,4.338,0
2021-05-03,4.3965,4.3965,4.3965,4.3965,0.0,4.3965,0
2021-05-04,4.3895,4.3895,4.3895,4.3895,0.0,4.3895,0
2021-05-05,4.396,4.396,4.396,4.396,0.0,4.396,0
2021-05-06,4.4685,4.4685,4.4685,4.4685,0.0,4.4685,0
2021-05-07,4.6065,4.6065,4.6065,4.6065,0.0,4.6065,0
2021-05-10,4.5865,4.5865,4.5865,4.5865,0.0,4.5865,0
2021-05-11,4.644,4.644,4.644,4.644,0.0,4.644,0
2021-05-12,4.618,4.618,4.618,4.618,0.0,4.618,0
2021-05-13,4.5785,4.5785,4.5785,4.5785,0.0,4.5785,0
2021-05-14,4.5645,4.5645,4.5645,4.5645,0.0,4.5645,0
2021-05-17,4.6215,4.6215,4.6215,4.6215,0.0,4.6215,0
2021-05-18,4.6285,4.6285,4.6285,4.6285,0.0,4.6285,0
2021-05-19,4.4935,4.4935,4.4935,4.4935,0.0,4.4935,0
2021-05-20,4.487,4.487,4.487,4.487,0.0,4.487,0
2021-05-21,4.401,4.401,4.401,4.401,0.0,4.401,0
2021-05-24,4.45,4.45,4.45,4.45,0.0,4.45,0
2021-05-25,4.4295,4.4295,4.4295,4.4295,0.0,4.4295,0
2021-05-26,4.4515,4.4515,4.4515,4.4515,0.0,4.4515,0
2021-05-27,4.583,4.583,4.583,4.583,0.0,4.583,0
2021-05-28,4.603,4.603,4.603,4.603,0.0,4.603,0
2021-06-01,4.5825,4.5825,4.5825,4.5825,0.0,4.5825,0
2021-06-02,4.5275,4.5275,4.5275,4.5275,0.0,4.5275,0
2021-06-03,4.4265,4.4265,4.4265,4.4265,0.0,4.4265,0
2021-06-04,4.484,4.484,4.484,4.484,0.0,4.484,0
2021-06-07,4.4985,4.4985,4.4985,4.4985,0.0,4.4985,0
2021-06-08,4.517,4.517,4.517,4.517,0.0,4.517,0
2021-06-09,4.4905,4.4905,4.4905,4.4905,0.0,4.4905,0
2021-06-10,4.4565,4.4565,4.4565,4.4565,0.0,4.4565,0
2021-06-11,4.5035,4.5035,4.5035,4.5035,0.0,4.5035,0
2021-06-14,4.491,4.491,4.491,4.491,0.0,4.491,0
2021-06-15,4.3025,4.3025,4.3025,4.3025,0.0,4.3025,0
2021-06-16,4.35,4.35,4.35,4.35,0.0,4.35,0
2021-06-17,4.156,4.156,4.156,4.156,0.0,4.156,0
2021-06-18,4.132,4.132,4.132,4.132,0.0,4.132,0
2021-06-21,4.138,4.138,4.138,4.138,0.0,4.138,0
2021-06-22,4.1695,4.1695,4.1695,4.1695,0.0,4.1695,0
2021-06-23,4.282,4.282,4.282,4.282,0.0,4.282,0
2021-06-24,4.2635,4.2635,4.2635,4.2635,0.0,4.2635,0
2021-06-25,4.239,4.239,4.239,4.239,0.0,4.239,0
2021-06-28,4.2325,4.2325,4.2325,4.2325,0.0,4.2325,0
2021-06-29,4.193,4.193,4.193,4.193,0.0,4.193,0
2021-06-30,4.217,4.217,4.217,4.217,0.0,4.217,0
2021-07-01,4.1715,4.1715,4.1715,4.1715,0.0,4.1715,0
2021-07-02,4.218,4.218,4.218,4.218,0.0,4.218,0
2021-07-06,4.1885,4.1885,4.1885,4.1885,0.0,4.1885,0
2021-07-07,4.2525,4.2525,4.2525,4.2525,0.0,4.2525,0
2021-07-08,4.2065,4.2065,4.2065,4.2065,0.0,4.2065,0
2021-07-09,4.2875,4.2875,4.2875,4.2875,0.0,4.2875,0
2021-07-12,4.2545,4.2545,4.2545,4.2545,0.0,4.2545,0
2021-07-13,4.242,4.242,4.242,4.242,0.0,4.242,0
2021-07-14,4.2055,4.2055,4.2055,4.2055,0.0,4.2055,0
2021-07-15,4.2565,4.2565,4.2565,4.2565,0.0,4.2565,0
2021-07-16,4.2565,4.2565,4.2565,4.2565,0.0,4.2565,0
2021-07-19,4.1435,4.1435,4.1435,4.1435,0.0,4.1435,0
2021-07-20,4.205,4.205,4.205,4.205,0.0,4.205,0
2021-07-21,4.214,4.214,4.214,4.214,0.0,4.214,0
2021-07-22,4.2795,4.2795,4.2795,4.2795,0.0,4.2795,0
2021-07-23,4.342,4.342,4.342,4.342,0.0,4.342,0
2021-07-26,4.527,4.527,4.527,4.527,0.0,4.527,0
2021-07-27,4.4935,4.4935,4.4935,4.4935,0.0,4.4935,0
2021-07-28,4.4655,4.4655,4.4655,4.4655,0.0,4.4655,0
2021-07-29,4.5115,4.5115,4.5115,4.5115,0.0,4.5115,0
2021-07-30,4.4725,4.4725,4.4725,4.4725,0.0,4.4725,0
2021-08-02,4.447,4.447,4.447,4.447,0.0,4.447,0
2021-08-03,4.416,4.416,4.416,4.416,0.0,4.416,0
2021-08-04,4.367,4.367,4.367,4.367,0.0,4.367,0
2021-08-05,4.3745,4.3745,4.3745,4.3745,0.0,4.3745,0
2021-08-06,4.3725,4.3725,4.3725,4.3725,0.0,4.3725,0
2021-08-09,4.3205,4.3205,4.3205,4.3205,0.0,4.3205,0
2021-08-10,4.383,4.383,4.383,4.383,0.0,4.383,0
2021-08-11,4.395,4.395,4.395,4.395,0.0,4.395,0
2021-08-12,4.379,4.379,4.379,4.379,0.0,4.379,0
2021-08-13,4.4045,4.4045,4.4045,4.4045,0.0,4.4045,0
2021-08-16,4.3555,4.3555,4.3555,4.3555,0.0,4.3555,0
2021-08-17,4.2555,4.2555,4.2555,4.2555,0.0,4.2555,0
2021-08-18,4.175,4.175,4.175,4.175,0.0,4.175,0
2021-08-19,4.0945,4.0945,4.0945,4.0945,0.0,4.0945,0
2021-08-20,4.165,4.165,4.165,4.165,0.0,4.165,0
2021-08-23,4.251,4.251,4.251,4.251,0.0,4.251,0
2021-08-24,4.298,4.298,4.298,4.298,0.0,4.298,0
2021-08-25,4.3005,4.3005,4.3005,4.3005,0.0,4.3005,0
2021-08-26,4.2775,4.2775,4.2775,4.2775,0.0,4.2775,0
2021-08-27,4.33,4.33,4.33,4.33,0.0,4.33,0
2021-08-30,4.372,4.372,4.372,4.372,0.0,4.372,0
2021-08-31,4.3585,4.3585,4.3585,4.3585,0.0,4.3585,0
2021-09-01,4.2805,4.2805,4.2805,4.2805,0.0,4.2805,0
2021-09-02,4.306,4.306,4.306,4.306,0.0,4.306,0
2021-09-03,4.3175,4.3175,4.3175,4.3175,0.0,4.3175,0
2021-09-07,4.2755,4.2755,4.2755,4.2755,0.0,4.2755,0
2021-09-08,4.2275,4.2275,4.2275,4.2275,0.0,4.2275,0
2021-09-09,4.279,4.279,4.279,4.279,0.0,4.279,0
2021-09-10,4.4285,4.4285,4.4285,4.4285,0.0,4.4285,0
2021-09-13,4.346,4.346,4.346,4.346,0.0,4.346,0
2021-09-14,4.3035,4.3035,4.3035,4.3035,0.0,4.3035,0
2021-09-15,4.3745,4.3745,4.3745,4.3745,0.0,4.3745,0
2021-09-16,4.2645,4.2645,4.2645,4.2645,0.0,4.2645,0
2021-09-17,4.2235,4.2235,4.2235,4.2235,0.0,4.2235,0
2021-09-20,4.1035,4.1035,4.1035,4.1035,0.0,4.1035,0
2021-09-21,4.1115,4.1115,4.1115,4.1115,0.0,4.1115,0
2021-09-22,4.2315,4.2315,4.2315,4.2315,0.0,4.2315,0
2021-09-23,4.2145,4.2145,4.2145,4.2145,0.0,4.2145,0
2021-09-24,4.2495,4.2495,4.2495,4.2495,0.0,4.2495,0
2021-09-27,4.241,4.241,4.241,4.241,0.0,4.241,0
2021-09-28,4.1955,4.1955,4.1955,4.1955,0.0,4.1955,0
2021-09-29,4.155,4.155,4.155,4.155,0.0,4.155,0
2021-09-30,4.041,4.041,4.041,4.041,0.0,4.041,0
2021-10-01,4.129,4.129,4.129,4.129,0.0,4.129,0
2021-10-04,4.184,4.184,4.184,4.184,0.0,4.184,0
2021-10-05,4.1385,4.1385,4.1385,4.1385,0.0,4.1385,0
2021-10-06,4.103,4.103,4.103,4.103,0.0,4.103,0
2021-10-07,4.1985,4.1985,4.1985,4.1985,0.0,4.1985,0
2021-10-08,4.2305,4.2305,4.2305,4.2305,0.0,4.2305,0
2021-10-11,4.3115,4.3115,4.3115,4.3115,0.0,4.3115,0
2021-10-12,4.2585,4.2585,4.2585,4.2585,0.0,4.2585,0
2021-10-13,4.3705,4.3705,4.3705,4.3705,0.0,4.3705,0
2021-10-14,4.467,4.467,4.467,4.467,0.0,4.467,0
2021-10-15,4.5585,4.5585,4.5585,4.5585,0.0,4.5585,0
2021-10-18,4.5215,4.5215,4.5215,4.5215,0.0,4.5215,0
2021-10-19,4.4905,4.4905,4.4905,4.4905,0.0,4.4905,0
2021-10-20,4.5095,4.5095,4.5095,4.5095,0.0,4.5095,0
2021-10-21,4.329,4.329,4.329,4.329,0.0,4.329,0
2021-10-22,4.3095,4.3095,4.3095,4.3095,0.0,4.3095,0
2021-10-25,4.3995,4.3995,4.3995,4.3995,0.0,4.3995,0
2021-10-26,4.3985,4.3985,4.3985,4.3985,0.0,4.3985,0
2021-10-27,4.3315,4.3315,4.3315,4.3315,0.0,4.3315,0
