date,open,high,low,close,volume,average,barCount
2024-06-28,4.481,4.481,4.481,4.481,0.0,4.481,0
2024-07-01,4.506,4.506,4.506,4.506,0.0,4.506,0
2024-07-02,4.4995,4.4995,4.4995,4.4995,0.0,4.4995,0
2024-07-03,4.5985,4.5985,4.5985,4.5985,0.0,4.5985,0
2024-07-04,4.5985,4.5985,4.5985,4.5985,0.0,4.5985,0
2024-07-05,4.666,4.666,4.666,4.666,0.0,4.666,0
2024-07-08,4.6535,4.6535,4.6535,4.6535,0.0,4.6535,0
2024-07-09,4.6205,4.6205,4.6205,4.6205,0.0,4.6205,0
2024-07-10,4.629,4.629,4.629,4.629,0.0,4.629,0
2024-07-11,4.592,4.592,4.592,4.592,0.0,4.592,0
2024-07-12,4.6495,4.6495,4.6495,4.6495,0.0,4.6495,0
2024-07-15,4.6115,4.6115,4.6115,4.6115,0.0,4.6115,0
2024-07-16,4.551,4.551,4.551,4.551,0.0,4.551,0
2024-07-17,4.5325,4.5325,4.5325,4.5325,0.0,4.5325,0
2024-07-18,4.4235,4.4235,4.4235,4.4235,0.0,4.4235,0
2024-07-19,4.397,4.397,4.397,4.397,0.0,4.397,0
2024-07-22,4.362,4.362,4.362,4.362,0.0,4.362,0
2024-07-23,4.3175,4.3175,4.3175,4.3175,0.0,4.3175,0
2024-07-24,4.285,4.285,4.285,4.285,0.0,4.285,0
2024-07-25,4.3,4.3,4.3,4.3,0.0,4.3,0
2024-07-26,4.313,4.313,4.313,4.313,0.0,4.313,0
2024-07-29,4.2775,4.2775,4.2775,4.2775,0.0,4.2775,0
2024-07-30,4.281,4.281,4.281,4.281,0.0,4.281,0
2024-07-31,4.361,4.361,4.361,4.361,0.0,4.361,0
2024-08-01,4.282,4.282,4.282,4.282,0.0,4.282,0
2024-08-02,4.3005,4.3005,4.3005,4.3005,0.0,4.3005,0
2024-08-05,4.193,4.193,4.193,4.193,0.0,4.193,0
2024-08-06,4.218,4.218,4.218,4.218,0.0,4.218,0
2024-08-07,4.1645,4.1645,4.1645,4.1645,0.0,4.1645,0
2024-08-08,4.164,4.164,4.164,4.164,0.0,4.164,0
2024-08-09,4.191,4.191,4.191,4.191,0.0,4.191,0
2024-08-12,4.261,4.261,4.261,4.261,0.0,4.261,0
2024-08-13,4.2415,4.2415,4.2415,4.2415,0.0,4.2415,0
2024-08-14,4.2295,4.2295,4.2295,4.2295,0.0,4.2295,0
2024-08-15,4.3115,4.3115,4.3115,4.3115,0.0,4.3115,0
2024-08-16,4.3295,4.3295,4.3295,4.3295,0.0,4.3295,0
2024-08-19,4.3645,4.3645,4.3645,4.3645,0.0,4.3645,0
2024-08-20,4.3445,4.3445,4.3445,4.3445,0.0,4.3445,0
2024-08-21,4.3595,4.3595,4.3595,4.3595,0.0,4.3595,0
2024-08-22,4.3295,4.3295,4.3295,4.3295,0.0,4.3295,0
2024-08-23,4.382,4.382,4.382,4.382,0.0,4.382,0
2024-08-26,4.4235,4.4235,4.4235,4.4235,0.0,4.4235,0
2024-08-27,4.449,4.449,4.449,4.449,0.0,4.449,0
2024-08-28,4.376,4.376,4.376,4.376,0.0,4.376,0
2024-08-29,4.3855,4.3855,4.3855,4.3855,0.0,4.3855,0
2024-08-30,4.373,4.373,4.373,4.373,0.0,4.373,0
2024-09-02,4.373,4.373,4.373,4.373,0.0,4.373,0
2024-09-03,4.246,4.246,4.246,4.246,0.0,4.246,0
2024-09-04,4.2365,4.2365,4.2365,4.2365,0.0,4.2365,0
2024-09-05,4.2975,4.2975,4.2975,4.2975,0.0,4.2975,0
2024-09-06,4.247,4.247,4.247,4.247,0.0,4.247,0
2024-09-09,4.3125,4.3125,4.3125,4.3125,0.0,4.3125,0
2024-09-10,4.262,4.262,4.262,4.262,0.0,4.262,0
2024-09-11,4.3015,4.3015,4.3015,4.3015,0.0,4.3015,0
2024-09-12,4.3495,4.3495,4.3495,4.3495,0.0,4.3495,0
2024-09-13,4.38,4.38,4.38,4.38,0.0,4.38,0
2024-09-16,4.422,4.422,4.422,4.422,0.0,4.422,0
2024-09-17,4.4285,4.4285,4.4285,4.4285,0.0,4.4285,0
2024-09-18,4.4435,4.4435,4.4435,4.4435,0.0,4.4435,0
2024-09-19,4.4885,4.4885,4.4885,4.4885,0.0,4.4885,0
2024-09-20,4.4885,4.4885,4.4885,4.4885,0.0,4.4885,0
2024-09-23,4.4955,4.4955,4.4955,4.4955,0.0,4.4955,0
2024-09-24,4.6225,4.6225,4.6225,4.6225,0.0,4.6225,0
2024-09-25,4.6325,4.6325,4.6325,4.6325,0.0,4.6325,0
2024-09-26,4.7625,4.7625,4.7305,4.7305,1.0,4.7625,1
2024-09-27,4.713,4.713,4.713,4.713,0.0,4.713,0
2024-09-30,4.646,4.646,4.646,4.646,0.0,4.646,0
2024-10-01,4.709,4.709,4.709,4.709,0.0,4.709,0
2024-10-02,4.7695,4.7695,4.7695,4.7695,0.0,4.7695,0
2024-10-03,4.6905,4.6905,4.6905,4.6905,0.0,4.6905,0
2024-10-04,4.735,4.735,4.735,4.735,0.0,4.735,0
2024-10-07,4.7325,4.7325,4.7325,4.7325,0.0,4.7325,0
2024-10-08,4.644,4.644,4.644,4.644,0.0,4.644,0
2024-10-09,4.582,4.582,4.582,4.582,0.0,4.582,0
2024-10-10,4.605,4.605,4.605,4.605,0.0,4.605,0
2024-10-11,4.6645,4.6645,4.6645,4.6645,0.0,4.6645,0
2024-10-14,4.5975,4.5975,4.5975,4.5975,0.0,4.5975,0
2024-10-15,4.5405,4.5405,4.5405,4.5405,0.0,4.5405,0
2024-10-16,4.562,4.562,4.562,4.562,0.0,4.562,0
2024-10-17,4.5305,4.5305,4.5305,4.5305,0.0,4.5305,0
2024-10-18,4.591,4.591,4.591,4.591,0.0,4.591,0
2024-10-21,4.569,4.569,4.569,4.569,0.0,4.569,0
2024-10-22,4.589,4.589,4.589,4.589,0.0,4.589,0
2024-10-23,4.5575,4.5575,4.5575,4.5575,0.0,4.5575,0
2024-10-24,4.567,4.567,4.567,4.567,0.0,4.567,0
2024-10-25,4.574,4.574,4.574,4.574,0.0,4.574,0
2024-10-28,4.558,4.558,4.558,4.558,0.0,4.558,0
2024-10-29,4.55,4.55,4.55,4.55,0.0,4.55,0
2024-10-30,4.526,4.526,4.526,4.526,0.0,4.526,0
2024-10-31,4.517,4.517,4.517,4.517,0.0,4.517,0
2024-11-01,4.5515,4.5515,4.5515,4.5515,0.0,4.5515,0
2024-11-04,4.602,4.602,4.602,4.602,0.0,4.602,0
2024-11-05,4.646,4.646,4.646,4.646,0.0,4.646,0
2024-11-06,4.441,4.441,4.441,4.441,0.0,4.441,0
2024-11-07,4.611,4.611,4.611,4.611,0.0,4.611,0
2024-11-08,4.501,4.501,4.501,4.501,0.0,4.501,0
2024-11-11,4.435,4.435,4.435,4.435,0.0,4.435,0
2024-11-12,4.367,4.367,4.367,4.367,0.0,4.367,0
2024-11-13,4.311,4.311,4.311,4.311,0.0,4.311,0
