date,open,high,low,close,volume,average,barCount
2024-04-30,4.599,4.599,4.599,4.599,0.0,4.599,0
2024-05-01,4.572,4.572,4.572,4.572,0.0,4.572,0
2024-05-02,4.5175,4.5175,4.5175,4.5175,0.0,4.5175,0
2024-05-03,4.5865,4.5865,4.5865,4.5865,0.0,4.5865,0
2024-05-06,4.6405,4.6405,4.6405,4.6405,0.0,4.6405,0
2024-05-07,4.6375,4.6375,4.6375,4.6375,0.0,4.6375,0
2024-05-08,4.582,4.582,4.582,4.582,0.0,4.582,0
2024-05-09,4.601,4.601,4.601,4.601,0.0,4.601,0
2024-05-10,4.6135,4.6135,4.6135,4.6135,0.0,4.6135,0
2024-05-13,4.677,4.677,4.677,4.677,0.0,4.677,0
2024-05-14,4.605,4.605,4.605,4.605,0.0,4.605,0
2024-05-15,4.686,4.686,4.686,4.686,0.0,4.686,0
2024-05-16,4.7325,4.7325,4.7325,4.7325,0.0,4.7325,0
2024-05-17,4.87,4.87,4.87,4.87,0.0,4.87,0
2024-05-20,4.947,4.947,4.947,4.947,0.0,4.947,0
2024-05-21,4.948,4.948,4.948,4.948,0.0,4.948,0
2024-05-22,4.7595,4.7595,4.7595,4.7595,0.0,4.7595,0
2024-05-23,4.739,4.739,4.739,4.739,0.0,4.739,0
2024-05-24,4.7225,4.7225,4.7225,4.7225,0.0,4.7225,0
2024-05-27,4.7225,4.7225,4.7225,4.7225,0.0,4.7225,0
2024-05-28,4.8295,4.8295,4.8295,4.8295,0.0,4.8295,0
2024-05-29,4.794,4.794,4.794,4.794,0.0,4.794,0
2024-05-30,4.662,4.662,4.662,4.662,0.0,4.662,0
2024-05-31,4.639,4.639,4.639,4.639,0.0,4.639,0
2024-06-03,4.687,4.687,4.687,4.687,0.0,4.687,0
2024-06-04,4.561,4.561,4.561,4.561,0.0,4.561,0
2024-06-05,4.583,4.583,4.583,4.583,0.0,4.583,0
2024-06-06,4.6645,4.6645,4.6645,4.6645,0.0,4.6645,0
2024-06-07,4.517,4.517,4.517,4.517,0.0,4.517,0
2024-06-10,4.5745,4.5745,4.5745,4.5745,0.0,4.5745,0
2024-06-11,4.515,4.515,4.515,4.515,0.0,4.515,0
2024-06-12,4.578,4.578,4.578,4.578,0.0,4.578,0
2024-06-13,4.5125,4.5125,4.5125,4.5125,0.0,4.5125,0
2024-06-14,4.5065,4.5065,4.5065,4.5065,0.0,4.5065,0
2024-06-17,4.47,4.47,4.47,4.47,0.0,4.47,0
2024-06-18,4.497,4.497,4.497,4.497,0.0,4.497,0
2024-06-19,4.497,4.497,4.497,4.497,0.0,4.497,0
2024-06-20,4.559,4.559,4.559,4.559,0.0,4.559,0
2024-06-21,4.481,4.481,4.481,4.481,0.0,4.481,0
2024-06-24,4.4705,4.4705,4.4705,4.4705,0.0,4.4705,0
2024-06-25,4.4355,4.4355,4.4355,4.4355,0.0,4.4355,0
2024-06-26,4.437,4.437,4.437,4.437,0.0,4.437,0
2024-06-27,4.427,4.427,4.427,4.427,0.0,4.427,0
2024-06-28,4.4655,4.4655,4.4655,4.4655,0.0,4.4655,0
2024-07-01,4.4905,4.4905,4.4905,4.4905,0.0,4.4905,0
2024-07-02,4.484,4.484,4.484,4.484,0.0,4.484,0
2024-07-03,4.583,4.583,4.583,4.583,0.0,4.583,0
2024-07-04,4.583,4.583,4.583,4.583,0.0,4.583,0
2024-07-05,4.6505,4.6505,4.6505,4.6505,0.0,4.6505,0
2024-07-08,4.638,4.638,4.638,4.638,0.0,4.638,0
2024-07-09,4.605,4.605,4.605,4.605,0.0,4.605,0
2024-07-10,4.6135,4.6135,4.6135,4.6135,0.0,4.6135,0
2024-07-11,4.5825,4.5825,4.5825,4.5825,0.0,4.5825,0
2024-07-12,4.64,4.64,4.64,4.64,0.0,4.64,0
2024-07-15,4.602,4.602,4.602,4.602,0.0,4.602,0
2024-07-16,4.5405,4.5405,4.5405,4.5405,0.0,4.5405,0
2024-07-17,4.5205,4.5205,4.5205,4.5205,0.0,4.5205,0
2024-07-18,4.4115,4.4115,4.4115,4.4115,0.0,4.4115,0
2024-07-19,4.3905,4.3905,4.3905,4.3905,0.0,4.3905,0
2024-07-22,4.3555,4.3555,4.3555,4.3555,0.0,4.3555,0
2024-07-23,4.311,4.311,4.311,4.311,0.0,4.311,0
2024-07-24,4.2785,4.2785,4.2785,4.2785,0.0,4.2785,0
2024-07-25,4.2935,4.2935,4.2935,4.2935,0.0,4.2935,0
2024-07-26,4.3065,4.3065,4.3065,4.3065,0.0,4.3065,0
2024-07-29,4.271,4.271,4.271,4.271,0.0,4.271,0
2024-07-30,4.2745,4.2745,4.2745,4.2745,0.0,4.2745,0
2024-07-31,4.3605,4.3605,4.3605,4.3605,0.0,4.3605,0
2024-08-01,4.2815,4.2815,4.2815,4.2815,0.0,4.2815,0
2024-08-02,4.3,4.3,4.3,4.3,0.0,4.3,0
2024-08-05,4.1925,4.1925,4.1925,4.1925,0.0,4.1925,0
2024-08-06,4.2175,4.2175,4.2175,4.2175,0.0,4.2175,0
2024-08-07,4.1685,4.1685,4.1685,4.1685,0.0,4.1685,0
2024-08-08,4.168,4.168,4.168,4.168,0.0,4.168,0
2024-08-09,4.195,4.195,4.195,4.195,0.0,4.195,0
2024-08-12,4.265,4.265,4.265,4.265,0.0,4.265,0
2024-08-13,4.2455,4.2455,4.2455,4.2455,0.0,4.2455,0
2024-08-14,4.2335,4.2335,4.2335,4.2335,0.0,4.2335,0
2024-08-15,4.3155,4.3155,4.3155,4.3155,0.0,4.3155,0
2024-08-16,4.3335,4.3335,4.3335,4.3335,0.0,4.3335,0
2024-08-19,4.3685,4.3685,4.3685,4.3685,0.0,4.3685,0
2024-08-20,4.3485,4.3485,4.3485,4.3485,0.0,4.3485,0
2024-08-21,4.3635,4.3635,4.3635,4.3635,0.0,4.3635,0
2024-08-22,4.3335,4.3335,4.3335,4.3335,0.0,4.3335,0
2024-08-23,4.386,4.386,4.386,4.386,0.0,4.386,0
