date,open,high,low,close,volume,average,barCount
2026-07-31,7.386,7.386,7.386,7.386,0.0,7.386,0
2026-08-03,7.4585,7.4585,7.4585,7.4585,0.0,7.4585,0
2026-08-04,7.546,7.546,7.546,7.546,0.0,7.546,0
2026-08-05,7.6235,7.6235,7.6235,7.6235,0.0,7.6235,0
2026-08-06,7.596,7.596,7.596,7.596,0.0,7.596,0
2026-08-07,7.4715,7.4715,7.4715,7.4715,0.0,7.4715,0
2026-08-10,7.505,7.505,7.505,7.505,0.0,7.505,0
2026-08-11,7.529,7.529,7.529,7.529,0.0,7.529,0
2026-08-12,7.5105,7.5105,7.5105,7.5105,0.0,7.5105,0
2026-08-13,7.5155,7.5155,7.5155,7.5155,0.0,7.5155,0
2026-08-14,7.5255,7.5255,7.5255,7.5255,0.0,7.5255,0
