date,open,high,low,close,volume,average,barCount
2021-06-30,4.212,4.212,4.212,4.212,0.0,4.212,0
2021-07-01,4.1665,4.1665,4.1665,4.1665,0.0,4.1665,0
2021-07-02,4.213,4.213,4.213,4.213,0.0,4.213,0
2021-07-06,4.1835,4.1835,4.1835,4.1835,0.0,4.1835,0
2021-07-07,4.2475,4.2475,4.2475,4.2475,0.0,4.2475,0
2021-07-08,4.2015,4.2015,4.2015,4.2015,0.0,4.2015,0
2021-07-09,4.2825,4.2825,4.2825,4.2825,0.0,4.2825,0
2021-07-12,4.2495,4.2495,4.2495,4.2495,0.0,4.2495,0
2021-07-13,4.237,4.237,4.237,4.237,0.0,4.237,0
2021-07-14,4.2005,4.2005,4.2005,4.2005,0.0,4.2005,0
2021-07-15,4.2515,4.2515,4.2515,4.2515,0.0,4.2515,0
2021-07-16,4.2515,4.2515,4.2515,4.2515,0.0,4.2515,0
2021-07-19,4.1385,4.1385,4.1385,4.1385,0.0,4.1385,0
2021-07-20,4.2,4.2,4.2,4.2,0.0,4.2,0
2021-07-21,4.209,4.209,4.209,4.209,0.0,4.209,0
2021-07-22,4.2745,4.2745,4.2745,4.2745,0.0,4.2745,0
2021-07-23,4.337,4.337,4.337,4.337,0.0,4.337,0
2021-07-26,4.522,4.522,4.522,4.522,0.0,4.522,0
2021-07-27,4.4885,4.4885,4.4885,4.4885,0.0,4.4885,0
2021-07-28,4.4605,4.4605,4.4605,4.4605,0.0,4.4605,0
2021-07-29,4.5065,4.5065,4.5065,4.5065,0.0,4.5065,0
2021-07-30,4.4675,4.4675,4.4675,4.4675,0.0,4.4675,0
2021-08-02,4.442,4.442,4.442,4.442,0.0,4.442,0
2021-08-03,4.411,4.411,4.411,4.411,0.0,4.411,0
2021-08-04,4.362,4.362,4.362,4.362,0.0,4.362,0
2021-08-05,4.3695,4.3695,4.3695,4.3695,0.0,4.3695,0
2021-08-06,4.3675,4.3675,4.3675,4.3675,0.0,4.3675,0
2021-08-09,4.3155,4.3155,4.3155,4.3155,0.0,4.3155,0
2021-08-10,4.378,4.378,4.378,4.378,0.0,4.378,0
2021-08-11,4.39,4.39,4.39,4.39,0.0,4.39,0
2021-08-12,4.374,4.374,4.374,4.374,0.0,4.374,0
2021-08-13,4.3995,4.3995,4.3995,4.3995,0.0,4.3995,0
2021-08-16,4.3505,4.3505,4.3505,4.3505,0.0,4.3505,0
2021-08-17,4.2505,4.2505,4.2505,4.2505,0.0,4.2505,0
2021-08-18,4.17,4.17,4.17,4.17,0.0,4.17,0
2021-08-19,4.0895,4.0895,4.0895,4.0895,0.0,4.0895,0
2021-08-20,4.16,4.16,4.16,4.16,0.0,4.16,0
2021-08-23,4.246,4.246,4.246,4.246,0.0,4.246,0
2021-08-24,4.293,4.293,4.293,4.293,0.0,4.293,0
2021-08-25,4.2955,4.2955,4.2955,4.2955,0.0,4.2955,0
2021-08-26,4.2725,4.2725,4.2725,4.2725,0.0,4.2725,0
2021-08-27,4.325,4.325,4.325,4.325,0.0,4.325,0
2021-08-30,4.367,4.367,4.367,4.367,0.0,4.367,0
2021-08-31,4.3535,4.3535,4.3535,4.3535,0.0,4.3535,0
2021-09-01,4.2755,4.2755,4.2755,4.2755,0.0,4.2755,0
2021-09-02,4.301,4.301,4.301,4.301,0.0,4.301,0
2021-09-03,4.3125,4.3125,4.3125,4.3125,0.0,4.3125,0
2021-09-07,4.2705,4.2705,4.2705,4.2705,0.0,4.2705,0
2021-09-08,4.2225,4.2225,4.2225,4.2225,0.0,4.2225,0
2021-09-09,4.274,4.274,4.274,4.274,0.0,4.274,0
2021-09-10,4.4235,4.4235,4.4235,4.4235,0.0,4.4235,0
2021-09-13,4.341,4.341,4.341,4.341,0.0,4.341,0
2021-09-14,4.2985,4.2985,4.2985,4.2985,0.0,4.2985,0
2021-09-15,4.3695,4.3695,4.3695,4.3695,0.0,4.3695,0
2021-09-16,4.2595,4.2595,4.2595,4.2595,0.0,4.2595,0
2021-09-17,4.2185,4.2185,4.2185,4.2185,0.0,4.2185,0
2021-09-20,4.0985,4.0985,4.0985,4.0985,0.0,4.0985,0
2021-09-21,4.1065,4.1065,4.1065,4.1065,0.0,4.1065,0
2021-09-22,4.2265,4.2265,4.2265,4.2265,0.0,4.2265,0
2021-09-23,4.2095,4.2095,4.2095,4.2095,0.0,4.2095,0
