date,open,high,low,close,volume,average,barCount
2026-02-23,6.5125,6.5125,6.5125,6.5125,0.0,6.5125,0
2026-02-24,6.6685,6.6685,6.6685,6.6685,0.0,6.6685,0
2026-02-25,6.7285,6.7285,6.7285,6.7285,0.0,6.7285,0
2026-02-26,6.6925,6.6925,6.6925,6.6925,0.0,6.6925,0
2026-02-27,6.741,6.741,6.741,6.741,0.0,6.741,0
2026-03-02,6.6325,6.6325,6.6325,6.6325,0.0,6.6325,0
2026-03-03,6.5015,6.5015,6.5015,6.5015,0.0,6.5015,0
2026-03-04,6.579,6.579,6.579,6.579,0.0,6.579,0
2026-03-05,6.4735,6.4735,6.4735,6.4735,0.0,6.4735,0
2026-03-06,6.468,6.468,6.468,6.468,0.0,6.468,0
2026-03-09,6.505,6.505,6.505,6.505,0.0,6.505,0
2026-03-10,6.6095,6.6095,6.6095,6.6095,0.0,6.6095,0
2026-03-11,6.5525,6.5525,6.5525,6.5525,0.0,6.5525,0
2026-03-12,6.527,6.527,6.527,6.527,0.0,6.527,0
2026-03-13,6.4195,6.4195,6.4195,6.4195,0.0,6.4195,0
2026-03-16,6.492,6.492,6.492,6.492,0.0,6.492,0
2026-03-17,6.427,6.427,6.427,6.427,0.0,6.427,0
2026-03-18,6.248,6.248,6.248,6.248,0.0,6.248,0
2026-03-19,6.1205,6.1205,6.1205,6.1205,0.0,6.1205,0
2026-03-20,6.0235,6.0235,6.0235,6.0235,0.0,6.0235,0
2026-03-23,6.124,6.124,6.124,6.124,0.0,6.124,0
2026-03-24,6.11,6.11,6.11,6.11,0.0,6.11,0
2026-03-25,6.216,6.216,6.216,6.216,0.0,6.216,0
2026-03-26,6.1335,6.1335,6.1335,6.1335,0.0,6.1335,0
2026-03-27,6.145,6.145,6.145,6.145,0.0,6.145,0
2026-03-30,6.16,6.16,6.16,6.16,0.0,6.16,0
2026-03-31,6.27,6.27,6.27,6.27,0.0,6.27,0
2026-04-01,6.304,6.304,6.304,6.304,0.0,6.304,0
