date,open,high,low,close,volume,average,barCount
2020-09-30,3.096,3.096,3.096,3.096,0.0,3.096,0
2020-10-01,2.935,2.935,2.935,2.935,0.0,2.935,0
2020-10-02,3.044,3.044,3.044,3.044,0.0,3.044,0
2020-10-05,3.0355,3.0355,3.0355,3.0355,0.0,3.0355,0
2020-10-06,3.0425,3.0425,3.0425,3.0425,0.0,3.0425,0
2020-10-07,3.104,3.104,3.104,3.104,0.0,3.104,0
2020-10-08,3.1005,3.1005,3.1005,3.1005,0.0,3.1005,0
2020-10-09,3.1355,3.1355,3.1355,3.1355,0.0,3.1355,0
2020-10-12,3.13,3.13,3.13,3.13,0.0,3.13,0
2020-10-13,3.1145,3.1145,3.1145,3.1145,0.0,3.1145,0
2020-10-14,3.1235,3.1235,3.1235,3.1235,0.0,3.1235,0
2020-10-15,3.147,3.147,3.147,3.147,0.0,3.147,0
2020-10-16,3.123,3.123,3.123,3.123,0.0,3.123,0
2020-10-19,3.14,3.14,3.14,3.14,0.0,3.14,0
2020-10-20,3.1875,3.1875,3.1875,3.1875,0.0,3.1875,0
2020-10-21,3.2345,3.2345,3.2345,3.2345,0.0,3.2345,0
2020-10-22,3.199,3.199,3.199,3.199,0.0,3.199,0
2020-10-23,3.179,3.179,3.179,3.179,0.0,3.179,0
2020-10-26,3.1425,3.1425,3.1425,3.1425,0.0,3.1425,0
2020-10-27,3.1525,3.1525,3.1525,3.1525,0.0,3.1525,0
2020-10-28,3.123,3.123,3.123,3.123,0.0,3.123,0
2020-10-29,3.1155,3.1155,3.1155,3.1155,0.0,3.1155,0
2020-10-30,3.1085,3.1085,3.1085,3.1085,0.0,3.1085,0
2020-11-02,3.137,3.137,3.137,3.137,0.0,3.137,0
2020-11-03,3.1385,3.1385,3.1385,3.1385,0.0,3.1385,0
2020-11-04,3.1555,3.1555,3.1555,3.1555,0.0,3.1555,0
2020-11-05,3.165,3.165,3.165,3.165,0.0,3.165,0
2020-11-06,3.2135,3.2135,3.2135,3.2135,0.0,3.2135,0
2020-11-09,3.2135,3.2135,3.2135,3.2135,0.0,3.2135,0
2020-11-10,3.217,3.217,3.217,3.217,0.0,3.217,0
2020-11-11,3.1935,3.1935,3.1935,3.1935,0.0,3.1935,0
2020-11-12,3.2025,3.2025,3.2025,3.2025,0.0,3.2025,0
2020-11-13,3.234,3.234,3.234,3.234,0.0,3.234,0
2020-11-16,3.2795,3.2795,3.2795,3.2795,0.0,3.2795,0
2020-11-17,3.2625,3.2625,3.2625,3.2625,0.0,3.2625,0
2020-11-18,3.262,3.262,3.262,3.262,0.0,3.262,0
2020-11-19,3.2685,3.2685,3.2685,3.2685,0.0,3.2685,0
2020-11-20,3.3485,3.3485,3.3485,3.3485,0.0,3.3485,0
2020-11-23,3.3225,3.3225,3.3225,3.3225,0.0,3.3225,0
2020-11-24,3.3605,3.3605,3.3605,3.3605,0.0,3.3605,0
2020-11-25,3.376,3.376,3.376,3.376,0.0,3.376,0
2020-11-27,3.455,3.455,3.455,3.455,0.0,3.455,0
2020-11-30,3.4775,3.4775,3.4775,3.4775,0.0,3.4775,0
2020-12-01,3.525,3.525,3.525,3.525,0.0,3.525,0
2020-12-02,3.5195,3.5195,3.5195,3.5195,0.0,3.5195,0
2020-12-03,3.521,3.521,3.521,3.521,0.0,3.521,0
2020-12-04,3.555,3.555,3.555,3.555,0.0,3.555,0
2020-12-07,3.5535,3.5535,3.5535,3.5535,0.0,3.5535,0
2020-12-08,3.5365,3.5365,3.5365,3.5365,0.0,3.5365,0
2020-12-09,3.5445,3.5445,3.5445,3.5445,0.0,3.5445,0
2020-12-10,3.5965,3.5965,3.5965,3.5965,0.0,3.5965,0
2020-12-11,3.5565,3.5565,3.5565,3.5565,0.0,3.5565,0
2020-12-14,3.5615,3.5615,3.5615,3.5615,0.0,3.5615,0
2020-12-15,3.563,3.563,3.563,3.563,0.0,3.563,0
2020-12-16,3.573,3.573,3.573,3.573,0.0,3.573,0
2020-12-17,3.605,3.605,3.605,3.605,0.0,3.605,0
2020-12-18,3.6385,3.6385,3.6385,3.6385,0.0,3.6385,0
2020-12-21,3.5895,3.5895,3.5895,3.5895,0.0,3.5895,0
2020-12-22,3.534,3.534,3.534,3.534,0.0,3.534,0
2020-12-23,3.566,3.566,3.566,3.566,0.0,3.566,0
2020-12-24,3.571,3.571,3.571,3.571,0.0,3.571,0
2020-12-28,3.58,3.58,3.58,3.58,0.0,3.58,0
2020-12-29,3.565,3.565,3.565,3.565,0.0,3.565,0
2020-12-30,3.5665,3.5665,3.5665,3.5665,0.0,3.5665,0
2020-12-31,3.5395,3.5395,3.5395,3.5395,0.0,3.5395,0
2021-01-04,3.577,3.577,3.577,3.577,0.0,3.577,0
2021-01-05,3.6565,3.6565,3.6565,3.6565,0.0,3.6565,0
2021-01-06,3.6685,3.6685,3.6685,3.6685,0.0,3.6685,0
2021-01-07,3.712,3.712,3.712,3.712,0.0,3.712,0
2021-01-08,3.693,3.693,3.693,3.693,0.0,3.693,0
2021-01-11,3.5815,3.5815,3.5815,3.5815,0.0,3.5815,0
2021-01-12,3.6165,3.6165,3.6165,3.6165,0.0,3.6165,0
2021-01-13,3.6295,3.6295,3.6295,3.6295,0.0,3.6295,0
2021-01-14,3.673,3.673,3.673,3.673,0.0,3.673,0
2021-01-15,3.609,3.609,3.609,3.609,0.0,3.609,0
2021-01-19,3.63,3.63,3.63,3.63,0.0,3.63,0
2021-01-20,3.6385,3.6385,3.6385,3.6385,0.0,3.6385,0
2021-01-21,3.647,3.647,3.647,3.647,0.0,3.647,0
2021-01-22,3.626,3.626,3.626,3.626,0.0,3.626,0
2021-01-25,3.629,3.629,3.629,3.629,0.0,3.629,0
2021-01-26,3.6235,3.6235,3.6235,3.6235,0.0,3.6235,0
2021-01-27,3.5425,3.5425,3.5425,3.5425,0.0,3.5425,0
2021-01-28,3.541,3.541,3.541,3.541,0.0,3.541,0
2021-01-29,3.519,3.519,3.519,3.519,0.0,3.519,0
2021-02-01,3.5095,3.5095,3.5095,3.5095,0.0,3.5095,0
2021-02-02,3.4915,3.4915,3.4915,3.4915,0.0,3.4915,0
2021-02-03,3.5255,3.5255,3.5255,3.5255,0.0,3.5255,0
2021-02-04,3.5215,3.5215,3.5215,3.5215,0.0,3.5215,0
2021-02-05,3.58,3.58,3.58,3.58,0.0,3.58,0
2021-02-08,3.5965,3.5965,3.5965,3.5965,0.0,3.5965,0
2021-02-09,3.622,3.622,3.622,3.622,0.0,3.622,0
2021-02-10,3.6815,3.6815,3.6815,3.6815,0.0,3.6815,0
2021-02-11,3.6855,3.6855,3.6855,3.6855,0.0,3.6855,0
2021-02-12,3.683,3.683,3.683,3.683,0.0,3.683,0
2021-02-16,3.714,3.714,3.714,3.714,0.0,3.714,0
2021-02-17,3.7095,3.7095,3.7095,3.7095,0.0,3.7095,0
2021-02-18,3.7785,3.7785,3.7785,3.7785,0.0,3.7785,0
2021-02-19,3.941,3.941,3.941,3.941,0.0,3.941,0
2021-02-22,4.0075,4.0075,4.0075,4.0075,0.0,4.0075,0
2021-02-23,4.0465,4.0465,4.0465,4.0465,0.0,4.0465,0
2021-02-24,4.1535,4.1535,4.1535,4.1535,0.0,4.1535,0
2021-02-25,4.1065,4.1065,4.1065,4.1065,0.0,4.1065,0
2021-02-26,3.9545,3.9545,3.9545,3.9545,0.0,3.9545,0
2021-03-01,3.9805,3.9805,3.9805,3.9805,0.0,3.9805,0
2021-03-02,4.07,4.07,4.07,4.07,0.0,4.07,0
2021-03-03,4.0095,4.0095,4.0095,4.0095,0.0,4.0095,0
2021-03-04,3.851,3.851,3.851,3.851,0.0,3.851,0
2021-03-05,3.943,3.943,3.943,3.943,0.0,3.943,0
2021-03-08,3.958,3.958,3.958,3.958,0.0,3.958,0
2021-03-09,3.8835,3.8835,3.8835,3.8835,0.0,3.8835,0
2021-03-10,3.9125,3.9125,3.9125,3.9125,0.0,3.9125,0
2021-03-11,4.032,4.032,4.032,4.032,0.0,4.032,0
2021-03-12,4.03,4.03,4.03,4.03,0.0,4.03,0
2021-03-15,4.0215,4.0215,4.0215,4.0215,0.0,4.0215,0
2021-03-16,3.96,3.96,3.96,3.96,0.0,3.96,0
2021-03-17,4.004,4.004,4.004,4.004,0.0,4.004,0
2021-03-18,3.9825,3.9825,3.9825,3.9825,0.0,3.9825,0
2021-03-19,3.981,3.981,3.981,3.981,0.0,3.981,0
2021-03-22,4.0145,4.0145,4.0145,4.0145,0.0,4.0145,0
2021-03-23,3.961,3.961,3.961,3.961,0.0,3.961,0
2021-03-24,3.9565,3.9565,3.9565,3.9565,0.0,3.9565,0
2021-03-25,3.8685,3.8685,3.8685,3.8685,0.0,3.8685,0
2021-03-26,3.955,3.955,3.955,3.955,0.0,3.955,0
2021-03-29,3.9265,3.9265,3.9265,3.9265,0.0,3.9265,0
2021-03-30,3.877,3.877,3.877,3.877,0.0,3.877,0
2021-03-31,3.895,3.895,3.895,3.895,0.0,3.895,0
2021-04-01,3.892,3.892,3.892,3.892,0.0,3.892,0
2021-04-05,4.0305,4.0305,4.0305,4.0305,0.0,4.0305,0
2021-04-06,4.0015,4.0015,4.0015,4.0015,0.0,4.0015,0
2021-04-07,3.95,3.95,3.95,3.95,0.0,3.95,0
2021-04-08,3.994,3.994,3.994,3.994,0.0,3.994,0
2021-04-09,3.944,3.944,3.944,3.944,0.0,3.944,0
2021-04-12,3.93,3.93,3.93,3.93,0.0,3.93,0
2021-04-13,3.944,3.944,3.944,3.944,0.0,3.944,0
2021-04-14,4.0275,4.0275,4.0275,4.0275,0.0,4.0275,0
2021-04-15,4.101,4.101,4.101,4.101,0.0,4.101,0
2021-04-16,4.056,4.056,4.056,4.056,0.0,4.056,0
2021-04-19,4.1375,4.1375,4.1375,4.1375,0.0,4.1375,0
2021-04-20,4.117,4.117,4.117,4.117,0.0,4.117,0
