date,open,high,low,close,volume,average,barCount
2025-09-16,0.6687,0.6698,0.6674,0.6698,39.0,0.66821,21
2025-09-17,0.6697,0.6718,0.6662,0.6669,33.0,0.66896,24
2025-09-18,0.6659,0.6662,0.6625,0.663,34.0,0.66395,25
2025-09-19,0.6629,0.6629,0.6605,0.6609,13.0,0.66176,12
2025-09-22,0.6602,0.6613,0.659,0.6613,33.0,0.65992,29
2025-09-23,0.6613,0.6618,0.6598,0.6608,20.0,0.66121,9
2025-09-24,0.6604,0.6635,0.6591,0.6591,10.0,0.66171,7
2025-09-25,0.6596,0.6609,0.654,0.6544,17.0,0.65729,15
2025-09-26,0.6546,0.6562,0.6538,0.6562,25.0,0.65498,17
2025-09-29,0.656,0.6592,0.656,0.6592,16.0,0.6577,11
2025-09-30,0.6604,0.6631,0.6598,0.6626,60.0,0.66164,14
2025-10-01,0.6614,0.6636,0.6604,0.6627,37.0,0.66225,11
2025-10-02,0.6624,0.663,0.659,0.6607,26.0,0.66141,22
2025-10-03,0.6602,0.662,0.66,0.6611,13.0,0.66069,4
2025-10-06,0.6605,0.663,0.6602,0.6627,48.0,0.66197,16
2025-10-07,0.6627,0.6632,0.6593,0.6594,54.0,0.66135,22
2025-10-08,0.6593,0.6602,0.657,0.6594,23.0,0.65912,17
2025-10-09,0.6594,0.6621,0.6549,0.6552,86.0,0.65833,40
2025-10-10,0.6571,0.6576,0.6484,0.6492,90.0,0.65257,33
2025-10-13,0.652,0.654,0.6507,0.6523,44.0,0.65217,18
2025-10-14,0.6528,0.6529,0.645,0.6499,101.0,0.64876,41
2025-10-15,0.6503,0.653,0.65,0.6515,34.0,0.65206,17
2025-10-16,0.6516,0.6522,0.6481,0.6493,45.0,0.65079,23
2025-10-17,0.6492,0.6507,0.6454,0.6507,37.0,0.64794,24
2025-10-20,0.651,0.653,0.6501,0.6524,54.0,0.65173,22
2025-10-21,0.6526,0.653,0.6483,0.65,42.0,0.65134,24
2025-10-22,0.6497,0.652,0.649,0.6495,41.0,0.65053,30
2025-10-23,0.6494,0.6527,0.6493,0.6526,55.0,0.65075,20
2025-10-24,0.6525,0.6535,0.6504,0.6519,54.0,0.65162,24
2025-10-27,0.655,0.6565,0.6539,0.6563,42.0,0.65505,24
2025-10-28,0.6566,0.6597,0.6555,0.6597,74.0,0.65782,35
2025-10-29,0.6585,0.662,0.657,0.6583,59.0,0.65992,36
2025-10-30,0.6583,0.6601,0.654,0.656,66.0,0.65658,35
2025-10-31,0.6562,0.6562,0.6543,0.655,44.0,0.65495,26
2025-11-03,0.6548,0.6562,0.6525,0.6546,31.0,0.65507,18
2025-11-04,0.6542,0.6542,0.649,0.649,63.0,0.65035,23
2025-11-05,0.6494,0.6519,0.647,0.6512,97.0,0.64974,40
2025-11-06,0.6512,0.6523,0.647,0.6489,40.0,0.64949,32
2025-11-07,0.6489,0.6501,0.6475,0.65,67.0,0.64874,47
2025-11-10,0.65,0.6547,0.6499,0.6542,139.0,0.65304,70
2025-11-11,0.6535,0.6539,0.6522,0.6535,44.0,0.65318,15
2025-11-12,0.6535,0.6555,0.6525,0.655,38.0,0.65435,25
2025-11-13,0.654,0.6585,0.653,0.6534,121.0,0.65621,59
2025-11-14,0.6534,0.6556,0.651,0.6544,104.0,0.65297,58
2025-11-17,0.6537,0.6543,0.6488,0.649,84.0,0.65152,55
2025-11-18,0.65,0.6522,0.6471,0.6522,156.0,0.64973,71
2025-11-19,0.6504,0.6504,0.6458,0.647,121.0,0.64823,59
2025-11-20,0.6487,0.6505,0.6443,0.6462,176.0,0.64684,84
2025-11-21,0.6458,0.6463,0.6427,0.6461,162.0,0.64489,91
2025-11-24,0.647,0.647,0.645,0.6466,152.0,0.64604,58
2025-11-25,0.648,0.648,0.644,0.6478,116.0,0.64603,77
2025-11-26,0.6474,0.6524,0.6472,0.6522,275.0,0.65036,125
2025-11-28,0.6528,0.6561,0.6524,0.6555,258.0,0.65454,80
2025-12-01,0.6555,0.6569,0.6541,0.6546,302.0,0.65545,122
2025-12-02,0.6546,0.6572,0.6541,0.6568,243.0,0.65597,127
2025-12-03,0.657,0.6603,0.6556,0.6603,308.0,0.65869,152
2025-12-04,0.6604,0.6625,0.6602,0.6615,382.0,0.66147,123
2025-12-05,0.661,0.665,0.6608,0.6641,512.0,0.66298,224
2025-12-08,0.664,0.6651,0.6616,0.6626,493.0,0.66312,255
2025-12-09,0.6626,0.6655,0.661,0.664,561.0,0.6637,207
2025-12-10,0.6642,0.6688,0.663,0.6669,1214.0,0.66595,666
2025-12-11,0.667,0.6678,0.6628,0.6667,2166.0,0.6662,598
2025-12-12,0.6668,0.6677,0.6633,0.6653,5051.0,0.66597,1637
2025-12-15,0.6645,0.6657,0.6633,0.6644,3157.0,0.6647,1237
2025-12-16,0.6643,0.6662,0.662,0.6638,6859.0,0.66387,2205
2025-12-17,0.663,0.6635,0.6601,0.6606,4080.0,0.66193,1466
2025-12-18,0.6606,0.6631,0.6594,0.6615,4702.0,0.66144,1745
2025-12-19,0.6612,0.6627,0.6601,0.662,4341.0,0.66163,1211
2025-12-22,0.6616,0.6662,0.6609,0.6656,3951.0,0.66373,1291
2025-12-23,0.6659,0.6705,0.6657,0.67,6473.0,0.6686,1560
2025-12-24,0.6702,0.6718,0.67,0.6709,2456.0,0.67087,962
2025-12-26,0.6709,0.6727,0.6698,0.6712,2646.0,0.67121,1006
2025-12-29,0.6711,0.6729,0.6684,0.6698,4427.0,0.67055,1591
2025-12-30,0.6694,0.6719,0.6689,0.6697,3124.0,0.67029,1270
2025-12-31,0.6697,0.6702,0.6661,0.6673,3362.0,0.66801,1219
2026-01-02,0.6672,0.6708,0.6671,0.669,3839.0,0.66914,1491
2026-01-05,0.6693,0.672,0.6663,0.6717,5278.0,0.66901,1912
2026-01-06,0.6717,0.6743,0.6704,0.6733,5104.0,0.67262,1803
2026-01-07,0.6739,0.6766,0.6717,0.6729,6855.0,0.67391,2326
2026-01-08,0.6722,0.6726,0.6682,0.6694,5428.0,0.67037,1522
2026-01-09,0.6699,0.6705,0.6661,0.6688,6480.0,0.66866,2043
2026-01-12,0.6686,0.6723,0.6685,0.6715,4280.0,0.67071,1526
2026-01-13,0.6711,0.6729,0.6673,0.6682,6581.0,0.66997,1678
2026-01-14,0.6687,0.6702,0.6674,0.6681,4573.0,0.66852,1389
2026-01-15,0.6689,0.671,0.6668,0.6703,5953.0,0.66883,1756
2026-01-16,0.6699,0.671,0.6672,0.6684,4999.0,0.66918,1503
2026-01-20,0.6674,0.6748,0.6668,0.6733,10183.0,0.67159,3507
2026-01-21,0.6735,0.6779,0.6728,0.6764,5757.0,0.67567,2167
2026-01-22,0.676,0.6845,0.6754,0.684,7473.0,0.68055,2467
2026-01-23,0.6841,0.6899,0.6835,0.6887,6362.0,0.68607,2359
2026-01-26,0.6921,0.6941,0.6906,0.6919,8444.0,0.69217,2824
2026-01-27,0.6915,0.7015,0.6902,0.6979,11236.0,0.69575,3439
2026-01-28,0.7006,0.7043,0.6976,0.701,13908.0,0.69984,4136
2026-01-29,0.704,0.7093,0.6968,0.7027,21090.0,0.70305,7011
2026-01-30,0.7051,0.7054,0.6939,0.6972,17505.0,0.69937,6484
2026-02-02,0.6945,0.6971,0.6908,0.6945,15146.0,0.6947,5458
2026-02-03,0.695,0.7049,0.6946,0.7006,12798.0,0.70069,4605
2026-02-04,0.703,0.7042,0.697,0.6997,8578.0,0.70086,3315
2026-02-05,0.6998,0.7006,0.6926,0.6959,9401.0,0.69678,3658
2026-02-06,0.6927,0.7024,0.6897,0.7016,9512.0,0.69677,3020
2026-02-09,0.7015,0.7097,0.7012,0.7096,8773.0,0.70487,3205
2026-02-10,0.7094,0.7094,0.7064,0.7078,6222.0,0.70764,2397
2026-02-11,0.7074,0.7142,0.7069,0.7129,11576.0,0.71111,4386
2026-02-12,0.7134,0.7146,0.7076,0.7096,10381.0,0.71145,3715
2026-02-13,0.7089,0.7096,0.7044,0.7071,11506.0,0.70685,4096
2026-02-17,0.7069,0.7095,0.7028,0.7082,12816.0,0.70653,4544
2026-02-18,0.7086,0.7088,0.7035,0.7037,5673.0,0.70643,2065
2026-02-19,0.7043,0.7079,0.7023,0.7047,9132.0,0.70527,3068
2026-02-20,0.706,0.7094,0.7016,0.7078,12488.0,0.70602,4333
2026-02-23,0.708,0.7112,0.7048,0.7055,9832.0,0.70748,3170
2026-02-24,0.7055,0.7073,0.7027,0.706,6851.0,0.70543,2509
2026-02-25,0.7062,0.7126,0.7056,0.7122,8943.0,0.70962,2885
2026-02-26,0.7122,0.7135,0.7066,0.7108,7516.0,0.71083,2806
2026-02-27,0.7101,0.7132,0.7086,0.7114,7845.0,0.71134,2815
2026-03-02,0.7071,0.7116,0.7044,0.7104,14613.0,0.70769,4999
2026-03-03,0.7095,0.7122,0.6944,0.7043,21626.0,0.70359,6843
2026-03-04,0.7038,0.7083,0.6985,0.7082,14781.0,0.70373,4876
2026-03-05,0.7076,0.7089,0.6974,0.6981,17869.0,0.7031,5368
2026-03-06,0.7013,0.7048,0.6976,0.7025,13738.0,0.7012,4698
2026-03-09,0.7,0.7079,0.6956,0.7042,18866.0,0.70133,6239
2026-03-10,0.7074,0.7168,0.7053,0.7133,13670.0,0.71116,4419
2026-03-11,0.7119,0.7187,0.7113,0.715,11124.0,0.71575,3987
2026-03-12,0.7156,0.716,0.7073,0.708,9953.0,0.71151,3647
2026-03-13,0.7075,0.709,0.6976,0.7004,1404.0,0.70408,484
2026-03-16,0.7,0.7075,0.698,0.7072,224.0,0.7032,43
2026-03-17,0.7072,0.7072,0.7071,0.7072,0.0,0.7072,0
