date,open,high,low,close,volume,average,barCount
2025-12-16,0.663,0.6652,0.6628,0.6633,14.0,0.66379,13
2025-12-17,0.6626,0.6626,0.66,0.6602,17.0,0.66095,12
2025-12-18,0.6595,0.6625,0.659,0.661,24.0,0.6605,17
2025-12-19,0.6612,0.662,0.6597,0.6616,69.0,0.66062,42
2025-12-22,0.661,0.6654,0.6605,0.6651,34.0,0.66298,31
2025-12-23,0.6658,0.6697,0.6658,0.6695,22.0,0.66825,20
2025-12-24,0.6707,0.6715,0.67,0.6704,22.0,0.67106,13
2025-12-26,0.6715,0.672,0.6707,0.6707,3.0,0.67183,2
2025-12-29,0.672,0.6721,0.6682,0.6693,45.0,0.66944,20
2025-12-30,0.6693,0.6712,0.669,0.6692,36.0,0.66983,16
2025-12-31,0.669,0.6693,0.6664,0.6668,30.0,0.66788,15
2026-01-02,0.6673,0.6702,0.6673,0.6685,24.0,0.6687,15
2026-01-05,0.6685,0.6712,0.6662,0.6712,30.0,0.6689,22
2026-01-06,0.6711,0.6732,0.6708,0.6728,20.0,0.67183,14
2026-01-07,0.6735,0.676,0.6718,0.6724,64.0,0.67401,38
2026-01-08,0.6717,0.6717,0.668,0.6691,131.0,0.66941,49
2026-01-09,0.6697,0.67,0.6663,0.6684,51.0,0.66812,35
2026-01-12,0.6686,0.6712,0.6686,0.6712,20.0,0.67018,14
2026-01-13,0.6712,0.6712,0.6674,0.6679,44.0,0.67005,16
2026-01-14,0.6681,0.67,0.6675,0.6679,29.0,0.66846,19
2026-01-15,0.6683,0.6705,0.667,0.6701,91.0,0.66884,29
2026-01-16,0.6699,0.6706,0.667,0.6682,38.0,0.6686,13
2026-01-20,0.6689,0.6742,0.6687,0.673,87.0,0.67178,59
2026-01-21,0.6729,0.6775,0.6727,0.6761,19.0,0.67533,15
2026-01-22,0.6754,0.6838,0.6752,0.6835,98.0,0.68048,57
2026-01-23,0.6836,0.6893,0.6833,0.6883,76.0,0.68615,53
2026-01-26,0.6931,0.6936,0.6906,0.6915,99.0,0.69216,62
2026-01-27,0.6909,0.7011,0.6899,0.6975,106.0,0.69558,56
2026-01-28,0.6998,0.7043,0.6975,0.7005,161.0,0.69972,75
2026-01-29,0.7038,0.7087,0.6966,0.7022,142.0,0.70535,79
