date,open,high,low,close,volume,average,barCount
2026-03-17,0.7055,0.7093,0.7055,0.7083,16.0,0.7074,10
2026-03-18,0.709,0.7096,0.7011,0.703,26.0,0.70435,17
2026-03-19,0.7014,0.7068,0.6987,0.7052,60.0,0.70245,23
2026-03-20,0.7066,0.7066,0.6989,0.6989,23.0,0.70243,13
2026-03-23,0.6965,0.7039,0.6895,0.7006,36.0,0.69756,31
2026-03-24,0.7003,0.7003,0.692,0.6946,58.0,0.69449,29
2026-03-25,0.6978,0.698,0.6923,0.6931,74.0,0.69567,20
2026-03-26,0.6917,0.6922,0.6859,0.6874,110.0,0.68911,32
2026-03-27,0.6866,0.689,0.685,0.6852,20.0,0.68666,14
2026-03-30,0.683,0.6845,0.6816,0.6832,22.0,0.68275,16
2026-03-31,0.6829,0.6875,0.6829,0.687,19.0,0.68475,15
2026-04-01,0.6883,0.694,0.6883,0.6896,52.0,0.69138,29
2026-04-02,0.6894,0.6895,0.684,0.6886,128.0,0.68642,35
2026-04-03,0.6873,0.6873,0.6873,0.6873,0.0,0.6873,0
2026-04-06,0.6883,0.6916,0.6883,0.6899,8.0,0.69015,8
2026-04-07,0.693,0.6952,0.6924,0.6926,19.0,0.69389,10
2026-04-08,0.696,0.706,0.695,0.7012,86.0,0.7027,60
2026-04-09,0.7029,0.707,0.7004,0.7059,96.0,0.7031,32
2026-04-10,0.7057,0.7073,0.7036,0.706,83.0,0.70572,36
2026-04-13,0.6992,0.708,0.699,0.708,55.0,0.70312,50
2026-04-14,0.708,0.7126,0.7058,0.7107,55.0,0.70987,38
2026-04-15,0.711,0.7155,0.7103,0.7155,57.0,0.71186,30
2026-04-16,0.7155,0.7171,0.7137,0.7137,40.0,0.71556,18
2026-04-17,0.7143,0.7199,0.7143,0.7153,36.0,0.71758,26
2026-04-20,0.7115,0.7155,0.71,0.7155,36.0,0.71272,22
2026-04-21,0.7156,0.7163,0.7112,0.7133,49.0,0.71362,35
2026-04-22,0.7133,0.7152,0.713,0.714,41.0,0.71419,33
2026-04-23,0.7139,0.714,0.7095,0.7116,41.0,0.71179,25
2026-04-24,0.7114,0.7135,0.7098,0.7132,52.0,0.71218,13
2026-04-27,0.7122,0.7172,0.712,0.7166,47.0,0.71507,33
2026-04-28,0.7169,0.7169,0.7134,0.7163,21.0,0.71573,19
