date,open,high,low,close,volume,average,barCount
2025-06-17,0.655,0.6565,0.6495,0.6497,38.0,0.65354,18
2025-06-18,0.6537,0.656,0.652,0.6525,17.0,0.65369,15
2025-06-19,0.6529,0.6529,0.6472,0.6525,35.0,0.64987,15
2025-06-20,0.6514,0.6514,0.6476,0.6478,24.0,0.64946,13
2025-06-23,0.6457,0.6478,0.6398,0.6478,30.0,0.64312,18
2025-06-24,0.6494,0.654,0.6494,0.6528,76.0,0.65243,34
2025-06-25,0.6513,0.6536,0.6509,0.6532,20.0,0.65209,13
2025-06-26,0.654,0.6585,0.6539,0.6582,39.0,0.6555,27
2025-06-27,0.6573,0.6581,0.6534,0.6541,39.0,0.656,24
2025-06-30,0.6549,0.6605,0.6546,0.6602,41.0,0.65762,20
2025-07-01,0.66,0.661,0.658,0.6597,34.0,0.65983,21
2025-07-02,0.6601,0.661,0.657,0.6605,31.0,0.65899,19
2025-07-03,0.6607,0.6607,0.6565,0.6594,92.0,0.6592,38
2025-07-07,0.66,0.6602,0.6513,0.6524,69.0,0.65603,40
2025-07-08,0.6522,0.657,0.6522,0.6548,68.0,0.65594,23
2025-07-09,0.6547,0.6565,0.653,0.6556,62.0,0.65509,34
2025-07-10,0.6556,0.661,0.6556,0.6602,62.0,0.65837,33
2025-07-11,0.6609,0.6612,0.6575,0.6598,50.0,0.65932,35
2025-07-14,0.6591,0.6606,0.6562,0.6566,27.0,0.65782,14
2025-07-15,0.6561,0.6586,0.6529,0.6535,81.0,0.65558,45
2025-07-16,0.6529,0.6564,0.6515,0.6537,57.0,0.65407,29
2025-07-17,0.654,0.6544,0.6476,0.6506,50.0,0.65061,33
2025-07-18,0.6507,0.6557,0.6507,0.6525,53.0,0.65306,29
2025-07-21,0.6524,0.655,0.6523,0.6545,12.0,0.65395,10
2025-07-22,0.6542,0.6575,0.6525,0.6569,34.0,0.65484,31
2025-07-23,0.6575,0.6621,0.6572,0.6616,62.0,0.66039,42
2025-07-24,0.662,0.6642,0.6605,0.6619,58.0,0.6627,36
2025-07-25,0.6614,0.6614,0.657,0.6582,69.0,0.65867,38
2025-07-28,0.6592,0.6599,0.6531,0.6533,55.0,0.65575,43
2025-07-29,0.654,0.6544,0.6513,0.6532,48.0,0.65217,29
2025-07-30,0.6535,0.6553,0.6445,0.6449,119.0,0.64872,80
2025-07-31,0.6464,0.6489,0.6442,0.6449,43.0,0.64636,26
2025-08-01,0.6449,0.6507,0.6437,0.6456,111.0,0.64753,66
2025-08-04,0.6479,0.6505,0.6475,0.6475,32.0,0.64897,22
2025-08-05,0.6491,0.6496,0.6467,0.6483,39.0,0.64769,24
2025-08-06,0.6496,0.6523,0.6496,0.652,55.0,0.65106,27
2025-08-07,0.6511,0.6555,0.6508,0.6512,78.0,0.65299,47
2025-08-08,0.6542,0.6546,0.6526,0.6543,25.0,0.65404,15
2025-08-11,0.6536,0.6542,0.6516,0.653,60.0,0.65281,20
2025-08-12,0.6532,0.6553,0.6498,0.6543,63.0,0.65167,42
2025-08-13,0.6543,0.6575,0.6534,0.6555,37.0,0.65582,25
2025-08-14,0.6576,0.6581,0.65,0.6509,83.0,0.65344,50
2025-08-15,0.6508,0.6536,0.6503,0.6519,22.0,0.65187,21
2025-08-18,0.6525,0.653,0.6496,0.6504,36.0,0.65159,19
2025-08-19,0.65,0.65,0.6465,0.6465,92.0,0.64814,41
2025-08-20,0.6465,0.6469,0.6437,0.6443,174.0,0.64521,61
2025-08-21,0.6448,0.6449,0.643,0.6438,71.0,0.64364,41
2025-08-22,0.6437,0.6512,0.643,0.6502,194.0,0.64885,92
2025-08-25,0.65,0.6517,0.6486,0.6496,129.0,0.65037,59
2025-08-26,0.6499,0.6511,0.6483,0.6507,221.0,0.6503,45
2025-08-27,0.651,0.6524,0.6475,0.6522,409.0,0.64924,92
2025-08-28,0.6516,0.6549,0.6514,0.6547,277.0,0.65379,55
2025-08-29,0.6543,0.6562,0.654,0.6557,158.0,0.65531,55
2025-09-02,0.6557,0.6571,0.6495,0.6526,593.0,0.65323,258
2025-09-03,0.6526,0.6564,0.6513,0.6556,383.0,0.65476,108
2025-09-04,0.6556,0.6559,0.6513,0.6523,279.0,0.65296,129
2025-09-05,0.6529,0.6597,0.6527,0.6562,564.0,0.65636,273
2025-09-08,0.6565,0.6607,0.6556,0.6603,606.0,0.65888,226
2025-09-09,0.6602,0.6628,0.6591,0.6593,723.0,0.66081,480
2025-09-10,0.659,0.6644,0.6587,0.6629,1533.0,0.66188,918
2025-09-11,0.6622,0.6677,0.6599,0.6671,2103.0,0.66357,1008
2025-09-12,0.6678,0.6678,0.6639,0.6661,5530.0,0.6658,1875
2025-09-15,0.6664,0.6683,0.6654,0.6681,5260.0,0.66685,1646
2025-09-16,0.668,0.6696,0.6668,0.6692,5140.0,0.66796,1696
2025-09-17,0.6693,0.6714,0.6649,0.6663,7251.0,0.66808,2460
2025-09-18,0.6663,0.6667,0.6615,0.6624,7476.0,0.66436,2614
2025-09-19,0.6624,0.6626,0.6594,0.6603,5030.0,0.66077,1757
2025-09-22,0.6605,0.661,0.6582,0.6607,5374.0,0.65982,1649
2025-09-23,0.6607,0.6623,0.6589,0.6602,5277.0,0.66049,1713
2025-09-24,0.6607,0.6634,0.6582,0.6587,6734.0,0.66088,2132
2025-09-25,0.659,0.661,0.6532,0.654,5639.0,0.65778,1966
2025-09-26,0.6549,0.6558,0.6527,0.6557,3722.0,0.65447,1492
2025-09-29,0.6554,0.6588,0.6553,0.6587,5568.0,0.65726,1508
2025-09-30,0.6584,0.6635,0.6578,0.6622,8245.0,0.66056,2796
2025-10-01,0.6621,0.6635,0.6595,0.6623,6246.0,0.66161,2229
2025-10-02,0.6618,0.6629,0.6583,0.6603,5301.0,0.66112,1761
2025-10-03,0.6601,0.6619,0.6595,0.6608,4061.0,0.66079,1331
2025-10-06,0.661,0.6626,0.6591,0.6624,5433.0,0.66138,1608
2025-10-07,0.6622,0.663,0.6584,0.6591,4619.0,0.66038,1505
2025-10-08,0.6589,0.6595,0.6563,0.659,4739.0,0.65799,1691
2025-10-09,0.6592,0.6617,0.6545,0.6549,6973.0,0.65821,2410
2025-10-10,0.6559,0.6577,0.6476,0.6489,8851.0,0.65282,2941
2025-10-13,0.6493,0.6537,0.6493,0.652,6143.0,0.65195,2152
2025-10-14,0.652,0.6526,0.6446,0.6496,7549.0,0.64815,2598
2025-10-15,0.6492,0.6528,0.6491,0.6512,4637.0,0.65115,1897
2025-10-16,0.652,0.6522,0.6477,0.6489,9029.0,0.65031,2753
2025-10-17,0.6503,0.6507,0.6449,0.6502,6126.0,0.64835,2329
2025-10-20,0.6505,0.6526,0.6489,0.652,4306.0,0.65083,1737
2025-10-21,0.6519,0.653,0.6477,0.6495,5581.0,0.65003,2148
2025-10-22,0.6492,0.6516,0.6483,0.649,5585.0,0.64971,2090
2025-10-23,0.6493,0.6522,0.6483,0.6521,3967.0,0.65078,1326
2025-10-24,0.6514,0.655,0.6495,0.6514,5344.0,0.65142,1870
2025-10-27,0.654,0.6562,0.6533,0.656,4396.0,0.6548,1603
2025-10-28,0.6561,0.6594,0.6548,0.6593,4948.0,0.65695,1611
2025-10-29,0.659,0.662,0.656,0.658,7937.0,0.6596,2995
2025-10-30,0.6578,0.66,0.6536,0.6556,6203.0,0.65711,2255
2025-10-31,0.6557,0.6563,0.6536,0.6546,3181.0,0.65478,1312
2025-11-03,0.6547,0.6566,0.652,0.6542,3886.0,0.65456,1300
2025-11-04,0.6541,0.6542,0.6484,0.6487,4688.0,0.6512,1721
2025-11-05,0.6495,0.6515,0.6461,0.6509,5681.0,0.64908,2016
2025-11-06,0.6507,0.652,0.6465,0.6486,6299.0,0.64951,2004
2025-11-07,0.6483,0.6502,0.6469,0.6497,3682.0,0.64855,1573
2025-11-10,0.6495,0.6542,0.6493,0.654,4900.0,0.65228,1630
2025-11-11,0.6538,0.654,0.6517,0.6532,2519.0,0.653,1086
2025-11-12,0.653,0.6552,0.6518,0.6547,3682.0,0.65376,1317
2025-11-13,0.6541,0.6582,0.6525,0.6531,6195.0,0.65536,2296
2025-11-14,0.653,0.6554,0.6506,0.654,4786.0,0.65338,2037
2025-11-17,0.6538,0.6539,0.6484,0.6486,4983.0,0.65144,1871
2025-11-18,0.6496,0.652,0.6467,0.6519,4930.0,0.64976,2052
2025-11-19,0.6512,0.6514,0.6453,0.6466,4647.0,0.64829,1824
2025-11-20,0.6482,0.6504,0.6438,0.6458,5526.0,0.6475,2400
2025-11-21,0.6445,0.6461,0.6423,0.6457,5055.0,0.64445,2053
2025-11-24,0.645,0.647,0.6444,0.6463,3274.0,0.64583,1436
2025-11-25,0.6467,0.6477,0.6437,0.6475,5089.0,0.64589,1931
2025-11-26,0.6471,0.6522,0.6465,0.652,6308.0,0.64991,2232
2025-11-28,0.652,0.656,0.6519,0.6553,4003.0,0.65357,1714
2025-12-01,0.6546,0.6567,0.6538,0.6543,3914.0,0.65504,1545
2025-12-02,0.6548,0.6571,0.6539,0.6566,5070.0,0.65597,1492
2025-12-03,0.6569,0.6604,0.6554,0.6602,5683.0,0.65863,1853
2025-12-04,0.6601,0.6624,0.66,0.6614,3780.0,0.66118,1389
2025-12-05,0.661,0.6649,0.6606,0.664,3300.0,0.66302,1377
2025-12-08,0.6639,0.6649,0.6615,0.6624,3597.0,0.66308,1386
2025-12-09,0.6624,0.6655,0.6608,0.664,3620.0,0.66372,1538
2025-12-10,0.6643,0.6686,0.6629,0.6668,5520.0,0.66534,1963
2025-12-11,0.6676,0.6678,0.6627,0.6666,7808.0,0.66624,2002
2025-12-12,0.6665,0.6674,0.6636,0.6653,1444.0,0.66611,450
2025-12-15,0.6645,0.666,0.664,0.6649,339.0,0.66414,34
2025-12-16,0.6649,0.6649,0.6648,0.6649,0.0,0.6649,0
