date,open,high,low,close,volume,average,barCount
2025-09-16,1.3598,1.3665,1.3598,1.3655,17.0,1.36491,15
2025-09-17,1.364,1.3714,1.3615,1.3632,30.0,1.36468,26
2025-09-18,1.3623,1.3633,1.3535,1.3549,28.0,1.35908,22
2025-09-19,1.3525,1.3525,1.3462,1.3465,4.0,1.3497,4
2025-09-22,1.3502,1.3513,1.3502,1.3513,1.0,1.3502,1
2025-09-23,1.3507,1.3512,1.3507,1.3512,1.0,1.3507,1
2025-09-24,1.3505,1.3505,1.343,1.3445,5.0,1.34776,5
2025-09-25,1.335,1.335,1.333,1.333,6.0,1.33365,5
2025-09-26,1.333,1.3407,1.333,1.3405,205.0,1.33901,8
2025-09-29,1.3389,1.3437,1.3389,1.3433,6.0,1.34252,4
2025-09-30,1.3437,1.3445,1.3437,1.3445,1.0,1.3437,1
2025-10-01,1.3514,1.3516,1.346,1.3479,6.0,1.34908,6
2025-10-02,1.3441,1.3441,1.3441,1.3441,0.0,1.3441,0
2025-10-03,1.347,1.3475,1.347,1.3475,1.0,1.347,1
2025-10-06,1.3453,1.3477,1.3453,1.3477,3.0,1.34623,3
2025-10-07,1.3476,1.3476,1.3416,1.3425,11.0,1.34295,9
2025-10-08,1.3413,1.3413,1.3375,1.3385,11.0,1.33928,3
2025-10-09,1.3406,1.3408,1.3275,1.3275,12.0,1.33777,12
2025-10-10,1.3292,1.334,1.3262,1.3339,46.0,1.32922,7
2025-10-13,1.3337,1.3343,1.3323,1.3326,3.0,1.33343,3
2025-10-14,1.3341,1.3341,1.324,1.3321,510.0,1.32702,21
2025-10-15,1.3365,1.3393,1.336,1.3377,7.0,1.33654,4
2025-10-16,1.3425,1.3433,1.3407,1.3429,15.0,1.34277,6
2025-10-17,1.3409,1.3428,1.3399,1.3428,7.0,1.3411,7
2025-10-20,1.3432,1.3432,1.3403,1.3403,1.0,1.3432,1
2025-10-21,1.3366,1.3366,1.3366,1.3366,0.0,1.3366,0
2025-10-22,1.3329,1.3353,1.3304,1.3353,10.0,1.33271,7
2025-10-23,1.3321,1.3321,1.3319,1.3319,1.0,1.3321,1
2025-10-24,1.3323,1.3342,1.3284,1.3299,20.0,1.33197,10
2025-10-27,1.3323,1.3342,1.3323,1.3333,4.0,1.33313,4
2025-10-28,1.3303,1.3313,1.3267,1.3275,14.0,1.3279,8
2025-10-29,1.3262,1.3264,1.3153,1.3157,48.0,1.32281,30
2025-10-30,1.3194,1.3206,1.3138,1.3144,26.0,1.31719,19
2025-10-31,1.3151,1.3151,1.3104,1.314,17.0,1.31323,11
2025-11-03,1.3142,1.3161,1.312,1.3137,31.0,1.31304,17
2025-11-04,1.312,1.312,1.3013,1.3013,24.0,1.30574,19
2025-11-05,1.3023,1.3051,1.3009,1.3044,41.0,1.30296,23
2025-11-06,1.3065,1.3138,1.3061,1.3129,63.0,1.3099,48
2025-11-07,1.3139,1.3171,1.3101,1.3155,72.0,1.31308,48
2025-11-10,1.3159,1.3189,1.3159,1.3178,30.0,1.31772,28
2025-11-11,1.3162,1.3179,1.3162,1.3166,6.0,1.31683,4
2025-11-12,1.3148,1.3152,1.3085,1.313,26.0,1.31146,19
2025-11-13,1.3126,1.3208,1.3126,1.3191,40.0,1.31867,14
2025-11-14,1.3153,1.3194,1.311,1.3165,123.0,1.31773,22
2025-11-17,1.316,1.3191,1.3146,1.3146,57.0,1.31709,20
2025-11-18,1.3152,1.3173,1.3141,1.3155,34.0,1.31605,14
2025-11-19,1.3131,1.3144,1.3047,1.3047,82.0,1.30963,42
2025-11-20,1.3066,1.3125,1.3051,1.3087,127.0,1.30939,33
2025-11-21,1.3079,1.3104,1.3049,1.3102,52.0,1.3088,29
2025-11-24,1.3088,1.3112,1.3086,1.3108,24.0,1.30915,14
2025-11-25,1.3108,1.3211,1.31,1.3211,86.0,1.31672,30
2025-11-26,1.3166,1.3236,1.3136,1.3234,263.0,1.31825,35
2025-11-28,1.325,1.3262,1.32,1.3234,247.0,1.32455,29
2025-12-01,1.3242,1.3277,1.3208,1.3211,74.0,1.32403,53
2025-12-02,1.3211,1.322,1.318,1.3209,91.0,1.32035,66
2025-12-03,1.3206,1.335,1.3206,1.3349,196.0,1.33092,117
2025-12-04,1.3354,1.338,1.332,1.3339,267.0,1.33483,122
2025-12-05,1.3322,1.336,1.3316,1.3332,250.0,1.33321,84
2025-12-08,1.3332,1.334,1.3301,1.3324,263.0,1.33221,100
2025-12-09,1.3325,1.3355,1.3284,1.33,340.0,1.3316,116
2025-12-10,1.3303,1.339,1.3295,1.3363,394.0,1.33426,150
2025-12-11,1.3384,1.3435,1.3351,1.3387,1222.0,1.33984,359
2025-12-12,1.3389,1.3396,1.3339,1.3363,2547.0,1.33699,1113
2025-12-15,1.3357,1.3398,1.3352,1.337,1785.0,1.33767,1102
2025-12-16,1.3376,1.3461,1.3352,1.3422,4832.0,1.34047,2121
2025-12-17,1.3421,1.3422,1.3309,1.3376,5534.0,1.33609,2223
2025-12-18,1.3372,1.3484,1.334,1.3384,5329.0,1.33931,2279
2025-12-19,1.3388,1.3392,1.3355,1.3389,2323.0,1.3375,1082
2025-12-22,1.3374,1.3476,1.3373,1.3456,2947.0,1.34299,1434
2025-12-23,1.3461,1.3522,1.3461,1.3495,3222.0,1.34939,1689
2025-12-24,1.352,1.3532,1.3493,1.3497,1907.0,1.35121,906
2025-12-26,1.3506,1.3527,1.3477,1.3499,2239.0,1.35005,1225
2025-12-29,1.3494,1.3513,1.3468,1.3505,3685.0,1.34928,2006
2025-12-30,1.3506,1.3528,1.3448,1.3463,3254.0,1.34834,1591
2025-12-31,1.3468,1.3481,1.34,1.3458,4483.0,1.34476,1898
2026-01-02,1.3476,1.35,1.3433,1.3452,3205.0,1.34657,1560
2026-01-05,1.3452,1.3546,1.3412,1.354,4354.0,1.34671,1905
2026-01-06,1.354,1.3565,1.3489,1.3499,3659.0,1.35289,1598
2026-01-07,1.3499,1.3525,1.3454,1.3463,3577.0,1.34844,1685
2026-01-08,1.3459,1.3463,1.3414,1.3429,3108.0,1.34382,1152
2026-01-09,1.3436,1.345,1.3368,1.3406,3690.0,1.34158,1628
2026-01-12,1.3412,1.3485,1.3389,1.3465,2936.0,1.34509,1430
2026-01-13,1.3463,1.3495,1.3421,1.3434,3650.0,1.34583,1389
2026-01-14,1.3422,1.3463,1.3417,1.3429,2891.0,1.3442,1262
2026-01-15,1.3444,1.3444,1.3361,1.3384,3432.0,1.34007,1361
2026-01-16,1.338,1.3411,1.3365,1.338,3532.0,1.33859,1336
2026-01-20,1.3368,1.349,1.3338,1.3427,7162.0,1.34374,3289
2026-01-21,1.3444,1.3459,1.34,1.3425,4434.0,1.34294,1830
2026-01-22,1.3429,1.3506,1.3401,1.349,5415.0,1.34443,2282
2026-01-23,1.35,1.3646,1.3482,1.3623,5713.0,1.35543,2221
2026-01-26,1.3671,1.3713,1.3643,1.3681,5164.0,1.36737,2173
2026-01-27,1.3674,1.3867,1.3664,1.3783,7270.0,1.37733,2913
2026-01-28,1.3849,1.3849,1.375,1.3793,5882.0,1.37863,2410
2026-01-29,1.3804,1.3847,1.3742,1.3794,6759.0,1.37967,2612
2026-01-30,1.3811,1.3814,1.3679,1.3697,6095.0,1.3737,2620
2026-02-02,1.3679,1.3715,1.3623,1.3658,5255.0,1.36729,2198
2026-02-03,1.3664,1.3706,1.365,1.3686,3520.0,1.36821,1700
2026-02-04,1.3695,1.3733,1.3642,1.3662,3945.0,1.36874,1789
2026-02-05,1.3646,1.3654,1.3517,1.3549,6398.0,1.35707,2848
2026-02-06,1.3539,1.3623,1.3509,1.3616,3392.0,1.35803,1470
2026-02-09,1.3624,1.3699,1.3561,1.3696,7851.0,1.36404,3021
2026-02-10,1.3698,1.3699,1.3638,1.3656,4417.0,1.367,1756
2026-02-11,1.3639,1.3712,1.361,1.3632,6247.0,1.36574,2528
2026-02-12,1.3627,1.3671,1.3604,1.3623,4121.0,1.3635,1955
2026-02-13,1.3619,1.3659,1.359,1.3642,3569.0,1.36253,1766
