date,open,high,low,close,volume,average,barCount
2025-12-16,1.337,1.3418,1.337,1.3418,3.0,1.33913,3
2025-12-17,1.3321,1.3385,1.3321,1.3374,2.0,1.3353,2
2025-12-18,1.3363,1.3399,1.3363,1.338,3.0,1.3377,3
2025-12-19,1.3375,1.3385,1.3363,1.3385,3.0,1.33703,3
2025-12-22,1.3376,1.347,1.3376,1.3452,2.0,1.3423,2
2025-12-23,1.3505,1.3505,1.3475,1.3492,3.0,1.3489,3
2025-12-24,1.3508,1.3524,1.349,1.3494,4.0,1.35085,4
2025-12-26,1.3511,1.3511,1.3475,1.3496,24.0,1.34806,6
2025-12-29,1.3499,1.3501,1.3475,1.3501,2.0,1.3487,2
2025-12-30,1.3498,1.351,1.345,1.3459,9.0,1.34756,9
2025-12-31,1.3458,1.346,1.3421,1.3454,24.0,1.34286,5
2026-01-02,1.3467,1.348,1.344,1.3448,8.0,1.34646,8
2026-01-05,1.3438,1.354,1.3422,1.3537,13.0,1.34629,10
2026-01-06,1.3552,1.3552,1.3486,1.3496,7.0,1.35144,7
2026-01-07,1.3508,1.3508,1.3453,1.3461,4.0,1.3486,4
2026-01-08,1.3457,1.3457,1.3415,1.3427,7.0,1.34397,6
2026-01-09,1.3403,1.3405,1.34,1.3405,4.0,1.3401,3
2026-01-12,1.3389,1.3465,1.3389,1.3465,12.0,1.34477,7
2026-01-13,1.347,1.3472,1.3428,1.3434,20.0,1.34396,13
2026-01-14,1.342,1.3457,1.342,1.3429,3.0,1.3434,3
2026-01-15,1.3408,1.3408,1.3364,1.3384,10.0,1.33884,8
2026-01-16,1.3397,1.3397,1.3366,1.3379,41.0,1.33962,2
2026-01-20,1.336,1.3475,1.336,1.3427,30.0,1.34208,19
2026-01-21,1.3446,1.3458,1.3415,1.3425,33.0,1.34422,17
2026-01-22,1.343,1.3498,1.343,1.349,20.0,1.34866,16
2026-01-23,1.3499,1.3646,1.3499,1.3622,27.0,1.35972,20
2026-01-26,1.366,1.3707,1.3643,1.368,69.0,1.36764,45
2026-01-27,1.367,1.3853,1.3668,1.3782,67.0,1.37816,34
2026-01-28,1.3842,1.3842,1.3747,1.3792,40.0,1.37888,29
2026-01-29,1.3818,1.3845,1.3759,1.3793,41.0,1.38039,34
2026-01-30,1.3762,1.3771,1.3686,1.3696,55.0,1.37369,20
2026-02-02,1.3669,1.371,1.3625,1.3658,19.0,1.36765,15
2026-02-03,1.368,1.3705,1.3651,1.3686,18.0,1.36781,18
2026-02-04,1.3695,1.3728,1.3644,1.3662,36.0,1.36715,17
2026-02-05,1.3652,1.3652,1.3519,1.355,177.0,1.35606,49
2026-02-06,1.3534,1.3618,1.3534,1.3618,26.0,1.35713,18
2026-02-09,1.3614,1.37,1.3591,1.3698,46.0,1.36382,17
2026-02-10,1.3685,1.3694,1.3632,1.3658,54.0,1.36713,12
2026-02-11,1.3636,1.3698,1.363,1.3635,29.0,1.3652,22
2026-02-12,1.3637,1.3674,1.3606,1.3626,14.0,1.36372,12
2026-02-13,1.3604,1.3645,1.3603,1.3645,12.0,1.36288,8
2026-02-17,1.3645,1.366,1.3503,1.3565,37.0,1.35963,26
2026-02-18,1.357,1.3581,1.3498,1.3503,19.0,1.35401,12
2026-02-19,1.349,1.3501,1.3444,1.3454,63.0,1.34827,11
2026-02-20,1.3444,1.3522,1.3442,1.349,54.0,1.34762,23
2026-02-23,1.352,1.3531,1.3493,1.3493,67.0,1.35108,28
2026-02-24,1.3494,1.3543,1.3483,1.3506,29.0,1.35082,18
2026-02-25,1.35,1.357,1.35,1.3556,44.0,1.35361,26
2026-02-26,1.3559,1.3565,1.3464,1.3492,112.0,1.35096,23
2026-02-27,1.3492,1.35,1.3449,1.3485,27.0,1.3476,22
2026-03-02,1.344,1.3455,1.3333,1.3431,344.0,1.33868,90
2026-03-03,1.3405,1.3431,1.326,1.3357,243.0,1.33659,68
2026-03-04,1.3358,1.3403,1.331,1.3376,178.0,1.33635,59
2026-03-05,1.3382,1.3385,1.3298,1.332,276.0,1.33389,180
2026-03-06,1.3356,1.3423,1.3315,1.3387,274.0,1.33735,136
2026-03-09,1.3346,1.3448,1.3283,1.3383,571.0,1.33678,316
2026-03-10,1.3438,1.348,1.341,1.3429,590.0,1.34454,288
2026-03-11,1.3417,1.3457,1.3393,1.3414,534.0,1.34228,286
2026-03-12,1.3402,1.341,1.3336,1.3341,839.0,1.3369,494
2026-03-13,1.3352,1.3368,1.3217,1.3241,3868.0,1.327,1884
2026-03-16,1.3225,1.3339,1.3224,1.3331,3349.0,1.32827,1690
2026-03-17,1.3328,1.3364,1.3273,1.3356,3049.0,1.33314,1349
2026-03-18,1.3362,1.3374,1.3252,1.329,3624.0,1.33308,1703
2026-03-19,1.3261,1.3464,1.3246,1.3415,7054.0,1.33445,3044
2026-03-20,1.3431,1.344,1.3297,1.3323,4891.0,1.33611,2199
2026-03-23,1.3316,1.3476,1.3255,1.3451,16323.0,1.33817,6612
2026-03-24,1.3425,1.3442,1.335,1.338,7558.0,1.3394,2741
2026-03-25,1.3417,1.3432,1.3355,1.3362,5141.0,1.33912,1972
2026-03-26,1.336,1.3375,1.3307,1.3325,4440.0,1.33434,1723
