date,open,high,low,close,volume,average,barCount
2026-03-17,1.3351,1.3351,1.3351,1.3351,0.0,1.3351,0
2026-03-18,1.3346,1.3346,1.3284,1.3284,950.0,1.33415,43
2026-03-19,1.3275,1.34,1.3275,1.34,2.0,1.32775,2
2026-03-20,1.3305,1.3325,1.3305,1.3307,2.0,1.3315,2
2026-03-23,1.3296,1.3462,1.3296,1.3437,145.0,1.33929,14
2026-03-24,1.3388,1.3406,1.3348,1.3365,10.0,1.33837,10
2026-03-25,1.3393,1.3415,1.3343,1.3349,22.0,1.338,21
2026-03-26,1.3349,1.3349,1.3308,1.3311,6.0,1.333,6
2026-03-27,1.332,1.332,1.3245,1.3253,12.0,1.32788,10
2026-03-30,1.3241,1.326,1.3168,1.3168,7.0,1.32116,5
2026-03-31,1.318,1.3244,1.3161,1.3213,148.0,1.31696,18
2026-04-01,1.3211,1.332,1.3211,1.3288,48.0,1.32861,9
2026-04-02,1.3258,1.3258,1.3175,1.3209,25.0,1.32121,15
2026-04-03,1.3189,1.3189,1.3189,1.3189,0.0,1.3189,0
2026-04-06,1.3175,1.3238,1.3175,1.3224,5.0,1.32166,4
2026-04-07,1.325,1.325,1.323,1.3243,5.0,1.32396,5
2026-04-08,1.3376,1.347,1.3376,1.3376,49.0,1.34563,9
2026-04-09,1.3373,1.3442,1.3373,1.3423,8.0,1.3397,6
2026-04-10,1.3441,1.3461,1.3441,1.3458,9.0,1.34557,5
2026-04-13,1.34,1.3497,1.3386,1.3497,14.0,1.34501,13
2026-04-14,1.35,1.3579,1.35,1.3555,13.0,1.35549,13
2026-04-15,1.3565,1.3565,1.3565,1.3565,0.0,1.3565,0
2026-04-16,1.3584,1.3584,1.3522,1.3523,11.0,1.35373,9
2026-04-17,1.3535,1.3591,1.3515,1.3528,114.0,1.35224,16
2026-04-20,1.35,1.3535,1.3475,1.3525,11.0,1.34948,11
2026-04-21,1.3517,1.3517,1.3472,1.3493,6.0,1.34897,5
2026-04-22,1.3509,1.3512,1.3491,1.3494,7.0,1.34999,7
2026-04-23,1.348,1.348,1.345,1.3461,10.0,1.3461,7
2026-04-24,1.3454,1.3517,1.3444,1.3516,11.0,1.34875,9
2026-04-27,1.3545,1.3559,1.3521,1.3521,8.0,1.3548,6
2026-04-28,1.3472,1.3506,1.3452,1.3505,10.0,1.34732,7
2026-04-29,1.3466,1.3466,1.345,1.3458,5.0,1.34588,4
2026-04-30,1.3453,1.3591,1.3453,1.3591,13.0,1.35132,10
2026-05-01,1.3607,1.3643,1.3565,1.3572,47.0,1.36093,8
2026-05-04,1.3583,1.3583,1.352,1.3525,12.0,1.35364,7
2026-05-05,1.3516,1.356,1.3511,1.3538,16.0,1.35298,16
2026-05-06,1.356,1.3636,1.356,1.3585,34.0,1.36123,14
2026-05-07,1.361,1.3611,1.354,1.3571,18.0,1.35677,11
2026-05-08,1.3555,1.362,1.3555,1.3614,6.0,1.36045,5
2026-05-11,1.3587,1.364,1.3583,1.362,211.0,1.36151,13
2026-05-12,1.3594,1.3594,1.3492,1.3523,33.0,1.35338,25
2026-05-13,1.3527,1.3527,1.3483,1.3509,205.0,1.34838,7
