date,open,high,low,close,volume,average,barCount
2026-06-16,1.3421,1.3421,1.3421,1.3421,0.0,1.3421,0
2026-06-17,1.3428,1.3428,1.3272,1.3333,33.0,1.33807,6
2026-06-18,1.3308,1.3314,1.3196,1.3204,14.0,1.32429,13
2026-06-22,1.3203,1.3262,1.3188,1.3244,50.0,1.3229,45
2026-06-23,1.325,1.325,1.319,1.319,18.0,1.32229,18
2026-06-24,1.3192,1.3206,1.3145,1.3163,87.0,1.3184,43
2026-06-25,1.3167,1.3211,1.3161,1.3199,12.0,1.31859,12
2026-06-26,1.3199,1.323,1.3199,1.32,28.0,1.32145,19
2026-06-29,1.3205,1.3258,1.32,1.3258,13.0,1.32284,12
2026-06-30,1.325,1.327,1.322,1.3257,20.0,1.3247,15
2026-07-01,1.326,1.3284,1.3233,1.3282,25.0,1.32648,12
2026-07-02,1.3282,1.3372,1.3282,1.335,73.0,1.33251,19
2026-07-06,1.335,1.3397,1.3339,1.3397,27.0,1.33636,18
2026-07-07,1.3405,1.3405,1.3366,1.3366,14.0,1.33975,5
2026-07-08,1.335,1.341,1.334,1.34,9.0,1.33623,7
2026-07-09,1.3405,1.3415,1.3388,1.3415,10.0,1.33997,9
2026-07-10,1.3444,1.345,1.34,1.34,20.0,1.34216,19
2026-07-13,1.3377,1.3396,1.3359,1.3359,20.0,1.33777,20
2026-07-14,1.34,1.3415,1.3379,1.3379,56.0,1.34047,6
2026-07-15,1.338,1.3545,1.338,1.3533,35.0,1.35229,9
2026-07-16,1.3533,1.3533,1.346,1.3468,29.0,1.35093,5
2026-07-17,1.3468,1.347,1.343,1.3451,18.0,1.34563,12
2026-07-20,1.3465,1.3472,1.3433,1.3433,17.0,1.34526,10
2026-07-21,1.3435,1.3452,1.3366,1.338,8.0,1.34262,7
2026-07-22,1.338,1.338,1.336,1.3375,5.0,1.33716,5
2026-07-23,1.3375,1.3375,1.3316,1.3316,5.0,1.33418,5
2026-07-24,1.3316,1.3345,1.3315,1.3326,7.0,1.3327,7
2026-07-27,1.335,1.3362,1.3289,1.329,28.0,1.33325,23
2026-07-28,1.3301,1.3308,1.3281,1.3291,31.0,1.32947,12
2026-07-29,1.3286,1.3369,1.3286,1.3364,19.0,1.3327,11
2026-07-30,1.3364,1.3475,1.3336,1.3475,80.0,1.34116,52
2026-07-31,1.3461,1.349,1.3405,1.3483,63.0,1.34581,34
2026-08-03,1.3482,1.349,1.3427,1.3431,31.0,1.3452,11
2026-08-04,1.3431,1.3452,1.3423,1.3452,29.0,1.34341,15
2026-08-05,1.3449,1.3482,1.3449,1.347,48.0,1.34659,25
2026-08-06,1.3478,1.3478,1.3453,1.3458,27.0,1.34605,12
2026-08-07,1.3456,1.3499,1.345,1.3499,44.0,1.34633,11
2026-08-10,1.3494,1.353,1.3486,1.3509,22.0,1.35076,11
2026-08-11,1.3509,1.3515,1.3495,1.3503,35.0,1.35043,22
2026-08-12,1.3505,1.3537,1.3488,1.3488,26.0,1.35173,18
2026-08-13,1.3492,1.3504,1.3483,1.3483,14.0,1.34929,6
2026-08-14,1.3524,1.3556,1.3524,1.3556,19.0,1.35377,12
