date,open,high,low,close,volume,average,barCount
2025-09-16,1.1883,1.1992,1.1871,1.1983,2966.0,1.19302,865
2025-09-17,1.1981,1.2032,1.1923,1.1949,1862.0,1.1979,685
2025-09-18,1.1931,1.196,1.1863,1.19,1143.0,1.19224,517
2025-09-19,1.1897,1.1905,1.1841,1.186,891.0,1.18724,363
2025-09-22,1.185,1.1915,1.1836,1.1908,887.0,1.18693,334
2025-09-23,1.1914,1.1931,1.189,1.1922,807.0,1.19114,328
2025-09-24,1.193,1.193,1.1839,1.1847,555.0,1.18689,268
2025-09-25,1.1852,1.186,1.1755,1.1761,1814.0,1.18034,609
2025-09-26,1.1775,1.1812,1.1767,1.1812,1040.0,1.17835,412
2025-09-29,1.1813,1.1861,1.1812,1.1839,928.0,1.18362,362
2025-09-30,1.1833,1.1866,1.182,1.1846,948.0,1.18407,399
2025-10-01,1.184,1.1883,1.182,1.1838,1689.0,1.18537,672
2025-10-02,1.1836,1.1859,1.1785,1.1823,805.0,1.18258,298
2025-10-03,1.182,1.1858,1.1816,1.1841,767.0,1.18368,255
2025-10-06,1.1835,1.1836,1.1752,1.1814,2757.0,1.17779,843
2025-10-07,1.1811,1.1814,1.1747,1.1757,3300.0,1.1767,967
2025-10-08,1.1757,1.1757,1.1696,1.1718,6075.0,1.17251,1065
2025-10-09,1.1726,1.1741,1.1639,1.1641,7386.0,1.16875,1183
2025-10-10,1.1659,1.1723,1.1651,1.1703,967.0,1.16716,324
2025-10-13,1.1695,1.1722,1.165,1.1661,1591.0,1.16725,493
2025-10-14,1.1657,1.1707,1.1636,1.1698,3170.0,1.16542,765
2025-10-15,1.1699,1.1739,1.1695,1.1726,622.0,1.17186,250
2025-10-16,1.1738,1.1785,1.1734,1.1779,966.0,1.17569,380
2025-10-17,1.1778,1.1816,1.1741,1.1758,1010.0,1.17822,447
2025-10-20,1.1743,1.1762,1.1728,1.1736,395.0,1.17426,155
2025-10-21,1.1729,1.1743,1.1685,1.1694,801.0,1.17072,329
2025-10-22,1.1689,1.1709,1.1665,1.1697,553.0,1.16858,227
2025-10-23,1.1692,1.1705,1.1671,1.1703,293.0,1.16882,157
2025-10-24,1.1701,1.1738,1.1687,1.171,357.0,1.17148,175
2025-10-27,1.1712,1.1736,1.1702,1.1735,359.0,1.17219,141
2025-10-28,1.173,1.1754,1.171,1.1746,529.0,1.17391,239
2025-10-29,1.1737,1.1747,1.1664,1.168,1183.0,1.17106,418
2025-10-30,1.1686,1.1721,1.1631,1.1651,3569.0,1.16673,864
2025-10-31,1.165,1.166,1.1605,1.1607,4770.0,1.16278,958
2025-11-03,1.1617,1.1622,1.1588,1.1601,2425.0,1.16033,658
2025-11-04,1.1604,1.1613,1.1554,1.156,3348.0,1.15765,882
2025-11-05,1.1565,1.1577,1.1548,1.1566,1092.0,1.15604,445
2025-11-06,1.1574,1.1629,1.1571,1.1622,1269.0,1.16103,465
2025-11-07,1.1626,1.1667,1.1606,1.1636,1282.0,1.16376,481
2025-11-10,1.1635,1.1659,1.1618,1.1639,975.0,1.16373,369
2025-11-11,1.1634,1.1682,1.1625,1.1661,1240.0,1.16529,410
2025-11-12,1.166,1.1673,1.1639,1.1663,778.0,1.16548,293
2025-11-13,1.1668,1.1732,1.1656,1.1713,1562.0,1.16984,547
2025-11-14,1.1709,1.1728,1.1682,1.1694,1149.0,1.17087,391
2025-11-17,1.1698,1.1699,1.1657,1.1659,657.0,1.1676,325
2025-11-18,1.1667,1.1682,1.1646,1.166,738.0,1.16654,295
2025-11-19,1.1653,1.167,1.1592,1.1595,1475.0,1.16316,552
2025-11-20,1.1612,1.1622,1.1576,1.161,2649.0,1.15922,784
2025-11-21,1.1598,1.1623,1.1561,1.1583,3919.0,1.15842,1045
2025-11-24,1.1581,1.1619,1.1571,1.1596,1438.0,1.15891,519
2025-11-25,1.1589,1.1652,1.158,1.165,1633.0,1.16251,673
2025-11-26,1.1636,1.1667,1.1613,1.1661,2564.0,1.16452,808
2025-11-28,1.1661,1.1677,1.163,1.1665,1814.0,1.16583,677
2025-12-01,1.1665,1.1714,1.1652,1.1672,2331.0,1.16829,1024
2025-12-02,1.1672,1.1687,1.1653,1.1682,1657.0,1.16712,704
2025-12-03,1.1686,1.1738,1.1685,1.1734,1991.0,1.17193,867
2025-12-04,1.1728,1.174,1.1699,1.1712,2489.0,1.17259,870
2025-12-05,1.1702,1.1729,1.1686,1.1701,1990.0,1.17081,802
2025-12-08,1.1698,1.1729,1.1674,1.1698,2779.0,1.16999,1412
2025-12-09,1.1694,1.1714,1.1673,1.1685,2876.0,1.16938,1450
2025-12-10,1.1684,1.1756,1.1678,1.1735,5974.0,1.17101,2846
2025-12-11,1.1752,1.1818,1.1736,1.1796,9786.0,1.17779,4118
2025-12-12,1.1792,1.1803,1.1774,1.1794,18012.0,1.17898,6225
2025-12-15,1.1795,1.1822,1.178,1.1803,14414.0,1.18008,5544
2025-12-16,1.1805,1.1857,1.1786,1.181,25463.0,1.18194,8637
2025-12-17,1.1808,1.1809,1.1754,1.1796,21044.0,1.17825,6737
2025-12-18,1.1794,1.1812,1.1762,1.1775,23669.0,1.17835,8530
2025-12-19,1.1776,1.1787,1.1751,1.1773,16164.0,1.17664,5765
2025-12-22,1.1767,1.1817,1.1755,1.1803,14296.0,1.17885,5255
2025-12-23,1.1809,1.1848,1.1807,1.1836,16327.0,1.18261,6072
2025-12-24,1.1841,1.1853,1.1818,1.1822,11175.0,1.18354,4145
2025-12-26,1.1827,1.1842,1.1806,1.1821,11819.0,1.18237,4476
2025-12-29,1.1819,1.1834,1.1793,1.1812,17789.0,1.18142,6653
2025-12-30,1.1815,1.1822,1.1785,1.1788,12504.0,1.1805,4696
2025-12-31,1.1788,1.1799,1.1759,1.178,15221.0,1.17786,5069
2026-01-02,1.1783,1.1805,1.1752,1.1763,19306.0,1.17723,7361
2026-01-05,1.1754,1.1768,1.1697,1.1766,26896.0,1.17316,10249
2026-01-06,1.1755,1.1781,1.1722,1.1728,22106.0,1.17454,8881
2026-01-07,1.1727,1.1739,1.171,1.172,17445.0,1.17252,5940
2026-01-08,1.1712,1.1719,1.1678,1.1685,15436.0,1.17006,5476
2026-01-09,1.1691,1.1698,1.1651,1.167,20910.0,1.16766,7586
2026-01-12,1.1667,1.1733,1.1656,1.1706,19890.0,1.17057,7521
2026-01-13,1.1702,1.1712,1.1669,1.1683,16678.0,1.16913,6119
2026-01-14,1.168,1.1696,1.1669,1.167,13975.0,1.1682,5086
2026-01-15,1.1677,1.1679,1.1624,1.1644,17189.0,1.1651,6134
2026-01-16,1.1639,1.1659,1.1616,1.1627,15400.0,1.16379,6073
2026-01-20,1.161,1.18,1.1607,1.1743,51572.0,1.17168,17845
2026-01-21,1.1755,1.1774,1.1706,1.1721,27694.0,1.17416,9915
2026-01-22,1.1713,1.1784,1.1699,1.1773,20957.0,1.17443,7368
2026-01-23,1.1785,1.1861,1.1757,1.184,25702.0,1.17987,8512
2026-01-26,1.1901,1.1934,1.1863,1.1907,30360.0,1.18955,11456
2026-01-27,1.1911,1.211,1.1878,1.2005,62297.0,1.1998,22061
2026-01-28,1.2079,1.2079,1.1922,1.1966,63076.0,1.19877,22942
2026-01-29,1.1981,1.2022,1.193,1.1977,46470.0,1.19786,16345
2026-01-30,1.1999,1.1999,1.1874,1.1893,52288.0,1.19311,18618
2026-02-02,1.1875,1.1899,1.1799,1.1812,42035.0,1.18499,18329
2026-02-03,1.1818,1.1853,1.1803,1.1836,24349.0,1.18286,9388
2026-02-04,1.1849,1.1861,1.1812,1.1831,21925.0,1.1834,8107
2026-02-05,1.1826,1.1843,1.1795,1.1815,25981.0,1.18177,9576
2026-02-06,1.1799,1.1847,1.1786,1.184,18999.0,1.18224,6450
2026-02-09,1.184,1.1947,1.1828,1.194,27675.0,1.19013,9376
2026-02-10,1.1935,1.1948,1.1906,1.1921,23787.0,1.1925,8312
2026-02-11,1.1912,1.1946,1.1851,1.1898,31012.0,1.18998,11395
2026-02-12,1.1893,1.1906,1.1868,1.1886,22918.0,1.18895,8060
2026-02-13,1.1884,1.1904,1.1863,1.1883,25730.0,1.18816,7600
