date,open,high,low,close,volume,average,barCount
2025-12-16,1.1855,1.1902,1.1833,1.1857,2276.0,1.18658,564
2025-12-17,1.1848,1.1856,1.1802,1.1843,910.0,1.18353,345
2025-12-18,1.1836,1.1857,1.1808,1.1821,884.0,1.18339,353
2025-12-19,1.1823,1.1832,1.1797,1.1819,440.0,1.18119,183
2025-12-22,1.1811,1.1864,1.1802,1.1849,540.0,1.18409,187
2025-12-23,1.1855,1.1894,1.1855,1.1884,1226.0,1.18722,363
2025-12-24,1.1889,1.19,1.1866,1.1869,1488.0,1.18891,308
2025-12-26,1.1871,1.1888,1.1855,1.1868,540.0,1.18762,231
2025-12-29,1.187,1.188,1.1841,1.1859,1266.0,1.18629,403
2025-12-30,1.1861,1.1868,1.1833,1.1836,1133.0,1.18564,297
2025-12-31,1.1836,1.1845,1.1806,1.1827,1482.0,1.18294,430
2026-01-02,1.1834,1.1851,1.1799,1.1809,913.0,1.18296,318
2026-01-05,1.1795,1.1813,1.1744,1.1812,1648.0,1.17707,558
2026-01-06,1.1803,1.1825,1.1768,1.1775,353.0,1.1799,210
2026-01-07,1.1774,1.1786,1.1758,1.1766,443.0,1.17697,195
2026-01-08,1.1766,1.1766,1.1726,1.1733,1009.0,1.17548,275
2026-01-09,1.1736,1.1743,1.1703,1.1718,769.0,1.1728,321
2026-01-12,1.1718,1.1781,1.1705,1.1755,1741.0,1.17474,557
2026-01-13,1.1748,1.1759,1.1717,1.1732,1971.0,1.17427,446
2026-01-14,1.1733,1.1744,1.1718,1.1718,1043.0,1.17263,224
2026-01-15,1.1725,1.1726,1.1673,1.1693,2065.0,1.17006,747
2026-01-16,1.1687,1.1706,1.1665,1.1676,1173.0,1.16849,309
2026-01-20,1.1673,1.185,1.1671,1.1792,4413.0,1.17612,1426
2026-01-21,1.1808,1.1823,1.1756,1.1771,1116.0,1.17988,408
2026-01-22,1.1764,1.1834,1.1748,1.1822,1189.0,1.17887,438
2026-01-23,1.1836,1.191,1.1807,1.1889,1741.0,1.18492,589
2026-01-26,1.1914,1.1984,1.1913,1.1957,3201.0,1.19437,919
2026-01-27,1.2,1.2159,1.1929,1.2056,10428.0,1.20242,2427
2026-01-28,1.2129,1.2129,1.1975,1.2017,6361.0,1.20592,1991
2026-01-29,1.203,1.2072,1.1983,1.2027,2352.0,1.20469,777
2026-01-30,1.2047,1.2051,1.1925,1.1943,2317.0,1.19885,977
2026-02-02,1.1914,1.1948,1.1849,1.1862,2632.0,1.18981,979
2026-02-03,1.186,1.1902,1.1854,1.1886,1096.0,1.18766,570
2026-02-04,1.1891,1.191,1.1862,1.1881,990.0,1.18878,395
2026-02-05,1.1877,1.1894,1.1844,1.1864,1167.0,1.18575,388
2026-02-06,1.1854,1.1895,1.1835,1.1889,1560.0,1.186,487
2026-02-09,1.1914,1.1995,1.1881,1.1989,2184.0,1.1949,710
2026-02-10,1.1984,1.1996,1.1955,1.197,1322.0,1.19767,441
2026-02-11,1.1959,1.1994,1.1902,1.1948,1348.0,1.19578,551
2026-02-12,1.194,1.1957,1.192,1.1937,1306.0,1.19379,447
2026-02-13,1.1936,1.195,1.1914,1.1934,1048.0,1.19307,396
2026-02-17,1.1932,1.1936,1.187,1.1914,2997.0,1.19103,882
2026-02-18,1.192,1.1922,1.1846,1.1852,1261.0,1.18811,465
2026-02-19,1.1854,1.187,1.1806,1.1827,2438.0,1.18369,922
2026-02-20,1.1837,1.1874,1.1805,1.1844,2836.0,1.18295,1524
2026-02-23,1.1832,1.1898,1.1832,1.1854,1602.0,1.18717,699
2026-02-24,1.1853,1.1859,1.1828,1.1841,951.0,1.18384,393
2026-02-25,1.1833,1.1875,1.1833,1.1868,1339.0,1.18547,815
2026-02-26,1.1868,1.1888,1.1834,1.1857,2046.0,1.18665,928
2026-02-27,1.1857,1.1886,1.1849,1.1879,3382.0,1.18637,894
2026-03-02,1.1835,1.1855,1.1731,1.1771,6976.0,1.17845,3258
2026-03-03,1.1743,1.1766,1.1588,1.1671,6160.0,1.16827,3556
2026-03-04,1.1675,1.1711,1.1634,1.1697,3285.0,1.16748,1482
2026-03-05,1.1693,1.1702,1.1614,1.1627,5991.0,1.16544,3035
2026-03-06,1.1661,1.1676,1.1601,1.1656,6164.0,1.16353,3058
2026-03-09,1.161,1.1692,1.1561,1.1631,8865.0,1.16108,4764
2026-03-10,1.1689,1.1721,1.1659,1.1678,6017.0,1.16889,3307
2026-03-11,1.1665,1.1698,1.1614,1.1624,5924.0,1.16495,3123
2026-03-12,1.162,1.1625,1.1562,1.1563,9562.0,1.15869,4611
2026-03-13,1.1561,1.1581,1.146,1.1486,29745.0,1.15169,9784
2026-03-16,1.1464,1.1575,1.1452,1.1568,28102.0,1.15224,9193
2026-03-17,1.1555,1.1596,1.1516,1.1589,24423.0,1.15656,7460
2026-03-18,1.1588,1.1605,1.1498,1.1527,29581.0,1.15653,9430
2026-03-19,1.1511,1.1665,1.1491,1.1629,42740.0,1.15554,14226
2026-03-20,1.1634,1.1642,1.1571,1.1597,28328.0,1.16051,9392
2026-03-23,1.1597,1.1687,1.1531,1.1682,63150.0,1.16235,24137
2026-03-24,1.1659,1.1674,1.1602,1.1626,28849.0,1.16343,10255
2026-03-25,1.1657,1.1676,1.16,1.1611,29816.0,1.16339,9288
2026-03-26,1.16,1.1615,1.1562,1.1576,25896.0,1.15876,7876
2026-03-27,1.1573,1.159,1.1544,1.1557,22512.0,1.15663,6998
2026-03-30,1.1545,1.1564,1.1484,1.1503,21897.0,1.15227,7247
2026-03-31,1.1505,1.1605,1.1488,1.1585,33844.0,1.15517,10133
2026-04-01,1.1595,1.1665,1.159,1.1617,34865.0,1.16346,12064
2026-04-02,1.1628,1.1644,1.1546,1.1575,29386.0,1.15818,11627
2026-04-03,1.1576,1.1586,1.1555,1.1559,5166.0,1.15732,1945
2026-04-06,1.1565,1.161,1.1543,1.1583,17881.0,1.15801,5664
2026-04-07,1.1578,1.1642,1.1561,1.1611,19902.0,1.16024,6724
2026-04-08,1.1633,1.1759,1.1621,1.1687,41868.0,1.17141,12980
2026-04-09,1.1699,1.1759,1.1686,1.1736,21109.0,1.17231,6394
2026-04-10,1.174,1.1776,1.1712,1.1766,19676.0,1.17486,6270
2026-04-13,1.1715,1.1801,1.1699,1.18,23949.0,1.17435,7371
2026-04-14,1.1795,1.1846,1.1791,1.1827,20003.0,1.18226,6414
2026-04-15,1.1829,1.1842,1.1806,1.1835,16647.0,1.18249,5757
2026-04-16,1.1833,1.1856,1.1798,1.1812,15944.0,1.18198,5311
2026-04-17,1.1816,1.1882,1.1793,1.1813,22388.0,1.18386,7313
2026-04-20,1.1771,1.1821,1.1759,1.1811,16715.0,1.17964,6181
2026-04-21,1.1817,1.1824,1.1749,1.1771,24056.0,1.17842,8118
2026-04-22,1.1771,1.1792,1.1732,1.1739,15822.0,1.17633,5773
2026-04-23,1.1735,1.1744,1.1695,1.1718,22230.0,1.17225,7827
2026-04-24,1.1716,1.1751,1.1701,1.1745,17440.0,1.17317,6089
2026-04-27,1.1742,1.1782,1.1731,1.1747,16233.0,1.17601,5062
2026-04-28,1.1747,1.1754,1.1704,1.1738,17285.0,1.17278,5962
2026-04-29,1.174,1.1745,1.1685,1.1696,17758.0,1.17146,6115
2026-04-30,1.17,1.1767,1.1679,1.176,26223.0,1.17254,9086
2026-05-01,1.1758,1.1808,1.1738,1.1752,20830.0,1.17703,8059
2026-05-04,1.1763,1.1769,1.1704,1.172,23144.0,1.17309,9088
2026-05-05,1.1715,1.1736,1.1699,1.1722,13563.0,1.17168,4537
2026-05-06,1.1716,1.1819,1.1713,1.1772,24722.0,1.17718,8653
2026-05-07,1.1772,1.1799,1.1742,1.1771,18477.0,1.17781,5935
2026-05-08,1.1746,1.1809,1.1741,1.1799,16062.0,1.1782,5391
2026-05-11,1.1794,1.1808,1.1767,1.1795,18756.0,1.17914,5023
