date,open,high,low,close,volume,average,barCount
2026-03-17,1.159,1.164,1.1566,1.1632,406.0,1.16039,206
2026-03-18,1.1636,1.1647,1.1542,1.157,765.0,1.16157,350
2026-03-19,1.1555,1.1703,1.1533,1.1671,724.0,1.15918,400
2026-03-20,1.1669,1.1682,1.1613,1.1636,1014.0,1.16511,440
2026-03-23,1.1643,1.1727,1.157,1.1723,1704.0,1.16584,870
2026-03-24,1.1695,1.1711,1.1642,1.1665,1345.0,1.16778,464
2026-03-25,1.1699,1.1715,1.1641,1.1651,863.0,1.16846,331
2026-03-26,1.164,1.1654,1.1601,1.1615,1034.0,1.16306,348
2026-03-27,1.1615,1.1628,1.1585,1.1597,602.0,1.1607,262
2026-03-30,1.1575,1.1601,1.1524,1.1542,869.0,1.15654,380
2026-03-31,1.1543,1.1642,1.1528,1.1624,1175.0,1.15795,493
2026-04-01,1.1637,1.1704,1.1633,1.1657,1373.0,1.16674,536
2026-04-02,1.167,1.168,1.1586,1.1614,1152.0,1.16192,414
2026-04-03,1.1615,1.1624,1.1595,1.1597,229.0,1.16123,62
2026-04-06,1.1597,1.1648,1.1583,1.1623,735.0,1.1616,218
2026-04-07,1.1623,1.1679,1.1601,1.1649,484.0,1.16356,237
2026-04-08,1.1685,1.18,1.1661,1.1729,1137.0,1.17467,659
2026-04-09,1.1744,1.18,1.1729,1.1777,672.0,1.17549,286
2026-04-10,1.177,1.1815,1.1755,1.1807,914.0,1.17878,294
2026-04-13,1.176,1.1842,1.1742,1.1841,1026.0,1.17757,409
2026-04-14,1.1833,1.1887,1.1832,1.1871,1176.0,1.18618,312
2026-04-15,1.191,1.191,1.1846,1.1878,670.0,1.18638,206
2026-04-16,1.1878,1.1899,1.1843,1.1855,860.0,1.18666,280
2026-04-17,1.186,1.1927,1.1838,1.1857,1152.0,1.18888,386
2026-04-20,1.1825,1.1865,1.1809,1.1855,574.0,1.18378,248
2026-04-21,1.1863,1.1865,1.1792,1.1813,475.0,1.18303,243
2026-04-22,1.1811,1.1835,1.1775,1.1781,557.0,1.18124,226
2026-04-23,1.1778,1.1787,1.174,1.176,911.0,1.17642,350
2026-04-24,1.1757,1.1792,1.1744,1.1788,654.0,1.17628,335
2026-04-27,1.178,1.1825,1.1774,1.179,459.0,1.18054,224
2026-04-28,1.179,1.1797,1.1745,1.1779,728.0,1.17647,314
2026-04-29,1.1781,1.1783,1.1725,1.1735,654.0,1.17505,254
2026-04-30,1.1734,1.1806,1.1718,1.1802,1050.0,1.17508,441
2026-05-01,1.1796,1.185,1.1782,1.1793,979.0,1.18132,339
2026-05-04,1.1799,1.1802,1.1747,1.176,496.0,1.1779,243
2026-05-05,1.1756,1.1775,1.174,1.1763,407.0,1.17536,183
2026-05-06,1.1759,1.1861,1.1759,1.1814,1055.0,1.18193,470
2026-05-07,1.1814,1.184,1.1785,1.1813,726.0,1.18204,266
2026-05-08,1.179,1.185,1.1786,1.1841,930.0,1.18212,309
2026-05-11,1.1824,1.1849,1.181,1.1837,528.0,1.18301,220
2026-05-12,1.1848,1.1848,1.1782,1.1802,1291.0,1.18091,425
2026-05-13,1.1798,1.1801,1.1755,1.1768,686.0,1.1775,235
2026-05-14,1.1779,1.178,1.1725,1.1736,929.0,1.17526,325
2026-05-15,1.1729,1.1729,1.1674,1.1679,2395.0,1.16965,1033
2026-05-18,1.1681,1.1717,1.1666,1.1686,1034.0,1.16934,708
2026-05-19,1.1715,1.1718,1.1649,1.1661,846.0,1.16709,360
2026-05-20,1.1664,1.1701,1.1639,1.1688,1745.0,1.16612,983
2026-05-21,1.1683,1.169,1.1633,1.1666,1724.0,1.16611,1014
2026-05-22,1.1665,1.1675,1.1645,1.1667,1083.0,1.16596,634
2026-05-26,1.168,1.1707,1.1672,1.1683,1223.0,1.16939,654
2026-05-27,1.1686,1.1715,1.1676,1.1683,1188.0,1.16955,709
2026-05-28,1.169,1.1713,1.1638,1.17,1503.0,1.1677,887
2026-05-29,1.1703,1.1737,1.1677,1.1716,2584.0,1.17092,1033
2026-06-01,1.1708,1.1715,1.1657,1.1681,1377.0,1.16867,793
2026-06-02,1.1683,1.1706,1.1663,1.1678,807.0,1.16881,493
2026-06-03,1.1679,1.1681,1.1643,1.1646,1435.0,1.16587,800
2026-06-04,1.1642,1.1693,1.1642,1.1662,1275.0,1.16683,753
2026-06-05,1.1659,1.1691,1.1564,1.157,3180.0,1.16211,1497
2026-06-08,1.1568,1.1601,1.1546,1.1574,4195.0,1.15752,1830
2026-06-09,1.1578,1.1623,1.1572,1.1595,4482.0,1.15965,2016
2026-06-10,1.1585,1.1617,1.1578,1.1593,3660.0,1.15941,1955
2026-06-11,1.1579,1.1633,1.1546,1.1602,11416.0,1.15845,4898
2026-06-12,1.1618,1.1632,1.16,1.1618,22203.0,1.16156,5786
2026-06-15,1.165,1.1664,1.1627,1.1637,17409.0,1.16488,5157
2026-06-16,1.1638,1.1661,1.1616,1.1653,14715.0,1.16409,4233
2026-06-17,1.1651,1.1657,1.1518,1.158,28431.0,1.15981,8581
2026-06-18,1.1547,1.1569,1.1492,1.1501,22287.0,1.15227,6690
2026-06-22,1.1498,1.1517,1.1458,1.1463,28865.0,1.14876,8828
2026-06-23,1.1469,1.1479,1.1414,1.1419,14100.0,1.14414,4603
2026-06-24,1.142,1.1422,1.1363,1.1394,19545.0,1.13903,5634
2026-06-25,1.1394,1.1426,1.1371,1.1411,16247.0,1.14032,5408
2026-06-26,1.1407,1.1471,1.1392,1.1423,19417.0,1.14349,5877
2026-06-29,1.1421,1.1467,1.1416,1.1462,11738.0,1.14457,3962
2026-06-30,1.1463,1.1473,1.1419,1.1457,16077.0,1.14441,5143
2026-07-01,1.1458,1.1459,1.1397,1.1416,18224.0,1.14262,7142
2026-07-02,1.1412,1.1506,1.1409,1.1466,24553.0,1.14644,8749
2026-07-06,1.1468,1.1496,1.144,1.1476,18289.0,1.14653,6538
2026-07-07,1.1476,1.148,1.1441,1.1452,11291.0,1.14623,3499
2026-07-08,1.1443,1.1464,1.1423,1.1457,18452.0,1.14414,5704
2026-07-09,1.1447,1.1479,1.1446,1.1463,10564.0,1.14632,3499
2026-07-10,1.1461,1.1491,1.1441,1.1446,12904.0,1.14614,4170
2026-07-13,1.1437,1.1475,1.1406,1.1417,17904.0,1.14374,5363
2026-07-14,1.1413,1.1494,1.1407,1.1453,19589.0,1.14568,6006
2026-07-15,1.1452,1.1511,1.1434,1.1495,18515.0,1.14669,5259
2026-07-16,1.1495,1.1503,1.1458,1.1465,12742.0,1.14819,4099
2026-07-17,1.147,1.1479,1.145,1.1462,10110.0,1.1464,3126
2026-07-20,1.1452,1.1476,1.1428,1.1441,12696.0,1.14505,3606
2026-07-21,1.1438,1.1455,1.1423,1.1429,10356.0,1.14388,2896
2026-07-22,1.1423,1.1448,1.1423,1.1437,10487.0,1.14352,3055
2026-07-23,1.1436,1.146,1.1389,1.1401,17464.0,1.14182,4608
2026-07-24,1.1403,1.1426,1.1389,1.1394,12218.0,1.14043,3750
2026-07-27,1.1407,1.1442,1.139,1.1392,13982.0,1.14128,4145
2026-07-28,1.1392,1.1428,1.1377,1.1411,12550.0,1.14025,3354
