date,open,high,low,close,volume,average,barCount
2025-06-17,1.1699,1.1717,1.1615,1.1617,986.0,1.16867,365
2025-06-18,1.1621,1.1667,1.1597,1.1613,442.0,1.16345,240
2025-06-19,1.1621,1.1634,1.1581,1.1613,291.0,1.16057,153
2025-06-20,1.163,1.1676,1.163,1.1663,314.0,1.1655,173
2025-06-23,1.1635,1.1713,1.1589,1.1706,1039.0,1.16355,431
2025-06-24,1.172,1.1773,1.1714,1.1756,1373.0,1.17437,401
2025-06-25,1.174,1.1796,1.1721,1.1792,924.0,1.17528,317
2025-06-26,1.1785,1.1871,1.1785,1.1849,2987.0,1.18327,681
2025-06-27,1.182,1.188,1.1809,1.1826,1518.0,1.18483,461
2025-06-30,1.1854,1.1914,1.1835,1.1902,1547.0,1.18718,379
2025-07-01,1.1905,1.1955,1.1887,1.1906,1654.0,1.19249,491
2025-07-02,1.1927,1.1932,1.187,1.1922,544.0,1.19083,167
2025-07-03,1.1922,1.1933,1.1845,1.1876,803.0,1.18979,292
2025-07-07,1.1884,1.1914,1.1812,1.1845,645.0,1.18588,287
2025-07-08,1.1846,1.1885,1.1807,1.1849,453.0,1.18539,216
2025-07-09,1.185,1.1851,1.1813,1.1836,318.0,1.1835,175
2025-07-10,1.183,1.1868,1.1783,1.1812,434.0,1.18274,207
2025-07-11,1.1821,1.1831,1.1785,1.1807,358.0,1.1806,198
2025-07-14,1.1777,1.1815,1.176,1.1789,320.0,1.1797,170
2025-07-15,1.1782,1.181,1.1712,1.1721,808.0,1.17644,409
2025-07-16,1.172,1.1838,1.168,1.1745,1733.0,1.1735,655
2025-07-17,1.1758,1.1758,1.1673,1.17,1485.0,1.17069,495
2025-07-18,1.1716,1.1787,1.1716,1.1736,1091.0,1.17492,451
2025-07-21,1.1746,1.183,1.173,1.1807,1291.0,1.17749,453
2025-07-22,1.1809,1.1873,1.1792,1.1862,1115.0,1.18272,430
2025-07-23,1.1862,1.1887,1.1825,1.1884,1031.0,1.18568,389
2025-07-24,1.1882,1.1897,1.1841,1.1875,1977.0,1.18823,499
2025-07-25,1.1857,1.1865,1.1811,1.1853,629.0,1.18394,269
2025-07-28,1.186,1.1878,1.1689,1.17,1077.0,1.17821,510
2025-07-29,1.1698,1.1703,1.1623,1.1653,1104.0,1.16662,476
2025-07-30,1.1651,1.1674,1.1506,1.1529,1347.0,1.16022,661
2025-07-31,1.152,1.1561,1.1507,1.1528,901.0,1.15334,421
2025-08-01,1.1522,1.1692,1.1492,1.1623,1837.0,1.1606,886
2025-08-04,1.1651,1.1693,1.1646,1.166,951.0,1.16704,414
2025-08-05,1.1668,1.1682,1.1623,1.1669,751.0,1.16519,349
2025-08-06,1.1672,1.1762,1.166,1.1757,1238.0,1.17105,498
2025-08-07,1.1751,1.179,1.1705,1.1714,1145.0,1.17532,518
2025-08-08,1.1757,1.177,1.1721,1.1748,926.0,1.17427,362
2025-08-11,1.1736,1.1766,1.1681,1.1703,1276.0,1.17151,328
2025-08-12,1.171,1.1788,1.169,1.1759,1834.0,1.17416,511
