date,open,high,low,close,volume,average,barCount
2025-11-20,60.47,60.47,60.47,60.47,0.0,60.47,0
2025-11-21,60.44,60.44,60.44,60.44,0.0,60.44,0
2025-11-24,60.62,60.62,60.62,60.62,0.0,60.62,0
2025-11-25,60.76,60.76,60.76,60.76,0.0,60.76,0
2025-11-26,61.03,61.03,61.03,61.03,0.0,61.03,0
2025-11-28,60.62,60.62,60.62,60.62,0.0,60.62,0
2025-12-01,61.01,61.01,61.01,61.01,0.0,61.01,0
2025-12-02,60.5,60.5,60.5,60.5,0.0,60.5,0
2025-12-03,60.27,60.27,60.27,60.27,0.0,60.27,0
2025-12-04,60.4,60.4,60.4,60.4,0.0,60.4,0
2025-12-05,60.6,60.6,60.6,60.6,0.0,60.6,0
2025-12-08,60.25,60.25,60.25,60.25,0.0,60.25,0
2025-12-09,60.21,60.21,60.21,60.21,0.0,60.21,0
2025-12-10,60.29,60.29,60.29,60.29,0.0,60.29,0
2025-12-11,60.12,60.12,60.12,60.12,0.0,60.12,0
2025-12-12,60.04,60.04,60.04,60.04,0.0,60.04,0
2025-12-15,60.33,60.33,60.33,60.33,0.0,60.33,0
2025-12-16,59.24,59.24,59.24,59.24,0.0,59.24,0
2025-12-17,59.25,59.25,59.25,59.25,0.0,59.25,0
2025-12-18,59.3,59.3,59.3,59.3,0.0,59.3,0
2025-12-19,59.44,59.44,59.44,59.44,0.0,59.44,0
2025-12-22,59.85,59.85,59.85,59.85,0.0,59.85,0
2025-12-23,59.85,59.85,59.85,59.85,0.0,59.85,0
2025-12-24,60.1,60.1,60.1,60.1,0.0,60.1,0
2025-12-26,59.41,59.41,59.41,59.41,0.0,59.41,0
2025-12-29,59.91,59.91,59.91,59.91,0.0,59.91,0
2025-12-30,59.89,59.89,59.89,59.89,0.0,59.89,0
2025-12-31,59.33,59.33,59.33,59.33,0.0,59.33,0
2026-01-02,59.64,59.64,59.64,59.64,0.0,59.64,0
2026-01-05,59.52,59.52,59.52,59.52,0.0,59.52,0
2026-01-06,58.99,58.99,58.99,58.99,0.0,58.99,0
2026-01-07,58.79,58.79,58.79,58.79,0.0,58.79,0
2026-01-08,59.58,59.58,59.58,59.58,0.0,59.58,0
2026-01-09,59.97,59.97,59.97,59.97,0.0,59.97,0
2026-01-12,60.16,60.16,60.16,60.16,0.0,60.16,0
2026-01-13,60.72,60.72,60.72,60.72,0.0,60.72,0
2026-01-14,61.27,61.27,61.27,61.27,0.0,61.27,0
2026-01-15,60.22,60.22,60.22,60.22,0.0,60.22,0
2026-01-16,60.41,60.41,60.41,60.41,0.0,60.41,0
2026-01-20,60.81,60.81,60.81,60.81,0.0,60.81,0
2026-01-21,61.21,61.21,61.21,61.21,0.0,61.21,0
2026-01-22,60.77,60.77,60.77,60.77,0.0,60.77,0
2026-01-23,61.17,61.17,61.17,61.17,0.0,61.17,0
2026-01-26,61.57,61.57,61.57,61.57,0.0,61.57,0
2026-01-27,61.6,61.6,61.6,61.6,0.0,61.6,0
2026-01-28,61.75,61.75,61.75,61.75,0.0,61.75,0
2026-01-29,62.21,62.21,62.21,62.21,0.0,62.21,0
2026-01-30,62.27,62.27,62.27,62.27,0.0,62.27,0
2026-02-02,60.71,60.71,60.71,60.71,0.0,60.71,0
2026-02-03,61.39,61.39,61.39,61.39,0.0,61.39,0
2026-02-04,61.95,61.95,61.95,61.95,0.0,61.95,0
2026-02-05,61.56,61.56,61.56,61.56,0.0,61.56,0
2026-02-06,61.64,61.64,61.64,61.64,0.0,61.64,0
2026-02-09,61.97,61.97,61.97,61.97,0.0,61.97,0
2026-02-10,61.95,61.95,61.95,61.95,0.0,61.95,0
2026-02-11,61.81,61.81,61.81,61.81,0.0,61.81,0
2026-02-12,61.28,61.28,61.28,61.28,0.0,61.28,0
2026-02-13,61.24,61.24,61.24,61.24,0.0,61.24,0
2026-02-17,61.01,61.01,61.01,61.01,0.0,61.01,0
2026-02-18,61.29,61.29,61.29,61.29,0.0,61.29,0
2026-02-19,61.49,61.49,61.49,61.49,0.0,61.49,0
2026-02-20,61.62,61.62,61.62,61.62,0.0,61.62,0
2026-02-23,61.74,61.74,61.74,61.74,0.0,61.74,0
2026-02-24,61.77,61.77,61.77,61.77,0.0,61.77,0
2026-02-25,61.49,61.49,61.49,61.49,0.0,61.49,0
2026-02-26,60.84,60.84,60.84,60.84,0.0,60.84,0
2026-02-27,61.5,61.5,61.5,61.5,0.0,61.5,0
2026-03-02,61.75,61.75,61.75,61.75,0.0,61.75,0
2026-03-03,61.99,61.99,61.99,61.99,0.0,61.99,0
2026-03-04,62.72,62.72,62.72,62.72,0.0,62.72,0
2026-03-05,63.74,63.74,63.74,63.74,0.0,63.74,0
2026-03-06,64.56,64.56,64.56,64.56,0.0,64.56,0
2026-03-09,64.72,64.72,64.72,64.72,0.0,64.72,0
2026-03-10,64.83,64.83,64.83,64.83,0.0,64.83,0
2026-03-11,65.19,65.19,65.19,65.19,0.0,65.19,0
2026-03-12,65.61,65.61,65.61,65.61,0.0,65.61,0
2026-03-13,65.96,65.96,65.96,65.96,0.0,65.96,0
2026-03-16,66.53,66.53,66.53,66.53,0.0,66.53,0
2026-03-17,66.87,66.87,66.87,66.87,0.0,66.87,0
2026-03-18,68.34,68.34,68.34,68.34,0.0,68.34,0
2026-03-19,69.53,69.53,69.53,69.53,0.0,69.53,0
2026-03-20,69.72,69.72,69.72,69.72,0.0,69.72,0
2026-03-23,67.64,67.64,67.64,67.64,0.0,67.64,0
2026-03-24,69.25,69.25,69.25,69.25,0.0,69.25,0
2026-03-25,68.43,68.43,68.43,68.43,0.0,68.43,0
2026-03-26,69.4,69.4,69.4,69.4,0.0,69.4,0
2026-03-27,69.12,69.12,69.12,69.12,0.0,69.12,0
2026-03-30,68.71,68.71,68.71,68.71,0.0,68.71,0
2026-03-31,66.3,66.3,66.3,66.3,0.0,66.3,0
2026-04-01,65.57,65.57,65.57,65.57,0.0,65.57,0
2026-04-02,65.59,65.59,65.59,65.59,0.0,65.59,0
2026-04-06,66.57,66.57,66.57,66.57,0.0,66.57,0
2026-04-07,67.15,67.15,67.15,67.15,0.0,67.15,0
2026-04-08,67.24,67.24,67.24,67.24,0.0,67.24,0
2026-04-09,66.99,66.99,66.99,66.99,0.0,66.99,0
2026-04-10,67.63,67.63,67.63,67.63,0.0,67.63,0
2026-04-13,67.95,67.95,67.95,67.95,0.0,67.95,0
2026-04-14,67.69,67.69,67.69,67.69,0.0,67.69,0
2026-04-15,69.0,69.0,69.0,69.0,0.0,69.0,0
2026-04-16,69.02,69.02,69.02,69.02,0.0,69.02,0
2026-04-17,67.07,67.07,67.07,67.07,0.0,67.07,0
2026-04-20,67.73,67.73,67.73,67.73,0.0,67.73,0
2026-04-21,67.72,67.72,67.72,67.72,0.0,67.72,0
2026-04-22,67.95,67.95,67.95,67.95,0.0,67.95,0
2026-04-23,68.3,68.3,68.3,68.3,0.0,68.3,0
2026-04-24,67.77,67.77,67.77,67.77,0.0,67.77,0
2026-04-27,67.97,67.97,67.97,67.97,0.0,67.97,0
2026-04-28,67.09,67.09,67.09,67.09,0.0,67.09,0
2026-04-29,67.22,67.22,67.22,67.22,0.0,67.22,0
2026-04-30,67.59,67.59,67.59,67.59,0.0,67.59,0
2026-05-01,68.03,68.03,68.03,68.03,0.0,68.03,0
2026-05-04,69.83,69.83,69.83,69.83,0.0,69.83,0
2026-05-05,69.95,69.95,69.95,69.95,0.0,69.95,0
2026-05-06,68.41,68.41,68.41,68.41,0.0,68.41,0
2026-05-07,68.66,68.66,68.66,68.66,0.0,68.66,0
2026-05-08,70.08,70.08,70.08,70.08,0.0,70.08,0
2026-05-11,71.22,71.22,71.22,71.22,0.0,71.22,0
2026-05-12,71.4,71.4,71.4,71.4,0.0,71.4,0
2026-05-13,70.56,70.56,70.56,70.56,0.0,70.56,0
2026-05-14,70.41,70.41,70.41,70.41,0.0,70.41,0
2026-05-15,70.82,70.82,70.82,70.82,0.0,70.82,0
2026-05-18,70.98,70.98,70.98,70.98,0.0,70.98,0
2026-05-19,70.48,70.48,70.48,70.48,0.0,70.48,0
2026-05-20,69.43,69.43,69.43,69.43,0.0,69.43,0
2026-05-21,69.34,69.34,69.34,69.34,0.0,69.34,0
2026-05-22,69.27,69.27,69.27,69.27,0.0,69.27,0
2026-05-26,68.94,68.94,68.94,68.94,0.0,68.94,0
2026-05-27,68.86,68.86,68.86,68.86,0.0,68.86,0
2026-05-28,69.3,69.3,69.3,69.3,0.0,69.3,0
2026-05-29,68.9,68.9,68.9,68.9,0.0,68.9,0
2026-06-01,69.29,69.29,69.29,69.29,0.0,69.29,0
