date,open,high,low,close,volume,average,barCount
2023-11-20,67.32,67.32,67.32,67.32,0.0,67.32,0
2023-11-21,67.12,67.12,67.12,67.12,0.0,67.12,0
2023-11-22,66.6,66.6,66.6,66.6,0.0,66.6,0
2023-11-23,66.6,66.6,66.6,66.6,0.0,66.6,0
2023-11-24,65.92,65.92,65.92,65.92,0.0,65.92,0
2023-11-27,65.62,65.62,65.62,65.62,0.0,65.62,0
2023-11-28,66.2,66.2,66.2,66.2,0.0,66.2,0
2023-11-29,66.88,66.88,66.88,66.88,0.0,66.88,0
2023-11-30,65.86,65.86,65.86,65.86,0.0,65.86,0
2023-12-01,65.19,65.19,65.19,65.19,0.0,65.19,0
2023-12-04,65.5,65.5,65.5,65.5,0.0,65.5,0
2023-12-05,65.13,65.13,65.13,65.13,0.0,65.13,0
2023-12-06,64.3,64.3,64.3,64.3,0.0,64.3,0
2023-12-07,64.32,64.32,64.32,64.32,0.0,64.32,0
2023-12-08,65.09,65.09,65.09,65.09,0.0,65.09,0
2023-12-11,65.4,65.4,65.4,65.4,0.0,65.4,0
2023-12-12,64.22,64.22,64.22,64.22,0.0,64.22,0
2023-12-13,64.91,64.91,64.91,64.91,0.0,64.91,0
2023-12-14,65.98,65.98,65.98,65.98,0.0,65.98,0
2023-12-15,65.92,65.92,65.92,65.92,0.0,65.92,0
2023-12-18,66.13,66.13,66.13,66.13,0.0,66.13,0
2023-12-19,66.55,66.55,66.55,66.55,0.0,66.55,0
2023-12-20,66.37,66.37,66.37,66.37,0.0,66.37,0
2023-12-21,65.73,65.73,65.73,65.73,0.0,65.73,0
2023-12-22,65.02,65.02,65.02,65.02,0.0,65.02,0
2023-12-26,65.45,65.45,65.45,65.45,0.0,65.45,0
2023-12-27,65.26,65.26,65.26,65.26,0.0,65.26,0
2023-12-28,64.16,64.16,64.16,64.16,0.0,64.16,0
2023-12-29,63.95,63.95,63.95,63.95,0.0,63.95,0
2024-01-02,63.78,63.78,63.78,63.78,0.0,63.78,0
2024-01-03,64.82,64.82,64.82,64.82,0.0,64.82,0
2024-01-04,64.45,64.45,64.45,64.45,0.0,64.45,0
2024-01-05,64.87,64.87,64.87,64.87,0.0,64.87,0
2024-01-08,63.84,63.84,63.84,63.84,0.0,63.84,0
2024-01-09,64.13,64.13,64.13,64.13,0.0,64.13,0
2024-01-10,64.04,64.04,64.04,64.04,0.0,64.04,0
2024-01-11,64.42,64.42,64.42,64.42,0.0,64.42,0
2024-01-12,65.2,65.2,65.2,65.2,0.0,65.2,0
2024-01-15,65.2,65.2,65.2,65.2,0.0,65.2,0
2024-01-16,64.76,64.76,64.76,64.76,0.0,64.76,0
2024-01-17,64.61,64.61,64.61,64.61,0.0,64.61,0
2024-01-18,65.1,65.1,65.1,65.1,0.0,65.1,0
2024-01-19,64.59,64.59,64.59,64.59,0.0,64.59,0
2024-01-22,65.57,65.57,65.57,65.57,0.0,65.57,0
2024-01-23,65.47,65.47,65.47,65.47,0.0,65.47,0
2024-01-24,65.76,65.76,65.76,65.76,0.0,65.76,0
2024-01-25,66.45,66.45,66.45,66.45,0.0,66.45,0
2024-01-26,66.95,66.95,66.95,66.95,0.0,66.95,0
2024-01-29,66.32,66.32,66.32,66.32,0.0,66.32,0
2024-01-30,66.93,66.93,66.93,66.93,0.0,66.93,0
2024-01-31,66.05,66.05,66.05,66.05,0.0,66.05,0
2024-02-01,64.84,64.84,64.84,64.84,0.0,64.84,0
2024-02-02,64.21,64.21,64.21,64.21,0.0,64.21,0
2024-02-05,64.69,64.69,64.69,64.69,0.0,64.69,0
2024-02-06,64.63,64.63,64.63,64.63,0.0,64.63,0
2024-02-07,64.94,64.94,64.94,64.94,0.0,64.94,0
2024-02-08,65.79,65.79,65.79,65.79,0.0,65.79,0
2024-02-09,66.21,66.21,66.21,66.21,0.0,66.21,0
2024-02-12,66.4,66.4,66.4,66.4,0.0,66.4,0
2024-02-13,66.68,66.68,66.68,66.68,0.0,66.68,0
2024-02-14,66.09,66.09,66.09,66.09,0.0,66.09,0
2024-02-15,66.35,66.35,66.35,66.35,0.0,66.35,0
2024-02-16,66.56,66.56,66.56,66.56,0.0,66.56,0
2024-02-19,66.56,66.56,66.56,66.56,0.0,66.56,0
2024-02-20,65.7,65.7,65.7,65.7,0.0,65.7,0
2024-02-21,65.88,65.88,65.88,65.88,0.0,65.88,0
2024-02-22,66.11,66.11,66.11,66.11,0.0,66.11,0
2024-02-23,65.62,65.62,65.62,65.62,0.0,65.62,0
2024-02-26,65.84,65.84,65.84,65.84,0.0,65.84,0
2024-02-27,66.14,66.14,66.14,66.14,0.0,66.14,0
2024-02-28,65.99,65.99,65.99,65.99,0.0,65.99,0
2024-02-29,65.82,65.82,65.82,65.82,0.0,65.82,0
2024-03-01,65.95,65.95,65.95,65.95,0.0,65.95,0
