date,open,high,low,close,volume,average,barCount
2025-11-20,60.63,60.63,60.63,60.63,0.0,60.63,0
2025-11-21,60.61,60.61,60.61,60.61,0.0,60.61,0
2025-11-24,60.78,60.78,60.78,60.78,0.0,60.78,0
2025-11-25,60.95,60.95,60.95,60.95,0.0,60.95,0
2025-11-26,61.2,61.2,61.2,61.2,0.0,61.2,0
2025-11-28,60.8,60.8,60.8,60.8,0.0,60.8,0
2025-12-01,61.16,61.16,61.16,61.16,0.0,61.16,0
2025-12-02,60.65,60.65,60.65,60.65,0.0,60.65,0
2025-12-03,60.41,60.41,60.41,60.41,0.0,60.41,0
2025-12-04,60.52,60.52,60.52,60.52,0.0,60.52,0
2025-12-05,60.72,60.72,60.72,60.72,0.0,60.72,0
2025-12-08,60.39,60.39,60.39,60.39,0.0,60.39,0
2025-12-09,60.36,60.36,60.36,60.36,0.0,60.36,0
2025-12-10,60.46,60.46,60.46,60.46,0.0,60.46,0
2025-12-11,60.31,60.31,60.31,60.31,0.0,60.31,0
2025-12-12,60.22,60.22,60.22,60.22,0.0,60.22,0
2025-12-15,60.53,60.53,60.53,60.53,0.0,60.53,0
2025-12-16,59.43,59.43,59.43,59.43,0.0,59.43,0
2025-12-17,59.44,59.44,59.44,59.44,0.0,59.44,0
2025-12-18,59.5,59.5,59.5,59.5,0.0,59.5,0
2025-12-19,59.63,59.63,59.63,59.63,0.0,59.63,0
2025-12-22,60.02,60.02,60.02,60.02,0.0,60.02,0
2025-12-23,60.03,60.03,60.03,60.03,0.0,60.03,0
2025-12-24,60.27,60.27,60.27,60.27,0.0,60.27,0
2025-12-26,59.59,59.59,59.59,59.59,0.0,59.59,0
2025-12-29,60.09,60.09,60.09,60.09,0.0,60.09,0
2025-12-30,60.08,60.08,60.08,60.08,0.0,60.08,0
2025-12-31,59.52,59.52,59.52,59.52,0.0,59.52,0
2026-01-02,59.83,59.83,59.83,59.83,0.0,59.83,0
2026-01-05,59.69,59.69,59.69,59.69,0.0,59.69,0
2026-01-06,59.17,59.17,59.17,59.17,0.0,59.17,0
2026-01-07,59.0,59.0,59.0,59.0,0.0,59.0,0
2026-01-08,59.77,59.77,59.77,59.77,0.0,59.77,0
2026-01-09,60.13,60.13,60.13,60.13,0.0,60.13,0
2026-01-12,60.3,60.3,60.3,60.3,0.0,60.3,0
2026-01-13,60.83,60.83,60.83,60.83,0.0,60.83,0
2026-01-14,61.35,61.35,61.35,61.35,0.0,61.35,0
2026-01-15,60.36,60.36,60.36,60.36,0.0,60.36,0
2026-01-16,60.57,60.57,60.57,60.57,0.0,60.57,0
2026-01-20,60.94,60.94,60.94,60.94,0.0,60.94,0
2026-01-21,61.34,61.34,61.34,61.34,0.0,61.34,0
2026-01-22,60.9,60.9,60.9,60.9,0.0,60.9,0
2026-01-23,61.28,61.28,61.28,61.28,0.0,61.28,0
2026-01-26,61.66,61.66,61.66,61.66,0.0,61.66,0
2026-01-27,61.72,61.72,61.72,61.72,0.0,61.72,0
2026-01-28,61.87,61.87,61.87,61.87,0.0,61.87,0
2026-01-29,62.29,62.29,62.29,62.29,0.0,62.29,0
2026-01-30,62.34,62.34,62.34,62.34,0.0,62.34,0
2026-02-02,60.84,60.84,60.84,60.84,0.0,60.84,0
2026-02-03,61.49,61.49,61.49,61.49,0.0,61.49,0
2026-02-04,62.03,62.03,62.03,62.03,0.0,62.03,0
2026-02-05,61.67,61.67,61.67,61.67,0.0,61.67,0
2026-02-06,61.74,61.74,61.74,61.74,0.0,61.74,0
2026-02-09,62.05,62.05,62.05,62.05,0.0,62.05,0
2026-02-10,62.04,62.04,62.04,62.04,0.0,62.04,0
2026-02-11,61.9,61.9,61.9,61.9,0.0,61.9,0
2026-02-12,61.39,61.39,61.39,61.39,0.0,61.39,0
2026-02-13,61.34,61.34,61.34,61.34,0.0,61.34,0
2026-02-17,61.09,61.09,61.09,61.09,0.0,61.09,0
2026-02-18,61.35,61.35,61.35,61.35,0.0,61.35,0
2026-02-19,61.51,61.51,61.51,61.51,0.0,61.51,0
2026-02-20,61.64,61.64,61.64,61.64,0.0,61.64,0
2026-02-23,61.76,61.76,61.76,61.76,0.0,61.76,0
2026-02-24,61.77,61.77,61.77,61.77,0.0,61.77,0
2026-02-25,61.49,61.49,61.49,61.49,0.0,61.49,0
2026-02-26,60.88,60.88,60.88,60.88,0.0,60.88,0
2026-02-27,61.52,61.52,61.52,61.52,0.0,61.52,0
2026-03-02,61.79,61.79,61.79,61.79,0.0,61.79,0
2026-03-03,62.02,62.02,62.02,62.02,0.0,62.02,0
2026-03-04,62.73,62.73,62.73,62.73,0.0,62.73,0
2026-03-05,63.72,63.72,63.72,63.72,0.0,63.72,0
2026-03-06,64.52,64.52,64.52,64.52,0.0,64.52,0
2026-03-09,64.68,64.68,64.68,64.68,0.0,64.68,0
2026-03-10,64.7,64.7,64.7,64.7,0.0,64.7,0
2026-03-11,65.06,65.06,65.06,65.06,0.0,65.06,0
2026-03-12,65.37,65.37,65.37,65.37,0.0,65.37,0
2026-03-13,65.69,65.69,65.69,65.69,0.0,65.69,0
2026-03-16,66.28,66.28,66.28,66.28,0.0,66.28,0
