date,open,high,low,close,volume,average,barCount
2023-11-20,66.93,66.93,66.93,66.93,0.0,66.93,0
2023-11-21,66.7,66.7,66.7,66.7,0.0,66.7,0
2023-11-22,66.18,66.18,66.18,66.18,0.0,66.18,0
2023-11-23,66.18,66.18,66.18,66.18,0.0,66.18,0
2023-11-24,65.51,65.51,65.51,65.51,0.0,65.51,0
2023-11-27,65.21,65.21,65.21,65.21,0.0,65.21,0
2023-11-28,65.77,65.77,65.77,65.77,0.0,65.77,0
2023-11-29,66.45,66.45,66.45,66.45,0.0,66.45,0
2023-11-30,65.47,65.47,65.47,65.47,0.0,65.47,0
2023-12-01,64.82,64.82,64.82,64.82,0.0,64.82,0
2023-12-04,65.12,65.12,65.12,65.12,0.0,65.12,0
2023-12-05,64.78,64.78,64.78,64.78,0.0,64.78,0
2023-12-06,64.03,64.03,64.03,64.03,0.0,64.03,0
2023-12-07,64.07,64.07,64.07,64.07,0.0,64.07,0
2023-12-08,64.82,64.82,64.82,64.82,0.0,64.82,0
2023-12-11,65.13,65.13,65.13,65.13,0.0,65.13,0
2023-12-12,64.03,64.03,64.03,64.03,0.0,64.03,0
2023-12-13,64.66,64.66,64.66,64.66,0.0,64.66,0
2023-12-14,65.69,65.69,65.69,65.69,0.0,65.69,0
2023-12-15,65.63,65.63,65.63,65.63,0.0,65.63,0
2023-12-18,65.82,65.82,65.82,65.82,0.0,65.82,0
2023-12-19,66.22,66.22,66.22,66.22,0.0,66.22,0
2023-12-20,66.04,66.04,66.04,66.04,0.0,66.04,0
2023-12-21,65.38,65.38,65.38,65.38,0.0,65.38,0
2023-12-22,64.67,64.67,64.67,64.67,0.0,64.67,0
2023-12-26,65.07,65.07,65.07,65.07,0.0,65.07,0
2023-12-27,64.91,64.91,64.91,64.91,0.0,64.91,0
2023-12-28,63.87,63.87,63.87,63.87,0.0,63.87,0
2023-12-29,63.64,63.64,63.64,63.64,0.0,63.64,0
2024-01-02,63.49,63.49,63.49,63.49,0.0,63.49,0
2024-01-03,64.51,64.51,64.51,64.51,0.0,64.51,0
2024-01-04,64.16,64.16,64.16,64.16,0.0,64.16,0
2024-01-05,64.56,64.56,64.56,64.56,0.0,64.56,0
2024-01-08,63.57,63.57,63.57,63.57,0.0,63.57,0
2024-01-09,63.84,63.84,63.84,63.84,0.0,63.84,0
2024-01-10,63.75,63.75,63.75,63.75,0.0,63.75,0
2024-01-11,64.12,64.12,64.12,64.12,0.0,64.12,0
2024-01-12,64.91,64.91,64.91,64.91,0.0,64.91,0
2024-01-15,64.91,64.91,64.91,64.91,0.0,64.91,0
2024-01-16,64.47,64.47,64.47,64.47,0.0,64.47,0
2024-01-17,64.34,64.34,64.34,64.34,0.0,64.34,0
2024-01-18,64.81,64.81,64.81,64.81,0.0,64.81,0
2024-01-19,64.3,64.3,64.3,64.3,0.0,64.3,0
2024-01-22,65.26,65.26,65.26,65.26,0.0,65.26,0
2024-01-23,65.17,65.17,65.17,65.17,0.0,65.17,0
2024-01-24,65.47,65.47,65.47,65.47,0.0,65.47,0
2024-01-25,66.1,66.1,66.1,66.1,0.0,66.1,0
2024-01-26,66.61,66.61,66.61,66.61,0.0,66.61,0
2024-01-29,65.99,65.99,65.99,65.99,0.0,65.99,0
2024-01-30,66.6,66.6,66.6,66.6,0.0,66.6,0
2024-01-31,65.76,65.76,65.76,65.76,0.0,65.76,0
2024-02-01,64.57,64.57,64.57,64.57,0.0,64.57,0
2024-02-02,63.96,63.96,63.96,63.96,0.0,63.96,0
2024-02-05,64.44,64.44,64.44,64.44,0.0,64.44,0
2024-02-06,64.36,64.36,64.36,64.36,0.0,64.36,0
2024-02-07,64.66,64.66,64.66,64.66,0.0,64.66,0
2024-02-08,65.48,65.48,65.48,65.48,0.0,65.48,0
2024-02-09,65.9,65.9,65.9,65.9,0.0,65.9,0
2024-02-12,66.09,66.09,66.09,66.09,0.0,66.09,0
2024-02-13,66.38,66.38,66.38,66.38,0.0,66.38,0
2024-02-14,65.8,65.8,65.8,65.8,0.0,65.8,0
2024-02-15,66.04,66.04,66.04,66.04,0.0,66.04,0
2024-02-16,66.24,66.24,66.24,66.24,0.0,66.24,0
2024-02-19,66.24,66.24,66.24,66.24,0.0,66.24,0
2024-02-20,65.38,65.38,65.38,65.38,0.0,65.38,0
2024-02-21,65.56,65.56,65.56,65.56,0.0,65.56,0
2024-02-22,65.78,65.78,65.78,65.78,0.0,65.78,0
2024-02-23,65.35,65.35,65.35,65.35,0.0,65.35,0
2024-02-26,65.53,65.53,65.53,65.53,0.0,65.53,0
2024-02-27,65.81,65.81,65.81,65.81,0.0,65.81,0
2024-02-28,65.67,65.67,65.67,65.67,0.0,65.67,0
2024-02-29,65.51,65.51,65.51,65.51,0.0,65.51,0
2024-03-01,65.62,65.62,65.62,65.62,0.0,65.62,0
2024-03-04,66.22,66.22,66.22,66.22,0.0,66.22,0
2024-03-05,65.64,65.64,65.64,65.64,0.0,65.64,0
2024-03-06,65.62,65.62,65.62,65.62,0.0,65.62,0
2024-03-07,65.86,65.86,65.86,65.86,0.0,65.86,0
2024-03-08,65.49,65.49,65.49,65.49,0.0,65.49,0
2024-03-11,65.99,65.99,65.99,65.99,0.0,65.99,0
2024-03-12,65.9,65.9,65.9,65.9,0.0,65.9,0
2024-03-13,66.62,66.62,66.62,66.62,0.0,66.62,0
2024-03-14,66.94,66.94,66.94,66.94,0.0,66.94,0
2024-03-15,67.18,67.18,67.18,67.18,0.0,67.18,0
2024-03-18,67.38,67.38,67.38,67.38,0.0,67.38,0
2024-03-19,67.56,67.56,67.56,67.56,0.0,67.56,0
2024-03-20,67.2,67.2,67.2,67.2,0.0,67.2,0
2024-03-21,67.2,67.2,67.2,67.2,0.0,67.2,0
2024-03-22,66.88,66.88,66.88,66.88,0.0,66.88,0
2024-03-25,67.42,67.42,67.42,67.42,0.0,67.42,0
2024-03-26,67.41,67.41,67.41,67.41,0.0,67.41,0
2024-03-27,67.4,67.4,67.4,67.4,0.0,67.4,0
2024-03-28,67.81,67.81,67.81,67.81,0.0,67.81,0
2024-04-01,67.77,67.77,67.77,67.77,0.0,67.77,0
2024-04-02,67.88,67.88,67.88,67.88,0.0,67.88,0
2024-04-03,68.22,68.22,68.22,68.22,0.0,68.22,0
2024-04-04,68.44,68.44,68.44,68.44,0.0,68.44,0
2024-04-05,68.26,68.26,68.26,68.26,0.0,68.26,0
2024-04-08,68.17,68.17,68.17,68.17,0.0,68.17,0
2024-04-09,67.79,67.79,67.79,67.79,0.0,67.79,0
2024-04-10,68.11,68.11,68.11,68.11,0.0,68.11,0
2024-04-11,68.2,68.2,68.2,68.2,0.0,68.2,0
2024-04-12,68.61,68.61,68.61,68.61,0.0,68.61,0
2024-04-15,68.93,68.93,68.93,68.93,0.0,68.93,0
2024-04-16,69.24,69.24,69.24,69.24,0.0,69.24,0
2024-04-17,68.31,68.31,68.31,68.31,0.0,68.31,0
2024-04-18,68.12,68.12,68.12,68.12,0.0,68.12,0
2024-04-19,67.95,67.95,67.95,67.95,0.0,67.95,0
2024-04-22,67.81,67.81,67.81,67.81,0.0,67.81,0
2024-04-23,68.15,68.15,68.15,68.15,0.0,68.15,0
2024-04-24,68.47,68.47,68.47,68.47,0.0,68.47,0
2024-04-25,68.67,68.67,68.67,68.67,0.0,68.67,0
2024-04-26,68.87,68.87,68.87,68.87,0.0,68.87,0
2024-04-29,68.46,68.46,68.46,68.46,0.0,68.46,0
2024-04-30,68.23,68.23,68.23,68.23,0.0,68.23,0
2024-05-01,66.7,66.7,66.7,66.7,0.0,66.7,0
2024-05-02,67.15,67.15,67.15,67.15,0.0,67.15,0
2024-05-03,67.31,67.31,67.31,67.31,0.0,67.31,0
2024-05-06,67.62,67.62,67.62,67.62,0.0,67.62,0
2024-05-07,67.37,67.37,67.37,67.37,0.0,67.37,0
2024-05-08,67.08,67.08,67.08,67.08,0.0,67.08,0
2024-05-09,67.25,67.25,67.25,67.25,0.0,67.25,0
2024-05-10,66.86,66.86,66.86,66.86,0.0,66.86,0
2024-05-13,67.08,67.08,67.08,67.08,0.0,67.08,0
2024-05-14,67.12,67.12,67.12,67.12,0.0,67.12,0
2024-05-15,67.3,67.3,67.3,67.3,0.0,67.3,0
2024-05-16,67.64,67.64,67.64,67.64,0.0,67.64,0
2024-05-17,68.04,68.04,68.04,68.04,0.0,68.04,0
2024-05-20,68.3,68.3,68.3,68.3,0.0,68.3,0
2024-05-21,68.18,68.18,68.18,68.18,0.0,68.18,0
2024-05-22,67.31,67.31,67.31,67.31,0.0,67.31,0
2024-05-23,67.06,67.06,67.06,67.06,0.0,67.06,0
2024-05-24,67.14,67.14,67.14,67.14,0.0,67.14,0
2024-05-27,67.14,67.14,67.14,67.14,0.0,67.14,0
2024-05-28,68.14,68.14,68.14,68.14,0.0,68.14,0
2024-05-29,67.97,67.97,67.97,67.97,0.0,67.97,0
2024-05-30,67.53,67.53,67.53,67.53,0.0,67.53,0
2024-05-31,67.89,67.89,67.89,67.89,0.0,67.89,0
2024-06-03,66.62,66.62,66.62,66.62,0.0,66.62,0
2024-06-04,65.35,65.35,65.35,65.35,0.0,65.35,0
2024-06-05,65.35,65.35,65.35,65.35,0.0,65.35,0
2024-06-06,65.96,65.96,65.96,65.96,0.0,65.96,0
2024-06-07,66.55,66.55,66.55,66.55,0.0,66.55,0
2024-06-10,67.45,67.45,67.45,67.45,0.0,67.45,0
2024-06-11,67.89,67.89,67.89,67.89,0.0,67.89,0
2024-06-12,68.02,68.02,68.02,68.02,0.0,68.02,0
2024-06-13,68.04,68.04,68.04,68.04,0.0,68.04,0
2024-06-14,67.73,67.73,67.73,67.73,0.0,67.73,0
2024-06-17,67.58,67.58,67.58,67.58,0.0,67.58,0
2024-06-18,68.44,68.44,68.44,68.44,0.0,68.44,0
