date,open,high,low,close,volume,average,barCount
2023-11-20,66.75,66.75,66.75,66.75,0.0,66.75,0
2023-11-21,66.52,66.52,66.52,66.52,0.0,66.52,0
2023-11-22,66.02,66.02,66.02,66.02,0.0,66.02,0
2023-11-23,66.02,66.02,66.02,66.02,0.0,66.02,0
2023-11-24,65.35,65.35,65.35,65.35,0.0,65.35,0
2023-11-27,65.05,65.05,65.05,65.05,0.0,65.05,0
2023-11-28,65.58,65.58,65.58,65.58,0.0,65.58,0
2023-11-29,66.25,66.25,66.25,66.25,0.0,66.25,0
2023-11-30,65.32,65.32,65.32,65.32,0.0,65.32,0
2023-12-01,64.66,64.66,64.66,64.66,0.0,64.66,0
2023-12-04,64.96,64.96,64.96,64.96,0.0,64.96,0
2023-12-05,64.64,64.64,64.64,64.64,0.0,64.64,0
2023-12-06,63.93,63.93,63.93,63.93,0.0,63.93,0
2023-12-07,63.97,63.97,63.97,63.97,0.0,63.97,0
2023-12-08,64.7,64.7,64.7,64.7,0.0,64.7,0
2023-12-11,65.02,65.02,65.02,65.02,0.0,65.02,0
2023-12-12,63.94,63.94,63.94,63.94,0.0,63.94,0
2023-12-13,64.56,64.56,64.56,64.56,0.0,64.56,0
2023-12-14,65.58,65.58,65.58,65.58,0.0,65.58,0
2023-12-15,65.51,65.51,65.51,65.51,0.0,65.51,0
2023-12-18,65.68,65.68,65.68,65.68,0.0,65.68,0
2023-12-19,66.07,66.07,66.07,66.07,0.0,66.07,0
2023-12-20,65.89,65.89,65.89,65.89,0.0,65.89,0
2023-12-21,65.23,65.23,65.23,65.23,0.0,65.23,0
2023-12-22,64.52,64.52,64.52,64.52,0.0,64.52,0
2023-12-26,64.89,64.89,64.89,64.89,0.0,64.89,0
2023-12-27,64.74,64.74,64.74,64.74,0.0,64.74,0
2023-12-28,63.73,63.73,63.73,63.73,0.0,63.73,0
2023-12-29,63.5,63.5,63.5,63.5,0.0,63.5,0
2024-01-02,63.38,63.38,63.38,63.38,0.0,63.38,0
2024-01-03,64.37,64.37,64.37,64.37,0.0,64.37,0
2024-01-04,64.02,64.02,64.02,64.02,0.0,64.02,0
2024-01-05,64.4,64.4,64.4,64.4,0.0,64.4,0
2024-01-08,63.5,63.5,63.5,63.5,0.0,63.5,0
2024-01-09,63.74,63.74,63.74,63.74,0.0,63.74,0
2024-01-10,63.64,63.64,63.64,63.64,0.0,63.64,0
2024-01-11,63.99,63.99,63.99,63.99,0.0,63.99,0
2024-01-12,64.78,64.78,64.78,64.78,0.0,64.78,0
2024-01-15,64.78,64.78,64.78,64.78,0.0,64.78,0
2024-01-16,64.35,64.35,64.35,64.35,0.0,64.35,0
2024-01-17,64.22,64.22,64.22,64.22,0.0,64.22,0
2024-01-18,64.67,64.67,64.67,64.67,0.0,64.67,0
2024-01-19,64.18,64.18,64.18,64.18,0.0,64.18,0
2024-01-22,65.13,65.13,65.13,65.13,0.0,65.13,0
2024-01-23,65.04,65.04,65.04,65.04,0.0,65.04,0
2024-01-24,65.33,65.33,65.33,65.33,0.0,65.33,0
2024-01-25,65.95,65.95,65.95,65.95,0.0,65.95,0
2024-01-26,66.46,66.46,66.46,66.46,0.0,66.46,0
2024-01-29,65.84,65.84,65.84,65.84,0.0,65.84,0
2024-01-30,66.45,66.45,66.45,66.45,0.0,66.45,0
2024-01-31,65.65,65.65,65.65,65.65,0.0,65.65,0
2024-02-01,64.46,64.46,64.46,64.46,0.0,64.46,0
2024-02-02,63.86,63.86,63.86,63.86,0.0,63.86,0
2024-02-05,64.33,64.33,64.33,64.33,0.0,64.33,0
2024-02-06,64.24,64.24,64.24,64.24,0.0,64.24,0
2024-02-07,64.54,64.54,64.54,64.54,0.0,64.54,0
2024-02-08,65.32,65.32,65.32,65.32,0.0,65.32,0
2024-02-09,65.75,65.75,65.75,65.75,0.0,65.75,0
2024-02-12,65.96,65.96,65.96,65.96,0.0,65.96,0
2024-02-13,66.25,66.25,66.25,66.25,0.0,66.25,0
2024-02-14,65.68,65.68,65.68,65.68,0.0,65.68,0
2024-02-15,65.91,65.91,65.91,65.91,0.0,65.91,0
2024-02-16,66.11,66.11,66.11,66.11,0.0,66.11,0
2024-02-19,66.11,66.11,66.11,66.11,0.0,66.11,0
2024-02-20,65.25,65.25,65.25,65.25,0.0,65.25,0
2024-02-21,65.41,65.41,65.41,65.41,0.0,65.41,0
2024-02-22,65.64,65.64,65.64,65.64,0.0,65.64,0
2024-02-23,65.23,65.23,65.23,65.23,0.0,65.23,0
2024-02-26,65.4,65.4,65.4,65.4,0.0,65.4,0
2024-02-27,65.67,65.67,65.67,65.67,0.0,65.67,0
2024-02-28,65.54,65.54,65.54,65.54,0.0,65.54,0
2024-02-29,65.38,65.38,65.38,65.38,0.0,65.38,0
2024-03-01,65.43,65.43,65.43,65.43,0.0,65.43,0
2024-03-04,66.08,66.08,66.08,66.08,0.0,66.08,0
2024-03-05,65.5,65.5,65.5,65.5,0.0,65.5,0
2024-03-06,65.47,65.47,65.47,65.47,0.0,65.47,0
2024-03-07,65.71,65.71,65.71,65.71,0.0,65.71,0
2024-03-08,65.35,65.35,65.35,65.35,0.0,65.35,0
2024-03-11,65.86,65.86,65.86,65.86,0.0,65.86,0
2024-03-12,65.78,65.78,65.78,65.78,0.0,65.78,0
2024-03-13,66.44,66.44,66.44,66.44,0.0,66.44,0
2024-03-14,66.73,66.73,66.73,66.73,0.0,66.73,0
2024-03-15,66.99,66.99,66.99,66.99,0.0,66.99,0
2024-03-18,67.18,67.18,67.18,67.18,0.0,67.18,0
2024-03-19,67.36,67.36,67.36,67.36,0.0,67.36,0
2024-03-20,67.02,67.02,67.02,67.02,0.0,67.02,0
2024-03-21,67.02,67.02,67.02,67.02,0.0,67.02,0
2024-03-22,66.71,66.71,66.71,66.71,0.0,66.71,0
2024-03-25,67.22,67.22,67.22,67.22,0.0,67.22,0
2024-03-26,67.22,67.22,67.22,67.22,0.0,67.22,0
2024-03-27,67.21,67.21,67.21,67.21,0.0,67.21,0
2024-03-28,67.6,67.6,67.6,67.6,0.0,67.6,0
2024-04-01,67.56,67.56,67.56,67.56,0.0,67.56,0
2024-04-02,67.65,67.65,67.65,67.65,0.0,67.65,0
2024-04-03,67.99,67.99,67.99,67.99,0.0,67.99,0
2024-04-04,68.17,68.17,68.17,68.17,0.0,68.17,0
2024-04-05,67.98,67.98,67.98,67.98,0.0,67.98,0
2024-04-08,67.94,67.94,67.94,67.94,0.0,67.94,0
2024-04-09,67.56,67.56,67.56,67.56,0.0,67.56,0
2024-04-10,67.86,67.86,67.86,67.86,0.0,67.86,0
2024-04-11,67.96,67.96,67.96,67.96,0.0,67.96,0
2024-04-12,68.36,68.36,68.36,68.36,0.0,68.36,0
2024-04-15,68.7,68.7,68.7,68.7,0.0,68.7,0
2024-04-16,69.02,69.02,69.02,69.02,0.0,69.02,0
2024-04-17,68.1,68.1,68.1,68.1,0.0,68.1,0
2024-04-18,67.93,67.93,67.93,67.93,0.0,67.93,0
2024-04-19,67.75,67.75,67.75,67.75,0.0,67.75,0
2024-04-22,67.62,67.62,67.62,67.62,0.0,67.62,0
2024-04-23,67.94,67.94,67.94,67.94,0.0,67.94,0
2024-04-24,68.28,68.28,68.28,68.28,0.0,68.28,0
2024-04-25,68.47,68.47,68.47,68.47,0.0,68.47,0
2024-04-26,68.67,68.67,68.67,68.67,0.0,68.67,0
2024-04-29,68.28,68.28,68.28,68.28,0.0,68.28,0
2024-04-30,68.04,68.04,68.04,68.04,0.0,68.04,0
2024-05-01,66.54,66.54,66.54,66.54,0.0,66.54,0
2024-05-02,66.97,66.97,66.97,66.97,0.0,66.97,0
2024-05-03,67.15,67.15,67.15,67.15,0.0,67.15,0
2024-05-06,67.44,67.44,67.44,67.44,0.0,67.44,0
2024-05-07,67.2,67.2,67.2,67.2,0.0,67.2,0
2024-05-08,66.9,66.9,66.9,66.9,0.0,66.9,0
2024-05-09,67.07,67.07,67.07,67.07,0.0,67.07,0
2024-05-10,66.69,66.69,66.69,66.69,0.0,66.69,0
2024-05-13,66.89,66.89,66.89,66.89,0.0,66.89,0
2024-05-14,66.95,66.95,66.95,66.95,0.0,66.95,0
2024-05-15,67.13,67.13,67.13,67.13,0.0,67.13,0
2024-05-16,67.46,67.46,67.46,67.46,0.0,67.46,0
2024-05-17,67.85,67.85,67.85,67.85,0.0,67.85,0
2024-05-20,68.1,68.1,68.1,68.1,0.0,68.1,0
2024-05-21,67.99,67.99,67.99,67.99,0.0,67.99,0
2024-05-22,67.15,67.15,67.15,67.15,0.0,67.15,0
2024-05-23,66.91,66.91,66.91,66.91,0.0,66.91,0
2024-05-24,66.98,66.98,66.98,66.98,0.0,66.98,0
2024-05-27,66.98,66.98,66.98,66.98,0.0,66.98,0
2024-05-28,67.95,67.95,67.95,67.95,0.0,67.95,0
2024-05-29,67.79,67.79,67.79,67.79,0.0,67.79,0
2024-05-30,67.36,67.36,67.36,67.36,0.0,67.36,0
2024-05-31,67.75,67.75,67.75,67.75,0.0,67.75,0
2024-06-03,66.49,66.49,66.49,66.49,0.0,66.49,0
2024-06-04,65.22,65.22,65.22,65.22,0.0,65.22,0
