date,open,high,low,close,volume,average,barCount
2024-11-20,64.38,64.38,64.38,64.38,0.0,64.38,0
2024-11-21,64.29,64.29,64.29,64.29,0.0,64.29,0
2024-11-22,64.54,64.54,64.54,64.54,0.0,64.54,0
2024-11-25,63.57,63.57,63.57,63.57,0.0,63.57,0
2024-11-26,63.88,63.88,63.88,63.88,0.0,63.88,0
2024-11-27,63.61,63.61,63.61,63.61,0.0,63.61,0
2024-11-28,63.61,63.61,63.61,63.61,0.0,63.61,0
2024-11-29,63.04,63.04,63.04,63.04,0.0,63.04,0
2024-12-02,63.11,63.11,63.11,63.11,0.0,63.11,0
2024-12-03,63.67,63.67,63.67,63.67,0.0,63.67,0
2024-12-04,62.69,62.69,62.69,62.69,0.0,62.69,0
2024-12-05,62.65,62.65,62.65,62.65,0.0,62.65,0
2024-12-06,62.59,62.59,62.59,62.59,0.0,62.59,0
2024-12-09,63.35,63.35,63.35,63.35,0.0,63.35,0
2024-12-10,63.25,63.25,63.25,63.25,0.0,63.25,0
2024-12-11,63.38,63.38,63.38,63.38,0.0,63.38,0
2024-12-12,63.4,63.4,63.4,63.4,0.0,63.4,0
2024-12-13,63.72,63.72,63.72,63.72,0.0,63.72,0
2024-12-16,63.65,63.65,63.65,63.65,0.0,63.65,0
2024-12-17,63.38,63.38,63.38,63.38,0.0,63.38,0
2024-12-18,63.24,63.24,63.24,63.24,0.0,63.24,0
2024-12-19,63.02,63.02,63.02,63.02,0.0,63.02,0
2024-12-20,63.13,63.13,63.13,63.13,0.0,63.13,0
2024-12-23,63.07,63.07,63.07,63.07,0.0,63.07,0
2024-12-24,63.43,63.43,63.43,63.43,0.0,63.43,0
2024-12-26,63.16,63.16,63.16,63.16,0.0,63.16,0
2024-12-27,63.25,63.25,63.25,63.25,0.0,63.25,0
2024-12-30,63.62,63.62,63.62,63.62,0.0,63.62,0
2024-12-31,63.84,63.84,63.84,63.84,0.0,63.84,0
2025-01-02,64.2,64.2,64.2,64.2,0.0,64.2,0
2025-01-03,64.24,64.24,64.24,64.24,0.0,64.24,0
2025-01-06,64.61,64.61,64.61,64.61,0.0,64.61,0
2025-01-07,64.6,64.6,64.6,64.6,0.0,64.6,0
2025-01-08,64.27,64.27,64.27,64.27,0.0,64.27,0
2025-01-09,64.16,64.16,64.16,64.16,0.0,64.16,0
2025-01-10,64.17,64.17,64.17,64.17,0.0,64.17,0
2025-01-13,64.24,64.24,64.24,64.24,0.0,64.24,0
2025-01-14,64.83,64.83,64.83,64.83,0.0,64.83,0
2025-01-15,65.23,65.23,65.23,65.23,0.0,65.23,0
2025-01-16,64.91,64.91,64.91,64.91,0.0,64.91,0
2025-01-17,64.83,64.83,64.83,64.83,0.0,64.83,0
2025-01-20,64.83,64.83,64.83,64.83,0.0,64.83,0
2025-01-21,64.89,64.89,64.89,64.89,0.0,64.89,0
2025-01-22,64.88,64.88,64.88,64.88,0.0,64.88,0
2025-01-23,64.84,64.84,64.84,64.84,0.0,64.84,0
2025-01-24,64.51,64.51,64.51,64.51,0.0,64.51,0
2025-01-27,63.96,63.96,63.96,63.96,0.0,63.96,0
2025-01-28,63.74,63.74,63.74,63.74,0.0,63.74,0
2025-01-29,63.52,63.52,63.52,63.52,0.0,63.52,0
2025-01-30,63.49,63.49,63.49,63.49,0.0,63.49,0
2025-01-31,63.41,63.41,63.41,63.41,0.0,63.41,0
2025-02-03,63.48,63.48,63.48,63.48,0.0,63.48,0
2025-02-04,63.84,63.84,63.84,63.84,0.0,63.84,0
2025-02-05,63.48,63.48,63.48,63.48,0.0,63.48,0
