date,open,high,low,close,volume,average,barCount
2023-11-20,66.24,66.24,66.24,66.24,0.0,66.24,0
2023-11-21,66.06,66.06,66.06,66.06,0.0,66.06,0
2023-11-22,65.59,65.59,65.59,65.59,0.0,65.59,0
2023-11-23,65.59,65.59,65.59,65.59,0.0,65.59,0
2023-11-24,64.94,64.94,64.94,64.94,0.0,64.94,0
2023-11-27,64.64,64.64,64.64,64.64,0.0,64.64,0
2023-11-28,65.14,65.14,65.14,65.14,0.0,65.14,0
2023-11-29,65.78,65.78,65.78,65.78,0.0,65.78,0
2023-11-30,64.91,64.91,64.91,64.91,0.0,64.91,0
2023-12-01,64.29,64.29,64.29,64.29,0.0,64.29,0
2023-12-04,64.61,64.61,64.61,64.61,0.0,64.61,0
2023-12-05,64.31,64.31,64.31,64.31,0.0,64.31,0
2023-12-06,63.68,63.68,63.68,63.68,0.0,63.68,0
2023-12-07,63.73,63.73,63.73,63.73,0.0,63.73,0
2023-12-08,64.43,64.43,64.43,64.43,0.0,64.43,0
2023-12-11,64.74,64.74,64.74,64.74,0.0,64.74,0
2023-12-12,63.7,63.7,63.7,63.7,0.0,63.7,0
2023-12-13,64.33,64.33,64.33,64.33,0.0,64.33,0
2023-12-14,65.32,65.32,65.32,65.32,0.0,65.32,0
2023-12-15,65.24,65.24,65.24,65.24,0.0,65.24,0
2023-12-18,65.39,65.39,65.39,65.39,0.0,65.39,0
2023-12-19,65.74,65.74,65.74,65.74,0.0,65.74,0
2023-12-20,65.54,65.54,65.54,65.54,0.0,65.54,0
2023-12-21,64.89,64.89,64.89,64.89,0.0,64.89,0
2023-12-22,64.19,64.19,64.19,64.19,0.0,64.19,0
2023-12-26,64.51,64.51,64.51,64.51,0.0,64.51,0
2023-12-27,64.37,64.37,64.37,64.37,0.0,64.37,0
2023-12-28,63.41,63.41,63.41,63.41,0.0,63.41,0
2023-12-29,63.18,63.18,63.18,63.18,0.0,63.18,0
2024-01-02,63.11,63.11,63.11,63.11,0.0,63.11,0
2024-01-03,64.05,64.05,64.05,64.05,0.0,64.05,0
2024-01-04,63.71,63.71,63.71,63.71,0.0,63.71,0
2024-01-05,64.03,64.03,64.03,64.03,0.0,64.03,0
2024-01-08,63.23,63.23,63.23,63.23,0.0,63.23,0
