date,open,high,low,close,volume,average,barCount
2025-11-20,61.02,61.02,61.02,61.02,0.0,61.02,0
2025-11-21,61.06,61.06,61.06,61.06,0.0,61.06,0
2025-11-24,61.2,61.2,61.2,61.2,0.0,61.2,0
2025-11-25,61.45,61.45,61.45,61.45,0.0,61.45,0
2025-11-26,61.68,61.68,61.68,61.68,0.0,61.68,0
2025-11-28,61.29,61.29,61.29,61.29,0.0,61.29,0
2025-12-01,61.6,61.6,61.6,61.6,0.0,61.6,0
2025-12-02,61.1,61.1,61.1,61.1,0.0,61.1,0
2025-12-03,60.83,60.83,60.83,60.83,0.0,60.83,0
2025-12-04,60.93,60.93,60.93,60.93,0.0,60.93,0
2025-12-05,61.13,61.13,61.13,61.13,0.0,61.13,0
2025-12-08,60.86,60.86,60.86,60.86,0.0,60.86,0
2025-12-09,60.83,60.83,60.83,60.83,0.0,60.83,0
2025-12-10,60.93,60.93,60.93,60.93,0.0,60.93,0
2025-12-11,60.83,60.83,60.83,60.83,0.0,60.83,0
2025-12-12,60.77,60.77,60.77,60.77,0.0,60.77,0
2025-12-15,61.08,61.08,61.08,61.08,0.0,61.08,0
2025-12-16,59.97,59.97,59.97,59.97,0.0,59.97,0
2025-12-17,59.96,59.96,59.96,59.96,0.0,59.96,0
2025-12-18,60.04,60.04,60.04,60.04,0.0,60.04,0
2025-12-19,60.17,60.17,60.17,60.17,0.0,60.17,0
2025-12-22,60.49,60.49,60.49,60.49,0.0,60.49,0
2025-12-23,60.5,60.5,60.5,60.5,0.0,60.5,0
2025-12-24,60.74,60.74,60.74,60.74,0.0,60.74,0
2025-12-26,60.14,60.14,60.14,60.14,0.0,60.14,0
2025-12-29,60.58,60.58,60.58,60.58,0.0,60.58,0
2025-12-30,60.58,60.58,60.58,60.58,0.0,60.58,0
2025-12-31,60.01,60.01,60.01,60.01,0.0,60.01,0
2026-01-02,60.35,60.35,60.35,60.35,0.0,60.35,0
2026-01-05,60.16,60.16,60.16,60.16,0.0,60.16,0
2026-01-06,59.71,59.71,59.71,59.71,0.0,59.71,0
2026-01-07,59.63,59.63,59.63,59.63,0.0,59.63,0
2026-01-08,60.34,60.34,60.34,60.34,0.0,60.34,0
2026-01-09,60.59,60.59,60.59,60.59,0.0,60.59,0
2026-01-12,60.77,60.77,60.77,60.77,0.0,60.77,0
2026-01-13,61.19,61.19,61.19,61.19,0.0,61.19,0
2026-01-14,61.67,61.67,61.67,61.67,0.0,61.67,0
2026-01-15,60.8,60.8,60.8,60.8,0.0,60.8,0
2026-01-16,61.02,61.02,61.02,61.02,0.0,61.02,0
2026-01-20,61.32,61.32,61.32,61.32,0.0,61.32,0
2026-01-21,61.71,61.71,61.71,61.71,0.0,61.71,0
2026-01-22,61.31,61.31,61.31,61.31,0.0,61.31,0
2026-01-23,61.66,61.66,61.66,61.66,0.0,61.66,0
2026-01-26,62.06,62.06,62.06,62.06,0.0,62.06,0
2026-01-27,61.95,61.95,61.95,61.95,0.0,61.95,0
2026-01-28,62.15,62.15,62.15,62.15,0.0,62.15,0
2026-01-29,62.48,62.48,62.48,62.48,0.0,62.48,0
2026-01-30,62.53,62.53,62.53,62.53,0.0,62.53,0
2026-02-02,61.2,61.2,61.2,61.2,0.0,61.2,0
2026-02-03,61.77,61.77,61.77,61.77,0.0,61.77,0
2026-02-04,62.24,62.24,62.24,62.24,0.0,62.24,0
2026-02-05,61.97,61.97,61.97,61.97,0.0,61.97,0
2026-02-06,61.99,61.99,61.99,61.99,0.0,61.99,0
2026-02-09,62.28,62.28,62.28,62.28,0.0,62.28,0
2026-02-10,62.27,62.27,62.27,62.27,0.0,62.27,0
2026-02-11,62.12,62.12,62.12,62.12,0.0,62.12,0
2026-02-12,61.68,61.68,61.68,61.68,0.0,61.68,0
2026-02-13,61.62,61.62,61.62,61.62,0.0,61.62,0
2026-02-17,61.38,61.38,61.38,61.38,0.0,61.38,0
2026-02-18,61.56,61.56,61.56,61.56,0.0,61.56,0
2026-02-19,61.67,61.67,61.67,61.67,0.0,61.67,0
2026-02-20,61.79,61.79,61.79,61.79,0.0,61.79,0
2026-02-23,61.91,61.91,61.91,61.91,0.0,61.91,0
2026-02-24,61.92,61.92,61.92,61.92,0.0,61.92,0
2026-02-25,61.61,61.61,61.61,61.61,0.0,61.61,0
2026-02-26,61.04,61.04,61.04,61.04,0.0,61.04,0
2026-02-27,61.66,61.66,61.66,61.66,0.0,61.66,0
2026-03-02,61.92,61.92,61.92,61.92,0.0,61.92,0
2026-03-03,62.13,62.13,62.13,62.13,0.0,62.13,0
2026-03-04,62.77,62.77,62.77,62.77,0.0,62.77,0
2026-03-05,63.71,63.71,63.71,63.71,0.0,63.71,0
2026-03-06,64.41,64.41,64.41,64.41,0.0,64.41,0
2026-03-09,64.22,64.22,64.22,64.22,0.0,64.22,0
2026-03-10,64.46,64.46,64.46,64.46,0.0,64.46,0
2026-03-11,64.69,64.69,64.69,64.69,0.0,64.69,0
2026-03-12,64.89,64.89,64.89,64.89,0.0,64.89,0
2026-03-13,65.18,65.18,65.18,65.18,0.0,65.18,0
2026-03-16,65.78,65.78,65.78,65.78,0.0,65.78,0
2026-03-17,65.97,65.97,65.97,65.97,0.0,65.97,0
2026-03-18,67.24,67.24,67.24,67.24,0.0,67.24,0
2026-03-19,68.21,68.21,68.21,68.21,0.0,68.21,0
2026-03-20,68.43,68.43,68.43,68.43,0.0,68.43,0
2026-03-23,66.64,66.64,66.64,66.64,0.0,66.64,0
2026-03-24,68.04,68.04,68.04,68.04,0.0,68.04,0
2026-03-25,67.18,67.18,67.18,67.18,0.0,67.18,0
2026-03-26,68.06,68.06,68.06,68.06,0.0,68.06,0
2026-03-27,67.84,67.84,67.84,67.84,0.0,67.84,0
2026-03-30,67.41,67.41,67.41,67.41,0.0,67.41,0
2026-03-31,65.23,65.23,65.23,65.23,0.0,65.23,0
2026-04-01,64.55,64.55,64.55,64.55,0.0,64.55,0
2026-04-02,64.43,64.43,64.43,64.43,0.0,64.43,0
2026-04-06,65.37,65.37,65.37,65.37,0.0,65.37,0
2026-04-07,65.82,65.82,65.82,65.82,0.0,65.82,0
2026-04-08,66.04,66.04,66.04,66.04,0.0,66.04,0
2026-04-09,65.73,65.73,65.73,65.73,0.0,65.73,0
2026-04-10,66.31,66.31,66.31,66.31,0.0,66.31,0
2026-04-13,66.51,66.51,66.51,66.51,0.0,66.51,0
2026-04-14,66.36,66.36,66.36,66.36,0.0,66.36,0
2026-04-15,67.61,67.61,67.61,67.61,0.0,67.61,0
2026-04-16,67.69,67.69,67.69,67.69,0.0,67.69,0
2026-04-17,66.02,66.02,66.02,66.02,0.0,66.02,0
2026-04-20,66.5,66.5,66.5,66.5,0.0,66.5,0
2026-04-21,66.53,66.53,66.53,66.53,0.0,66.53,0
2026-04-22,66.68,66.68,66.68,66.68,0.0,66.68,0
2026-04-23,66.97,66.97,66.97,66.97,0.0,66.97,0
2026-04-24,66.42,66.42,66.42,66.42,0.0,66.42,0
2026-04-27,66.54,66.54,66.54,66.54,0.0,66.54,0
2026-04-28,65.61,65.61,65.61,65.61,0.0,65.61,0
2026-04-29,65.78,65.78,65.78,65.78,0.0,65.78,0
2026-04-30,66.0,66.0,66.0,66.0,0.0,66.0,0
2026-05-01,66.54,66.54,66.54,66.54,0.0,66.54,0
2026-05-04,68.09,68.09,68.09,68.09,0.0,68.09,0
2026-05-05,68.4,68.4,68.4,68.4,0.0,68.4,0
2026-05-06,67.31,67.31,67.31,67.31,0.0,67.31,0
2026-05-07,67.64,67.64,67.64,67.64,0.0,67.64,0
2026-05-08,68.93,68.93,68.93,68.93,0.0,68.93,0
2026-05-11,69.93,69.93,69.93,69.93,0.0,69.93,0
2026-05-12,70.01,70.01,70.01,70.01,0.0,70.01,0
2026-05-13,69.24,69.24,69.24,69.24,0.0,69.24,0
2026-05-14,69.11,69.11,69.11,69.11,0.0,69.11,0
2026-05-15,69.41,69.41,69.41,69.41,0.0,69.41,0
2026-05-18,69.45,69.45,69.45,69.45,0.0,69.45,0
2026-05-19,68.96,68.96,68.96,68.96,0.0,68.96,0
2026-05-20,68.02,68.02,68.02,68.02,0.0,68.02,0
2026-05-21,67.88,67.88,67.88,67.88,0.0,67.88,0
2026-05-22,67.87,67.87,67.87,67.87,0.0,67.87,0
2026-05-26,67.42,67.42,67.42,67.42,0.0,67.42,0
2026-05-27,67.48,67.48,67.48,67.48,0.0,67.48,0
2026-05-28,67.82,67.82,67.82,67.82,0.0,67.82,0
2026-05-29,67.49,67.49,67.49,67.49,0.0,67.49,0
2026-06-01,67.75,67.75,67.75,67.75,0.0,67.75,0
2026-06-02,68.32,68.32,68.32,68.32,0.0,68.32,0
2026-06-03,68.83,68.83,68.83,68.83,0.0,68.83,0
2026-06-04,68.06,68.06,68.06,68.06,0.0,68.06,0
2026-06-05,67.92,67.92,67.92,67.92,0.0,67.92,0
2026-06-08,68.5,68.5,68.5,68.5,0.0,68.5,0
2026-06-09,68.25,68.25,68.25,68.25,0.0,68.25,0
2026-06-10,68.79,68.79,68.79,68.79,0.0,68.79,0
2026-06-11,68.51,68.51,68.51,68.51,0.0,68.51,0
2026-06-12,67.67,67.67,67.67,67.67,0.0,67.67,0
2026-06-15,67.02,67.02,67.02,67.02,0.0,67.02,0
2026-06-16,66.7,66.7,66.7,66.7,0.0,66.7,0
2026-06-17,66.31,66.31,66.31,66.31,0.0,66.31,0
2026-06-18,66.09,66.09,66.09,66.09,0.0,66.09,0
2026-06-22,65.38,65.38,65.38,65.38,0.0,65.38,0
2026-06-23,65.4,65.4,65.4,65.4,0.0,65.4,0
2026-06-24,64.83,64.83,64.83,64.83,0.0,64.83,0
2026-06-25,65.21,65.21,65.21,65.21,0.0,65.21,0
2026-06-26,64.7,64.7,64.7,64.7,0.0,64.7,0
2026-06-29,64.64,64.64,64.64,64.64,0.0,64.64,0
2026-06-30,64.4,64.4,64.4,64.4,0.0,64.4,0
2026-07-01,64.84,64.84,64.84,64.84,0.0,64.84,0
2026-07-02,65.05,65.05,65.05,65.05,0.0,65.05,0
2026-07-06,65.11,65.11,65.11,65.11,0.0,65.11,0
2026-07-07,65.36,65.36,65.36,65.36,0.0,65.36,0
2026-07-08,65.68,65.68,65.68,65.68,0.0,65.68,0
2026-07-09,65.39,65.39,65.39,65.39,0.0,65.39,0
2026-07-10,65.48,65.48,65.48,65.48,0.0,65.48,0
2026-07-13,66.27,66.27,66.27,66.27,0.0,66.27,0
2026-07-14,66.25,66.25,66.25,66.25,0.0,66.25,0
2026-07-15,66.48,66.48,66.48,66.48,0.0,66.48,0
2026-07-16,66.53,66.53,66.53,66.53,0.0,66.53,0
2026-07-17,67.04,67.04,67.04,67.04,0.0,67.04,0
2026-07-20,66.72,66.72,66.72,66.72,0.0,66.72,0
2026-07-21,66.67,66.67,66.67,66.67,0.0,66.67,0
